i,Qual,tx,ty,o1x,o1y,o2x,o2y,o3x,o3y,px,py,pz,qx,qy,qz,qw
0,0,-1.64939,-25.4653,-6.14315,-6.82522,5919910000000000,-1.87379,-6.3414,-13.8433,18.9527,49.1626,50.6391,0.0295454,0.987308,-0.155993,-0.00397789
1,0,-1.77672,-25.7945,-6.14315,-6.82522,5919910000000000,-1.87379,-6.3414,-13.8433,19.1661,49.2329,50.7423,0.0300876,0.987513,-0.154519,-0.00606293
2,0,-1.77672,-25.7945,-5.54438,-6.88568,5919910000000000,-1.87379,-5.62278,-13.9553,19.1661,49.2329,50.7423,0.0300876,0.987513,-0.154519,-0.00606293
3,0,-1.24471,-26.7531,-5.54438,-6.88568,5919910000000000,-1.87379,-5.62278,-13.9553,19.2023,49.1936,50.6133,0.0293626,0.988192,-0.150332,-0.00376968
4,0,-1.5148,-26.5532,-5.54438,-6.88568,5919910000000000,-1.87379,-5.62278,-13.9553,19.2582,49.2435,50.6963,0.0297399,0.988033,-0.151248,-0.00548347
5,0,-1.24853,-27.23,-5.54438,-6.88568,5919910000000000,-1.87379,-5.62278,-13.9553,19.3028,49.2138,50.5929,0.0296102,0.988486,-0.14832,-0.00444108
6,0,-1.24853,-27.23,-5.78366,-7.39653,5919910000000000,-1.87379,-6.16113,-14.6436,19.3028,49.2138,50.5929,0.0296102,0.988486,-0.14832,-0.00444108
7,0,-1.36969,-27.198,-5.78366,-7.39653,5919910000000000,-1.87379,-6.16113,-14.6436,19.3444,49.222,50.6139,0.0302973,0.988446,-0.148426,-0.00511113
8,5,-2.69213,-25.4971,-5.40647,-7.42902,-5.40999,-7.51438,-5.70582,-14.7064,19.2545,48.974,50.5331,0.0337155,0.987297,-0.154927,-0.0102494
9,8,-2.69213,-25.4971,-5.40647,-7.42902,-5.40999,-7.51438,-5.70582,-14.7064,19.2545,48.974,50.5331,0.0337155,0.987297,-0.154927,-0.0102494
10,5,-2.65508,-26.5983,-6.14484,2.27351,-6.09668,2.23034,-2.07192,-1.37668,18.9232,48.6817,49.9778,0.0282089,0.988223,-0.150072,-0.00990642
11,0,-3.02418,-26.3984,-6.14484,2.27351,-6.09668,2.23034,-2.07192,-1.37668,18.8765,48.6573,49.9318,0.0282231,0.988064,-0.150995,-0.0115326
12,0,-3.48627,-26.221,-6.14484,2.27351,-6.09668,2.23034,-2.07192,-1.37668,18.8088,48.6576,49.9667,0.0290446,0.987924,-0.151627,-0.0130945
