id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ETx,ETy,ETrmin,ETrmax,ETphi
0,0,26140,2.35347,-5.48837,2.31187,-4.19384,2.24522,-3.88826,0.794135,3.5542,18.9522,27.8173,69.7698,-7.46768e-05,0.999983,0.00563041,0.00125445,313.868,284.461,23.93,38.0571,-0.0614135
1,0,26225,2.35347,-5.48837,2.31187,-4.19384,2.24522,-3.88826,0.794135,3.5542,18.9522,27.8173,69.7699,-7.46768e-05,0.999983,0.00563041,0.00125445,313.868,284.461,23.93,38.0571,-0.0614135
2,0,26225,2.35347,-5.48837,1.4069,13.9175,1.15455,13.1761,-0.106843,21.9482,18.9522,27.8173,69.7699,-7.46768e-05,0.999983,0.00563041,0.00125445,315.468,269.326,17.2537,36.7247,-0.0339108
3,8,26312,1.08548,13.5468,1.4069,13.9175,1.15455,13.1761,-0.106843,21.9482,18.9153,27.2721,66.9235,0.00105094,0.996215,-0.0866975,-0.0061508,315.468,269.326,17.2537,36.7247,-0.0339108
4,5,26434,-2.47128,12.1829,-3.71506,12.4937,-3.88174,11.921,-5.61993,20.461,18.8623,27.2877,66.9181,0.000511818,0.996516,-0.0799887,-0.0236276,323.292,270.302,17.3784,36.7682,0.0305727
5,5,26434,-4.75115,11.7562,-3.71506,12.4937,-3.88174,11.921,-5.61993,20.461,18.7547,27.3246,66.8621,-0.000593391,0.996354,-0.0781188,-0.0342955,323.292,270.302,17.3784,36.7682,0.0305727
6,0,26491,-6.96966,11.0853,-5.4443,11.605,-5.5793,11.1179,-7.48285,19.5443,18.6892,27.3855,66.7776,-0.000310738,0.996154,-0.0751677,-0.045013,325.962,271.022,17.8588,36.7756,0.0524695
7,0,26491,-8.45521,10.0449,-5.4443,11.605,-5.5793,11.1179,-7.48285,19.5443,18.5954,27.4375,66.7563,0.000255218,0.99618,-0.070294,-0.0518098,325.962,271.022,17.8588,36.7756,0.0524695
8,5,26557,-8.35748,10.1476,-8.2683,9.77095,-8.35232,9.43434,-10.5267,17.6585,18.6662,27.3707,66.8506,0.000255218,0.99618,-0.070294,-0.0518098,330.365,272.592,18.447,36.8654,0.0871773
9,0,26593,-10.6133,9.44781,-8.2683,9.77095,-8.35232,9.43434,-10.5267,17.6585,18.5783,27.4537,66.7334,0.000537891,0.99577,-0.0673275,-0.062517,330.365,272.592,18.447,36.8654,0.0871773
10,5,26625,-11.3744,6.7824,-10.53,7.62732,-10.5759,7.42945,-12.9671,15.4626,18.5484,27.5149,66.7417,0.000685102,0.996324,-0.0544266,-0.0661504,333.943,274.502,19.3702,36.9634,0.118605
11,5,26675,-11.3301,6.87151,-11.7616,5.79163,-11.7896,5.68625,-14.2988,13.5878,18.5777,27.4549,66.7336,0.000685102,0.996324,-0.0544266,-0.0661504,335.952,276.147,19.7268,37.3231,0.125669
12,8,26676,-12.1193,4.15732,-11.7616,5.79163,-11.7896,5.68625,-14.2988,13.5878,18.5297,27.5533,66.7469,0.000832189,0.996698,-0.0415158,-0.069772,335.952,276.147,19.7268,37.3231,0.125669
13,5,26742,-12.7454,3.22257,-13.179,3.48374,-13.1903,3.46241,-15.832,11.2317,18.5108,27.567,66.8008,0.000777447,0.996667,-0.0369015,-0.0727476,338.251,278.305,21.1056,37.3578,0.164022
14,5,26825,-13.4989,0.199379,-14.1594,-0.18087,-14.168,-0.129307,-16.9008,7.50067,18.5017,27.6393,66.7256,0.000774902,0.996822,-0.0222506,-0.0764897,340.002,281.705,22.0496,37.4135,0.170849
15,5,26825,-14.1702,-0.852207,-14.1594,-0.18087,-14.168,-0.129307,-16.9008,7.50067,18.4538,27.7297,66.7767,0.00072007,0.996682,-0.0176331,-0.0794573,340.002,281.705,22.0496,37.4135,0.170849
16,5,26891,-14.1522,-0.649202,-14.5681,-3.23058,-14.5823,-3.17269,-17.3523,4.39892,18.4727,27.5964,66.9067,0.00072007,0.996682,-0.0176331,-0.0794573,340.79,284.638,23.3438,37.4515,0.198024
17,8,26892,-14.9352,-3.92703,-14.5681,-3.23058,-14.5823,-3.17269,-17.3523,4.39892,18.4394,27.8307,66.6783,0.000717293,0.99653,-0.00297607,-0.0831756,340.79,284.638,23.3438,37.4515,0.198024
18,5,26958,-14.4913,-6.04292,-14.4849,-6.04716,-14.5092,-6.02071,-17.2741,1.53793,18.4423,27.8555,66.7467,0.00103326,0.996692,0.0074881,-0.0809199,340.79,287.429,24.4466,38.1776,0.209393
19,0,27008,-13.8833,-8.74243,-14.1279,-8.02272,-14.1604,-8.03622,-16.8981,-0.466404,18.4643,27.9307,66.7532,0.000374312,0.99674,0.0203934,-0.0780554,340.326,289.375,25.0792,38.0034,0.203136
20,0,27008,-13.415,-10.9723,-14.1279,-8.02272,-14.1604,-8.03622,-16.8981,-0.466404,18.4868,28.0262,66.8447,0.000690175,0.996647,0.030854,-0.0757794,340.326,289.375,25.0792,38.0034,0.203136
21,5,27092,-13.4654,-10.8186,-12.914,-11.8892,-12.9593,-12.0201,-15.6082,-4.38508,18.4544,27.9244,66.8737,0.000690175,0.996647,0.030854,-0.0757793,338.554,293.325,26.5404,38.4688,0.182594
22,5,27158,-11.8531,-13.1296,-11.3182,-14.468,-11.3652,-14.6902,-13.9026,-6.99256,18.5036,27.9965,66.8804,0.000760743,0.996802,0.0418819,-0.0680543,336.054,295.98,27.4777,38.685,0.172905
23,5,27158,-11.1718,-15.943,-11.3182,-14.468,-11.3652,-14.6902,-13.9026,-6.99256,18.5692,28.1302,66.8662,0.000101494,0.996371,0.0547724,-0.0651547,336.054,295.98,27.4777,38.685,0.172905
24,5,27208,-11.2388,-15.8679,-10.0253,-16.2604,-10.0675,-16.5536,-12.5196,-8.80338,18.5238,28.0798,66.8501,0.000101494,0.996371,0.0547724,-0.0651547,334.002,297.863,28.2563,38.6119,0.157532
25,0,27242,-9.56232,-18.2398,-10.0253,-16.2604,-10.0675,-16.5536,-12.5196,-8.80338,18.6137,28.1796,66.8819,0.000171853,0.996181,0.0657837,-0.0574071,334.002,297.863,28.2563,38.6119,0.157532
26,5,27275,-7.77364,-19.4827,-7.99484,-18.4474,-8.02064,-18.8253,-10.345,-11.0092,18.6563,28.2029,66.8869,0.00099229,0.996228,0.071828,-0.0486837,330.731,300.233,29.1502,38.9189,0.128296
27,5,27341,-6.02418,-19.5252,-5.61,-20.1039,-5.60746,-20.5238,-7.78725,-12.6733,18.6945,28.2317,66.8654,0.00065389,0.996598,0.0718936,-0.040293,326.853,302.034,29.9271,38.9591,0.0814107
28,5,27341,-4.17797,-20.8197,-5.61,-20.1039,-5.60746,-20.5238,-7.78725,-12.6733,18.7747,28.2808,66.8577,0.00147421,0.996458,0.0779247,-0.0315612,326.853,302.034,29.9271,38.9591,0.0814107
