id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ellipseX,ellipseY
0,0,37789,2.35286,-5.4881,2.20891,-4.42496,2.04129,-4.11792,0.612638,3.54764,18.9522,27.8173,69.7699,-7.46768e-05,0.999983,0.00563041,0.00125445,313.88,284.439
1,0,37789,2.35286,-5.4881,0.921002,13.5294,0.327574,12.8233,-0.477161,21.6575,18.9522,27.8173,69.7699,-7.46768e-05,0.999983,0.00563041,0.00125445,315.744,269.455
2,8,37858,1.29995,13.3536,0.921002,13.5294,0.327574,12.8233,-0.477161,21.6575,18.9167,27.2637,66.9585,0.00152784,0.996309,-0.0856728,-0.00507698,315.744,269.455
3,0,37940,-3.31325,13.5323,0.921002,13.5294,0.327574,12.8233,-0.477161,21.6575,18.8038,27.3429,66.7111,-0.000995989,0.995817,-0.0871397,-0.0274614,315.744,269.455
4,5,37992,-4.4886,11.7372,-4.60003,12.0905,-5.21289,11.5383,-6.3807,20.3338,18.767,27.3461,66.775,-0.000126735,0.996388,-0.0781916,-0.0331102,324.142,270.399
5,0,38024,-5.70072,9.94904,-4.60003,12.0905,-5.21289,11.5383,-6.3807,20.3338,18.7071,27.3513,66.8789,0.000742534,0.996847,-0.0692347,-0.0387553,324.142,270.399
6,5,38074,-7.28031,9.94885,-7.62153,9.87188,-8.17262,9.50446,-9.63403,18.1681,18.6823,27.3706,66.8339,-0.000158795,0.996506,-0.0693648,-0.0465167,328.835,272.117
7,0,38091,-8.92762,9.88773,-7.62153,9.87188,-8.17262,9.50446,-9.63403,18.1681,18.609,27.4274,66.7015,-0.00106011,0.996105,-0.0694906,-0.0542752,328.835,272.117
8,5,38143,-9.88788,8.9943,-9.88224,7.81172,-10.3565,7.58114,-12.0745,16.1448,18.6025,27.4391,66.7041,4.26823e-05,0.996133,-0.0650231,-0.0590782,332.395,273.846
9,0,38157,-10.8775,8.05634,-9.88224,7.81172,-10.3565,7.58114,-12.0745,16.1448,18.5784,27.4826,66.7141,0.00114548,0.996118,-0.0605527,-0.0638785,332.395,273.846
10,5,38241,-12.2051,5.19761,-12.6114,4.45904,-12.9409,4.38773,-15.0342,12.8305,18.5309,27.5307,66.8102,0.000651037,0.996448,-0.0465626,-0.0701663,336.811,276.826
11,8,38240,-12.3511,6.49669,-12.6114,4.45904,-12.9409,4.38773,-15.0342,12.8305,18.4865,27.5243,66.922,0.001431,0.996105,-0.052942,-0.0704992,336.811,276.826
12,0,38307,-13.553,2.3207,-12.6114,4.45904,-12.9409,4.38773,-15.0342,12.8305,18.4704,27.5919,66.9326,0.000156444,0.996543,-0.0325615,-0.0764377,336.811,276.826
13,5,38345,-13.5921,0.305017,-14.2265,0.0434939,-14.3704,0.0829847,-16.824,8.42057,18.4608,27.6537,66.9241,0.00159771,0.996805,-0.0227892,-0.0765423,339.598,280.86
14,0,38390,-13.6361,-1.69567,-14.2265,0.0434939,-14.3704,0.0829847,-16.824,8.42057,18.4527,27.7058,66.917,0.00303883,0.996969,-0.0130146,-0.0766394,339.598,280.86
15,5,38438,-14.2677,-2.88594,-14.7123,-4.068,-14.697,-4.0153,-17.4061,4.2912,18.4522,27.7136,66.9016,0.00199199,0.996782,-0.00717365,-0.0798138,340.649,284.752
16,8,38441,-14.8914,-4.26198,-14.7123,-4.068,-14.697,-4.0153,-17.4061,4.2912,18.4444,27.8377,66.6561,0.000945065,0.996549,-0.00133239,-0.0829846,340.649,284.752
17,5,38541,-14.0522,-6.94925,-14.293,-8.59831,-14.1272,-8.61783,-17.0305,-0.280485,18.4532,27.8576,66.7304,0.0015663,0.996819,0.0120617,-0.0787692,340.28,289.212
18,5,38541,-13.5504,-7.8065,-14.293,-8.59831,-14.1272,-8.61783,-17.0305,-0.280485,18.4646,27.8915,66.92,0.0017456,0.996956,0.0161579,-0.076253,340.28,289.212
19,5,38601,-13.1876,-10.81,-13.5795,-11.1891,-13.3437,-11.2841,-16.3113,-2.90571,18.4787,27.9671,66.8276,0.000673392,0.996747,0.0304972,-0.0745972,339.319,291.848
20,5,38601,-12.8178,-12.7944,-13.5795,-11.1891,-13.3437,-11.2841,-16.3113,-2.90571,18.5062,28.0489,66.8078,0.00111502,0.996547,0.0397888,-0.0728723,339.319,291.848
21,5,38663,-12.8606,-12.6226,-12.4387,-13.6175,-12.1536,-13.7981,-15.1342,-5.3771,18.4838,27.9376,66.9333,0.00111502,0.996547,0.0397888,-0.0728723,337.633,294.327
22,0,38674,-12.4573,-15.7824,-12.4387,-13.6175,-12.1536,-13.7981,-15.1342,-5.3771,18.5159,28.0973,66.7532,4.25862e-05,0.995994,0.0541159,-0.071191,337.633,294.327
23,5,38741,-11.7393,-18.5622,-9.83676,-17.3628,-9.505,-17.6952,-12.4215,-9.2077,18.5675,28.2079,66.6476,-0.000489113,0.995437,0.0668982,-0.0680366,333.618,298.324
24,8,38741,-11.7393,-18.5622,-9.83676,-17.3628,-9.505,-17.6952,-12.4215,-9.2077,18.5675,28.2079,66.6476,-0.000489113,0.995437,0.0668982,-0.0680366,333.618,298.324
25,0,38807,-8.59761,-17.5368,-9.83676,-17.3628,-9.505,-17.6952,-12.4215,-9.2077,18.6283,28.1799,66.9047,-0.00081698,0.996654,0.0623583,-0.0528321,333.618,298.324
26,5,38842,-6.82441,-19.3848,-7.19149,-19.6914,-6.86048,-20.1083,-9.64041,-11.6127,18.6721,28.2012,66.9365,0.000387789,0.996471,0.0714006,-0.0441253,329.418,300.882
27,0,38874,-5.04446,-21.2515,-7.19149,-19.6914,-6.86048,-20.1083,-9.64041,-11.6127,18.7201,28.2245,66.9712,0.0015925,0.99613,0.0804316,-0.0354115,329.418,300.882
28,5,38924,-4.1136,-21.4037,-4.02638,-21.2087,-3.72776,-21.6377,-6.2928,-13.2126,18.7396,28.2517,66.9166,0.00109067,0.996233,0.080978,-0.0310058,324.32,302.616
29,0,38941,-3.11678,-21.6406,-4.02638,-21.2087,-3.72776,-21.6377,-6.2928,-13.2126,18.797,28.3316,66.7561,0.000588816,0.996316,0.0815227,-0.0265995,324.32,302.616
30,5,39026,-0.729019,-22.8071,0.303409,-22.2403,0.548643,-22.6,-1.69696,-14.3497,18.8334,28.3309,66.7712,0.000639985,0.996076,0.0872231,-0.0149681,317.254,303.977
31,0,39057,1.76184,-23.9821,0.303409,-22.2403,0.548643,-22.6,-1.69696,-14.3497,18.9332,28.329,66.8126,0.000691045,0.995669,0.0929089,-0.00333419,317.254,303.977
32,5,39144,5.19082,-22.4036,5.13224,-22.215,5.32475,-22.4016,3.44705,-14.4338,19.01,28.3122,66.8383,0.000289537,0.996259,0.0854017,0.0132158,309.408,304.256
33,5,39144,6.65218,-21.9721,5.13224,-22.215,5.32475,-22.4016,3.44705,-14.4338,19.0896,28.2874,66.9063,-0.00073025,0.996311,0.0835002,0.019798,309.408,304.256
34,0,39208,7.75583,-20.748,7.80194,-21.4076,7.96927,-21.4447,6.30347,-13.6814,19.1301,28.2396,66.9837,-0.00120689,0.996644,0.0779193,0.0250601,305.096,303.536
35,8,39207,8.66084,-20.8332,7.80194,-21.4076,7.96927,-21.4447,6.30347,-13.6814,19.1161,28.289,66.8738,-0.000112068,0.99652,0.0778663,0.0297614,305.096,303.536
36,5,39329,11.3343,-19.5445,12.3623,-19.066,12.5107,-18.8167,11.1979,-11.4269,19.1669,28.2659,66.852,-0.000237024,0.996516,0.0716319,0.0427277,297.777,301.447
37,5,39329,12.5587,-18.3115,12.3623,-19.066,12.5107,-18.8167,11.1979,-11.4269,19.2818,28.2032,66.8486,-0.000713498,0.996663,0.0660371,0.0479836,297.777,301.447
38,0,39374,14.1514,-18.2058,12.3623,-19.066,12.5107,-18.8167,11.1979,-11.4269,19.3047,28.2032,66.7929,-0.000361932,0.996305,0.0653826,0.0556851,297.777,301.447
39,5,39394,15.8548,-16.1463,14.5083,-17.1969,14.6577,-16.8,13.5132,-9.59331,19.3624,28.1518,66.7184,-0.000265341,0.996415,0.0555312,0.0638304,294.392,299.665
40,0,39457,17.5011,-14.1458,14.5083,-17.1969,14.6577,-16.8,13.5132,-9.59331,19.3807,28.1355,66.6948,-0.000168707,0.996361,0.0456707,0.0719653,294.392,299.665
41,5,39512,18.2149,-12.5675,17.5295,-12.8822,17.6902,-12.2914,16.7991,-5.31683,19.4031,28.1018,66.7331,0.00035772,0.99642,0.0380313,0.075507,289.777,295.533
42,4,39540,18.9636,-10.9431,18.4805,-10.6638,18.6456,-10.033,17.847,-3.10441,19.447,28.0356,66.8083,0.000884121,0.996408,0.0303892,0.0790432,288.375,293.399
43,5,39593,18.8906,-9.58014,18.9932,-9.45741,19.1625,-8.81707,18.412,-1.90117,19.4505,28.0087,66.83,-0.000276266,0.996612,0.0239312,0.078683,287.635,292.271
44,4,39607,18.8257,-8.10618,19.6388,-4.06671,19.7873,-3.51111,19.1844,3.51278,19.4636,27.907,66.912,-0.00143664,0.996774,0.0174722,0.0783193,286.891,287.066
45,4,39689,18.9786,-4.82034,19.1982,-7.71086,19.3601,-7.08161,18.6578,-0.146995,19.4626,27.7848,66.9816,-0.00265306,0.996851,0.00207805,0.0792211,287.387,290.536
46,5,39730,19.4192,-2.72469,19.7186,-3.42173,19.865,-2.88633,19.2795,4.16048,19.4666,27.7745,66.903,-0.0014435,0.99664,-0.00847937,0.0814512,286.807,286.474
47,0,39757,19.878,-0.623339,19.7186,-3.42173,19.865,-2.88633,19.2795,4.16048,19.4726,27.7587,66.7837,-0.000233776,0.996312,-0.0190358,0.0836717,286.807,286.474
48,5,39824,19.4576,0.735265,18.9944,0.76086,19.0827,1.10098,18.5739,8.38891,19.4701,27.7335,66.7863,-0.000249514,0.996331,-0.0256578,0.081645,288.104,282.458
49,0,39841,19.0292,2.20412,18.9944,0.76086,19.0827,1.10098,18.5739,8.38891,19.4602,27.634,66.7967,-0.00026524,0.996303,-0.0322785,0.0796144,288.104,282.458
