id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ETx,ETy,ETrmin,ETrmax,ETphi
0,0,66388,3.64729,-15.0139,3.14922,-13.7984,3.25264,-13.6808,1.32462,-5.34243,18.9485,27.8281,69.7297,-0.000499289,0.998553,0.053265,0.00743082,312.999,294.473,27.7174,38.6941,-0.0749786
1,0,66388,3.64729,-15.0139,3.15859,-13.8091,3.26221,-13.6912,1.33475,-5.35327,18.9485,27.8281,69.7297,-0.000499289,0.998553,0.053265,0.00743082,312.985,294.482,27.7094,38.6431,-0.0764916
2,0,66388,3.64729,-15.0139,2.72976,3.66558,2.45709,3.24073,0.58824,12.3291,18.9485,27.8281,69.7297,-0.000499289,0.998553,0.053265,0.00743082,314.325,277.427,21.0752,37.1677,-0.0502288
3,0,66502,0.138155,4.71564,2.72976,3.66558,2.45709,3.24073,0.58824,12.3291,18.8575,27.5876,66.7601,0.000381722,0.998941,-0.0448253,-0.0103766,314.325,277.427,21.0752,37.1677,-0.0502288
4,5,66563,0.209656,4.77573,-0.909431,2.98544,-1.11014,2.43367,-3.26766,11.626,18.911,27.5491,66.8559,0.000381722,0.998941,-0.0448253,-0.0103766,319.918,277.939,21.4723,37.4401,0.00921829
5,5,66620,-1.41487,2.41506,-2.62358,2.66608,-2.79852,2.05637,-5.0839,11.2959,18.8692,27.5609,66.9308,-0.000231945,0.99929,-0.0329627,-0.0182689,322.568,278.235,21.7096,37.3822,0.033118
6,5,66620,-3.87779,1.31412,-2.62358,2.66608,-2.79852,2.05637,-5.0839,11.2959,18.7497,27.6231,66.9117,-0.000741284,0.999165,-0.0278616,-0.0298847,322.568,278.235,21.7096,37.3822,0.033118
7,5,66687,-3.74174,1.33359,-5.74563,0.887792,-5.8701,0.239938,-8.37198,9.48357,18.8318,27.6055,66.719,-0.000741284,0.999165,-0.0278616,-0.0298847,327.398,279.926,22.1828,37.7396,0.0736626
8,8,66688,-5.47754,-1.04388,-5.74563,0.887792,-5.8701,0.239938,-8.37198,9.48357,18.7191,27.6297,66.9836,-0.00135477,0.999158,-0.0159888,-0.0377687,327.398,279.926,22.1828,37.7396,0.0736626
9,5,66771,-6.68402,-1.39234,-8.62319,-1.74067,-8.71044,-2.36801,-11.3861,6.81192,18.7181,27.6304,66.9837,-0.00155988,0.998934,-0.0142484,-0.0438715,331.884,282.522,23.048,37.6807,0.106302
10,8,66772,-8.02117,-1.83281,-8.62319,-1.74067,-8.71044,-2.36801,-11.3861,6.81192,18.6295,27.6924,66.9883,-0.00176492,0.998671,-0.0125074,-0.0499726,331.884,282.522,23.048,37.6807,0.106302
11,5,66837,-9.27991,-4.13849,-10.4611,-4.16173,-10.53,-4.73952,-13.2989,4.35438,18.6023,27.7417,66.9672,-0.00177581,0.99842,-0.00126399,-0.0561431,334.756,284.998,23.6982,37.8447,0.137695
12,5,66892,-11.2279,-6.84621,-11.6594,-6.24512,-11.7184,-6.7697,-14.5376,2.24116,18.5609,27.8109,66.896,-0.00330425,0.997762,0.0116774,-0.0657521,336.628,287.177,24.4159,37.9624,0.16636
13,5,66892,-12.5721,-9.32559,-11.6594,-6.24512,-11.7184,-6.7697,-14.5376,2.24116,18.4777,27.956,66.7926,-0.00331404,0.997143,0.0229191,-0.0718998,336.628,287.177,24.4159,37.9624,0.16636
14,5,66937,-12.5169,-9.21988,-12.5539,-7.9145,-12.6085,-8.39702,-15.4604,0.548137,18.5189,27.8877,66.8678,-0.00331404,0.997143,0.0229191,-0.0718998,338.042,288.971,25.0335,38.0649,0.175434
15,0,66987,-11.8772,-10.4277,-13.2788,-10.3665,-13.3237,-10.7753,-16.1899,-1.93622,18.5159,27.9536,66.9097,-0.00299238,0.997229,0.0285235,-0.0686455,339.199,291.586,25.9277,37.9593,0.184836
16,0,66987,-13.8391,-13.272,-13.2788,-10.3665,-13.3237,-10.7753,-16.1899,-1.93622,18.4731,28.0781,66.8731,-0.00451911,0.996064,0.0414553,-0.07822,339.199,291.586,25.9277,37.9593,0.184836
17,5,67037,-13.8454,-13.2056,-13.5707,-12.4891,-13.6039,-12.8325,-16.4648,-4.08541,18.4663,28.0327,66.8167,-0.00451911,0.996064,0.0414553,-0.07822,339.638,293.893,26.9252,38.3946,0.211185
18,5,67087,-13.8516,-13.1392,-13.6801,-14.9714,-13.6959,-15.2433,-16.5397,-6.59792,18.4595,27.9873,66.7603,-0.00451911,0.996064,0.0414553,-0.07822,339.811,296.621,27.8012,38.634,0.216283
19,8,67088,-13.1888,-14.4077,-13.6801,-14.9714,-13.6959,-15.2433,-16.5397,-6.59792,18.475,28.0908,66.8889,-0.00419721,0.996067,0.0470563,-0.0749603,339.811,296.621,27.8012,38.634,0.216283
20,5,67154,-13.0998,-17.6069,-13.5868,-17.9086,-13.577,-18.1073,-16.3916,-9.56987,18.4784,28.144,66.9218,-0.00415203,0.995261,0.0623821,-0.0744742,339.671,299.912,28.4264,38.7164,0.202827
21,0,67219,-12.4141,-20.633,-12.6185,-20.8489,-12.5604,-20.9789,-15.3137,-12.5415,18.5132,28.2298,66.8187,-0.00396942,0.994508,0.0765144,-0.0713026,338.088,303.17,29.5063,38.6286,0.21387
22,0,67219,-12.2653,-24.0613,-12.6185,-20.8489,-12.5604,-20.9789,-15.3137,-12.5415,18.5512,28.3855,66.7654,-0.00392242,0.99325,0.0918087,-0.0707837,338.088,303.17,29.5063,38.6286,0.21387
23,5,67271,-12.3315,-23.92,-12.1302,-22.8569,-12.0413,-22.9564,-14.7615,-14.5716,18.5144,28.297,66.8763,-0.00392242,0.99325,0.0918087,-0.0707837,337.264,305.502,30.3407,38.9325,0.221234
24,0,67322,-10.9312,-24.6658,-10.8332,-24.9459,-10.69,-25.0154,-13.3484,-16.6803,18.5496,28.3451,66.8818,-0.00377126,0.993385,0.0951864,-0.0641241,335.182,307.909,30.8587,39.1984,0.18045
25,8,67315,-11.6129,-27.0781,-10.8332,-24.9459,-10.69,-25.0154,-13.3484,-16.6803,18.5653,28.4196,66.7228,-0.00373813,0.99207,0.105905,-0.0675819,335.182,307.909,30.8587,39.1984,0.18045
26,0,67371,-10.2146,-27.814,-9.48346,-26.7521,-9.2858,-26.8057,-11.884,-18.5027,18.5968,28.4565,66.746,-0.00358673,0.992137,0.109276,-0.0609185,332.977,310.028,31.5101,39.5991,0.161223
27,5,67421,-8.81063,-28.5609,-8.06134,-28.4382,-7.80742,-28.4864,-10.3447,-20.2033,18.632,28.4979,66.772,-0.00343512,0.992148,0.112641,-0.0542516,330.671,311.99,32.2835,39.4471,0.124949
