id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ETx,ETy,ETrmin,ETrmax,ETphi
0,0,50127,0.0667596,-43.1836,-1.30376,-39.7747,-5.87319e+19,1.9635,10.8432,-28.4646,18.8136,40.0222,72.0357,0.00905082,0.994831,0.100903,-0.00688913,308.666,253.287,28.1203,32.726,-0.473765
1,0,50147,0.147453,-43.6538,-1.30376,-39.7747,-5.87319e+19,1.9635,10.8432,-28.4646,18.7989,40.0265,72.018,0.00899444,0.994635,0.10285,-0.00643078,308.666,253.287,28.1203,32.726,-0.473765
2,0,50147,0.147453,-43.6538,-1.74405,-39.2341,-5.87319e+19,1.9635,9.54371,-27.4049,18.7989,40.0265,72.018,0.00899444,0.994635,0.10285,-0.00643078,310.071,252.44,29.0145,35.1728,-0.757777
3,0,50147,0.147453,-43.6538,-1.13068,-40.6301,-5.87319e+19,1.9635,11.2137,-30.2906,18.7989,40.0265,72.018,0.00899444,0.994635,0.10285,-0.00643078,308.174,254.607,27.7659,31.999,-0.198392
4,5,50184,-0.164835,-43.556,-1.13068,-40.6301,-1.036,-40.5508,11.2137,-30.2906,18.7886,40.0397,71.9885,0.00886671,0.994681,0.102318,-0.00792077,308.174,254.607,27.7659,31.999,-0.198392
5,0,50197,-0.554255,-43.7019,-1.13068,-40.6301,-1.036,-40.5508,11.2137,-30.2906,18.7755,40.0522,72.0303,0.00854665,0.994606,0.102909,-0.00981251,308.174,254.607,27.7659,31.999,-0.198392
6,0,50207,-0.609477,-43.6617,-1.13068,-40.6301,-1.036,-40.5508,11.2137,-30.2906,18.7727,40.0542,72.0366,0.00844312,0.994622,0.102734,-0.0100915,308.174,254.607,27.7659,31.999,-0.198392
7,5,50229,-0.519404,-43.566,-1.19565,-40.5778,-1.10193,-40.4981,11.016,-30.1943,18.7651,40.0603,72.0679,0.00841777,0.994669,0.102325,-0.00959516,308.31,254.615,27.5817,32.8266,-0.141675
8,5,50249,-0.480732,-43.7075,-1.43073,-40.7796,-1.34138,-40.7023,10.2151,-30.7036,18.7693,40.0573,72.0401,0.00834162,0.994611,0.10291,-0.00947603,309.017,254.715,30.0897,32.6292,-0.201492
9,8,50247,-0.432317,-43.4705,-1.43073,-40.7796,-1.34138,-40.7023,10.2151,-30.7036,18.7558,40.0677,72.1061,0.00839242,0.994716,0.101916,-0.00909884,309.017,254.715,30.0897,32.6292,-0.201492
10,8,50257,-0.374209,-43.7695,-1.43073,-40.7796,-1.34138,-40.7023,10.2151,-30.7036,18.7516,40.0734,72.0582,0.00824012,0.994599,0.103087,-0.00886058,309.017,254.715,30.0897,32.6292,-0.201492
11,0,50277,-0.338409,-43.381,-1.43073,-40.7796,-1.34138,-40.7023,10.2151,-30.7036,18.7485,40.0674,72.1284,0.00849592,0.994756,0.101565,-0.00854668,309.017,254.715,30.0897,32.6292,-0.201492
12,8,50277,-0.338409,-43.381,-1.49273,-40.3664,-1.40354,-40.2853,10.1057,-29.8154,18.7485,40.0674,72.1284,0.00849592,0.994756,0.101565,-0.00854668,309.161,254.233,28.7171,33.0408,-0.251051
13,0,50297,-0.447592,-43.1199,-1.49273,-40.3664,-1.40354,-40.2853,10.1057,-29.8154,18.7507,40.0558,72.1815,0.00838652,0.99485,0.100596,-0.00910627,309.161,254.233,28.7171,33.0408,-0.251051
14,0,50307,-0.426046,-43.1863,-1.49273,-40.3664,-1.40354,-40.2853,10.1057,-29.8154,18.7498,40.0545,72.183,0.00841739,0.994822,0.100889,-0.00898635,309.161,254.233,28.7171,33.0408,-0.251051
15,8,50307,-0.426046,-43.1863,-1.68593,-40.4454,-1.60016,-40.3654,9.4664,-30.0437,18.7498,40.0545,72.183,0.00841739,0.994822,0.100889,-0.00898635,309.991,254.158,30.0684,33.5963,-0.684583
16,0,50327,-0.417265,-43.4645,-1.68593,-40.4454,-1.60016,-40.3654,9.4664,-30.0437,18.7555,40.0475,72.2023,0.00851428,0.994693,0.102142,-0.00895403,309.991,254.158,30.0684,33.5963,-0.684583
17,0,50347,-0.161463,-43.2172,-1.68593,-40.4454,-1.60016,-40.3654,9.4664,-30.0437,18.758,40.0461,72.2036,0.00841164,0.994811,0.101097,-0.00775663,309.991,254.158,30.0684,33.5963,-0.684583
18,5,50361,-0.346351,-43.3807,-1.74622,-41.3259,-1.66333,-41.2544,9.0801,-31.9911,18.7642,40.0481,72.1311,0.00851562,0.994741,0.101694,-0.00869231,310.294,255.31,30.307,32.3354,-0.813537
