id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ETx,ETy,ETrmin,ETrmax,ETphi
0,0,102210,4.12076,-34.0881,4.5165,-32.6622,-1.334e+17,-1.69719,8.54581,-31.2602,21.3056,34.4385,83.4498,0.00359865,0.994403,0.105591,-0.00063829,297.827,253.866,28.4359,35.0091,-0.231585
1,0,102210,4.12076,-34.0881,2.95883,-30.6731,-1.334e+17,-1.69719,7.17793,-29.7135,21.3056,34.4385,83.4498,0.00359865,0.994403,0.105591,-0.00063829,301.233,250.922,28.9886,37.5184,-0.558328
2,0,102230,4.79785,-34.5236,2.95883,-30.6731,-1.334e+17,-1.69719,7.17793,-29.7135,21.2956,34.4469,83.3658,0.00392301,0.994203,0.107412,0.00271942,301.233,250.922,28.9886,37.5184,-0.558328
3,0,102230,4.79785,-34.5236,3.87036,-33.4617,-1.334e+17,-1.69719,7.88041,-31.9333,21.2956,34.4469,83.3658,0.00392301,0.994203,0.107412,0.00271942,299.306,254.707,30.1661,33.1718,-0.293391
4,4,102270,5.45778,-34.0036,4.60617,-32.4247,4.66066,-32.4063,8.64578,-31.0643,21.2784,34.4434,83.372,0.00452203,0.994434,0.105077,0.00622994,297.575,253.576,28.6391,35.6423,-0.199806
5,8,102270,5.45786,-34.015,4.60617,-32.4247,4.66066,-32.4063,8.64578,-31.0643,21.2784,34.4434,83.372,0.00452203,0.994434,0.105077,0.00622994,297.575,253.576,28.6391,35.6423,-0.199806
6,8,102280,5.34803,-34.3524,4.60617,-32.4247,4.66066,-32.4063,8.64578,-31.0643,21.2765,34.4432,83.3921,0.00458469,0.994273,0.106616,0.00569573,297.575,253.576,28.6391,35.6423,-0.199806
7,5,102302,5.52867,-34.0273,3.78942,-32.9445,3.84396,-32.9253,7.83429,-31.518,21.2744,34.4419,83.3913,0.00457719,0.994419,0.105194,0.00661755,299.4,254.043,28.9863,33.1335,-0.264058
8,8,102310,5.70489,-33.7218,3.78942,-32.9445,3.84396,-32.9253,7.83429,-31.518,21.2687,34.4383,83.3891,0.00456969,0.994562,0.103772,0.00753935,299.4,254.043,28.9863,33.1335,-0.264058
9,8,102310,5.70489,-33.7218,4.7207,-32.4177,4.77512,-32.3993,8.7556,-31.054,21.2687,34.4383,83.3891,0.00456969,0.994562,0.103772,0.00753935,297.252,253.633,27.5659,35.8449,-0.119543
10,8,102330,5.47737,-33.9711,4.7207,-32.4177,4.77512,-32.3993,8.7556,-31.054,21.2606,34.4491,83.2528,0.00525488,0.994463,0.104748,0.00655836,297.252,253.633,27.5659,35.8449,-0.119543
11,0,102350,5.02881,-34.1074,4.7207,-32.4177,4.77512,-32.3993,8.7556,-31.054,21.2573,34.4331,83.2686,0.00506361,0.994392,0.105552,0.00434158,297.252,253.633,27.5659,35.8449,-0.119543
12,5,102362,5.04207,-34.3455,3.64267,-33.4774,3.69681,-33.4569,7.66197,-31.9552,21.2506,34.4347,83.1892,0.0050114,0.994283,0.106573,0.00437875,299.829,254.717,30.7919,33.7545,-0.343959
13,8,102360,5.03953,-34.4181,3.64267,-33.4774,3.69681,-33.4569,7.66197,-31.9552,21.2561,34.4296,83.2802,0.00488172,0.994244,0.106939,0.00433413,299.829,254.717,30.7919,33.7545,-0.343959
14,0,102380,5.05584,-34.5801,3.64267,-33.4774,3.69681,-33.4569,7.66197,-31.9552,21.2461,34.4358,83.1363,0.00495919,0.994173,0.107595,0.00441591,299.829,254.717,30.7919,33.7545,-0.343959
15,8,102380,5.0559,-34.5903,3.59165,-33.145,3.64613,-33.1254,7.63329,-31.6883,21.2461,34.4358,83.1363,0.00495919,0.994173,0.107595,0.00441591,299.878,254.268,29.7163,33.2037,-0.317372
16,4,102410,5.33104,-34.9961,3.6488,-33.0346,3.70335,-33.0152,7.69454,-31.5967,21.2398,34.4235,83.1399,0.00509634,0.993955,0.109514,0.00578456,299.749,254.145,29.3029,33.2511,-0.315613
17,8,102410,5.33109,-35.0059,3.78432,-32.7792,3.83902,-32.7604,7.83939,-31.3845,21.2398,34.4235,83.1399,0.00509634,0.993955,0.109514,0.00578456,299.439,253.851,28.3108,33.3649,-0.31139
18,8,102430,5.37709,-34.7838,3.78432,-32.7792,3.83902,-32.7604,7.83939,-31.3845,21.2409,34.4204,83.1425,0.00532903,0.994061,0.108523,0.0060793,299.439,253.851,28.3108,33.3649,-0.31139
19,5,102453,5.02986,-34.9562,4.22257,-31.7721,4.27792,-31.7556,8.31874,-30.5517,21.2382,34.4112,83.1622,0.00499273,0.993971,0.109441,0.00431819,298.211,252.541,29.0888,34.8864,-0.134716
20,8,102450,4.87956,-35.2931,4.22257,-31.7721,4.27792,-31.7556,8.31874,-30.5517,21.2377,34.4089,83.1626,0.00455688,0.99381,0.11095,0.00345488,298.211,252.541,29.0888,34.8864,-0.134716
21,5,102498,4.89209,-35.4567,4.44256,-34.3096,4.49542,-34.2866,8.37582,-32.5963,21.236,34.4078,83.1637,0.00446345,0.993722,0.111732,0.00348733,298.295,256.097,28.9097,33.6596,-0.327561
22,5,102498,4.7914,-35.3825,4.44256,-34.3096,4.49542,-34.2866,8.37582,-32.5963,21.2332,34.4034,83.1746,0.00451321,0.993757,0.111437,0.00303842,298.295,256.097,28.9097,33.6596,-0.327561
23,5,102519,4.99786,-34.964,5.4185,-35.3061,5.46982,-35.2801,9.24791,-33.3632,21.2283,34.4163,83.1407,0.00463124,0.993973,0.109447,0.00412846,296.198,257.751,29.2229,35.0822,-0.089744
24,8,102510,4.89812,-35.6333,5.4185,-35.3061,5.46982,-35.2801,9.24791,-33.3632,21.2292,34.4035,83.1679,0.00437001,0.993634,0.112514,0.00351977,296.198,257.751,29.2229,35.0822,-0.089744
25,5,102553,5.06306,-35.1158,4.79806,-35.2328,4.84985,-35.2073,8.6597,-33.329,21.22,34.4206,83.1568,0.00415868,0.9939,0.110123,0.00437564,297.776,257.659,28.4617,36.0479,-0.344009
26,8,102550,5.3106,-34.8011,4.79806,-35.2328,4.84985,-35.2073,8.6597,-33.329,21.2187,34.4326,83.0925,0.00460605,0.994066,0.108534,0.00569984,297.776,257.659,28.4617,36.0479,-0.344009
27,0,102580,5.22156,-34.6223,4.79806,-35.2328,4.84985,-35.2073,8.6597,-33.329,21.2053,34.4479,83.139,0.00394733,0.994158,0.107732,0.00523149,297.776,257.659,28.4617,36.0479,-0.344009
28,8,102580,5.22163,-34.6301,5.36975,-35.2741,5.42113,-35.2482,9.20327,-33.3394,21.2053,34.4479,83.139,0.00394733,0.994158,0.107732,0.00523149,296.419,257.7,28.8957,35.0818,-0.214796
29,4,102600,5.179,-34.8882,5.27217,-35.2828,5.3236,-35.2569,9.10954,-33.3503,21.1991,34.4581,83.1392,0.00375614,0.994036,0.108876,0.00499091,296.623,257.673,28.4666,34.4375,-0.217382
30,5,102630,5.02793,-34.9001,5.22986,-35.2865,5.28132,-35.2607,9.06891,-33.3551,21.1982,34.464,83.1451,0.00373388,0.994036,0.108906,0.0042581,296.712,257.662,28.2806,34.1583,-0.218502
31,5,102630,4.82926,-34.7473,5.22986,-35.2865,5.28132,-35.2607,9.06891,-33.3551,21.1984,34.4668,83.1525,0.00360459,0.994115,0.108224,0.00327912,296.712,257.662,28.2806,34.1583,-0.218502
32,5,102653,4.88828,-35.0251,5.0639,-35.336,5.11542,-35.3101,8.9074,-33.4018,21.2002,34.4629,83.1699,0.0037531,0.993974,0.109494,0.00356878,297.098,257.737,28.0081,34.2405,-0.243969
33,8,102650,4.87618,-34.9225,5.0639,-35.336,5.11542,-35.3101,8.9074,-33.4018,21.1969,34.4729,83.1539,0.00371161,0.994035,0.108937,0.00352529,297.098,257.737,28.0081,34.2405,-0.243969
