id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ETx,ETy,ETrmin,ETrmax,ETphi
0,0,30295,4.29125,-33.7402,-0.921895,-26.7711,-7.04004e+32,-1.65277,-7.03586,-51.4105,20.3553,35.8035,81.7958,0.0133298,0.995401,0.0945303,0.0078958,307.864,251.017,23.5836,30.5465,-0.132966
1,0,30315,4.44509,-33.8327,-0.921895,-26.7711,-7.04004e+32,-1.65277,-7.03586,-51.4105,20.3523,35.8158,81.7546,0.0135419,0.995364,0.0948248,0.00869885,307.864,251.017,23.5836,30.5465,-0.132966
2,0,30315,4.44509,-33.8327,-1.02423,-27.0032,-7.04004e+32,-1.65277,-7.48196,-52.3136,20.3523,35.8158,81.7546,0.0135419,0.995364,0.0948248,0.00869885,308.078,251.354,23.7429,29.3479,-0.116915
3,0,30335,4.33251,-33.7433,-1.02423,-27.0032,-7.04004e+32,-1.65277,-7.48196,-52.3136,20.3559,35.8148,81.7947,0.0136939,0.995401,0.0944605,0.00818225,308.078,251.354,23.7429,29.3479,-0.116915
4,0,30356,4.62672,-33.9539,-1.02423,-27.0032,-7.04004e+32,-1.65277,-7.48196,-52.3136,20.3549,35.8182,81.7496,0.0137014,0.995305,0.0953297,0.00960036,308.078,251.354,23.7429,29.3479,-0.116915
5,8,30356,4.62672,-33.9539,-0.9846,-26.9726,-1.02565,-27.1348,-7.35741,-52.1624,20.3549,35.8182,81.7496,0.0137014,0.995305,0.0953297,0.00960036,308.006,251.333,23.6338,30.0492,-0.102779
6,8,30365,4.58782,-33.9193,-0.9846,-26.9726,-1.02565,-27.1348,-7.35741,-52.1624,20.3541,35.8178,81.7481,0.0136171,0.995322,0.0951818,0.00939637,308.006,251.333,23.6338,30.0492,-0.102779
7,0,30385,4.1685,-34.125,-0.9846,-26.9726,-1.02565,-27.1348,-7.35741,-52.1624,20.3587,35.8026,81.821,0.013207,0.995233,0.0963554,0.00723855,308.006,251.333,23.6338,30.0492,-0.102779
8,5,30423,4.11087,-33.9811,5.38293,-31.6791,5.37942,-31.8562,4.8196,-60.108,20.3594,35.7971,81.8273,0.0131198,0.995295,0.0957496,0.00693935,301.423,254.92,24.6595,30.5727,-0.145961
9,0,30435,4.08489,-33.6719,5.38293,-31.6791,5.37942,-31.8562,4.8196,-60.108,20.3595,35.794,81.8263,0.0132366,0.995426,0.0943699,0.00685189,301.423,254.92,24.6595,30.5727,-0.145961
10,0,30455,4.3143,-33.3946,5.38293,-31.6791,5.37942,-31.8562,4.8196,-60.108,20.3573,35.7851,81.833,0.0134309,0.99553,0.0931435,0.00804364,301.423,254.92,24.6595,30.5727,-0.145961
11,8,30455,4.31416,-33.4049,5.90665,-31.3485,5.90977,-31.5178,6.40512,-58.3573,20.3573,35.7851,81.833,0.0134309,0.99553,0.0931435,0.00804364,300.586,254.248,25.0363,31.921,-0.176111
12,0,30485,4.4341,-34.1327,5.90665,-31.3485,5.90977,-31.5178,6.40512,-58.3573,20.3554,35.7778,81.8325,0.0135878,0.995202,0.0965026,0.00864554,300.586,254.248,25.0363,31.921,-0.176111
13,5,30498,4.39132,-33.8163,5.88053,-31.81,5.88105,-31.9852,5.96397,-59.9353,20.3529,35.781,81.8326,0.0133867,0.995345,0.095066,0.00841815,300.872,254.897,24.8586,31.3601,-0.2124
14,5,30524,4.2904,-33.8935,5.67155,-31.8154,5.67007,-31.9921,5.43422,-60.2102,20.3464,35.779,81.847,0.013225,0.995315,0.0954499,0.00792909,301.099,255.075,25.4886,32.4619,-0.133698
