id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ETx,ETy,ETrmin,ETrmax,ETphi
0,0,129483,-2.38206,-16.1559,-4.0969,-11.9864,44.3598,1.68013,-9.79198,-8.84872,20.6692,34.9196,80.3686,-0.0099588,0.999306,0.0162096,-0.0320264,422.544,265.665,30.9301,41.7046,0.226535
1,0,129503,-2.42546,-17.516,-4.0969,-11.9864,44.3598,1.68013,-9.79198,-8.84872,20.676,34.915,80.3651,-0.0098495,0.999164,0.0229105,-0.0323854,422.544,265.665,30.9301,41.7046,0.226535
2,0,129503,-2.42546,-17.516,-4.08879,-12.2003,44.3598,1.68013,-9.75741,-9.06546,20.676,34.915,80.3651,-0.0098495,0.999164,0.0229105,-0.0323854,422.591,266.035,29.6352,41.7866,0.181101
3,0,129503,-2.42546,-17.516,-4.2178,-11.7872,44.3598,1.68013,-9.99194,-8.64953,20.676,34.915,80.3651,-0.0098495,0.999164,0.0229105,-0.0323854,422.97,265.394,30.0151,41.7388,0.206311
4,8,129533,-2.79379,-17.1007,-4.2178,-11.7872,-4.29878,-11.7432,-9.99194,-8.64953,20.6814,34.9146,80.2983,-0.00963096,0.999151,0.0208075,-0.0342298,422.97,265.394,30.0151,41.7388,0.206311
5,0,129563,-2.68626,-17.2262,-4.2178,-11.7872,-4.29878,-11.7432,-9.99194,-8.64953,20.6935,34.913,80.2985,-0.00919946,0.999159,0.0214437,-0.0337082,422.97,265.394,30.0151,41.7388,0.206311
6,5,129579,-2.8247,-17.3785,-4.09509,-11.992,-4.17494,-11.948,-9.78872,-8.85432,20.6988,34.9129,80.3026,-0.00915047,0.999119,0.0221839,-0.0344386,422.547,265.621,30.2443,40.795,0.218637
7,0,129593,-2.9623,-17.5306,-4.09509,-11.992,-4.17494,-11.948,-9.78872,-8.85432,20.7049,34.9127,80.3073,-0.00910147,0.999077,0.0229241,-0.0351689,422.547,265.621,30.2443,40.795,0.218637
8,5,129605,-3.1214,-17.26,-4.31059,-12.3528,-4.39132,-12.309,-10.0696,-9.22537,20.7052,34.9158,80.2945,-0.00954042,0.999073,0.021556,-0.0360227,423.311,266.171,28.1271,39.3607,0.174116
9,8,129613,-3.27976,-16.9924,-4.31059,-12.3528,-4.39132,-12.309,-10.0696,-9.22537,20.7057,34.9204,80.2752,-0.00997933,0.999066,0.0201879,-0.0368764,423.311,266.171,28.1271,39.3607,0.174116
10,5,129636,-3.62609,-17.4508,-4.24965,-12.352,-4.32999,-12.3082,-9.9795,-9.22312,20.7089,34.9239,80.277,-0.0103251,0.998946,0.0223839,-0.0387237,423.103,266.154,28.175,39.3059,0.179894
11,8,129643,-3.96351,-17.9193,-4.24965,-12.352,-4.32999,-12.3082,-9.9795,-9.22312,20.7193,34.9351,80.2829,-0.0106708,0.998817,0.0245798,-0.0405706,423.103,266.154,28.175,39.3059,0.179894
12,4,129663,-4.19569,-17.5853,-4.16871,-12.1764,-4.24877,-12.1324,-9.87822,-9.04307,20.7265,34.9392,80.3432,-0.010568,0.998811,0.0229402,-0.0417073,422.841,265.884,28.12,39.6376,0.17881
13,5,129680,-4.07823,-17.5313,-4.0401,-11.8969,-4.11973,-11.8528,-9.71736,-8.75656,20.7278,34.9401,80.3467,-0.0104395,0.998843,0.0226852,-0.0411001,422.426,265.455,28.0327,40.1644,0.177088
14,8,129683,-3.9551,-17.4802,-4.0401,-11.8969,-4.11973,-11.8528,-9.71736,-8.75656,20.7348,34.9451,80.3667,-0.010311,0.998875,0.0224301,-0.0404928,422.426,265.455,28.0327,40.1644,0.177088
15,4,129693,-3.49768,-16.8005,-4.15042,-11.9748,-4.23067,-11.9308,-9.87242,-8.8382,20.7425,34.9502,80.3822,-0.0096458,0.999045,0.0191214,-0.0380827,422.788,265.569,27.9757,39.7221,0.173975
16,5,129704,-3.51135,-16.8708,-4.28094,-12.0663,-4.36191,-12.0224,-10.0559,-8.93411,20.7489,34.9568,80.3759,-0.00947736,0.999037,0.0194227,-0.0381734,423.217,265.704,27.9083,39.1995,0.170295
17,8,129713,-3.52311,-16.9431,-4.28094,-12.0663,-4.36191,-12.0224,-10.0559,-8.93411,20.7566,34.9649,80.3681,-0.00930891,0.99903,0.0197239,-0.038264,423.217,265.704,27.9083,39.1995,0.170295
18,0,129733,-1.77835,-16.4243,-4.28094,-12.0663,-4.36191,-12.0224,-10.0559,-8.93411,20.7787,34.9601,80.4352,-0.00816132,0.999384,0.0173746,-0.0293938,423.217,265.704,27.9083,39.1995,0.170295
19,8,129733,-1.77835,-16.4243,-4.37946,-12.1063,-4.46103,-12.0624,-10.1976,-8.97692,20.7787,34.9601,80.4352,-0.00816132,0.999384,0.0173746,-0.0293938,423.509,265.738,27.7236,38.4621,0.188572
20,8,129744,-2.47536,-15.8787,-4.37946,-12.1063,-4.46103,-12.0624,-10.1976,-8.97692,20.7784,34.9691,80.342,-0.00883025,0.999311,0.0145297,-0.032996,423.509,265.738,27.7236,38.4621,0.188572
21,5,129769,-2.37458,-16.1841,-4.13638,-12.0132,-4.21648,-11.9692,-9.84759,-8.8768,20.7827,34.9666,80.3423,-0.0088381,0.999302,0.016055,-0.0325413,422.686,265.581,28.1849,39.1052,0.211173
22,0,129783,-2.26955,-16.4871,-4.13638,-12.0132,-4.21648,-11.9692,-9.84759,-8.8768,20.7905,34.9622,80.343,-0.00884593,0.999291,0.0175802,-0.0320864,422.686,265.581,28.1849,39.1052,0.211173
23,5,129814,-2.35468,-16.8096,-4.00221,-12.1937,-4.08113,-12.1497,-9.62995,-9.05675,20.7951,34.9559,80.3371,-0.00907362,0.999243,0.0191932,-0.032606,422.278,265.878,27.4669,39.464,0.191628
24,5,129814,-2.27362,-16.7304,-4.00221,-12.1937,-4.08113,-12.1497,-9.62995,-9.05675,20.7993,34.9525,80.3323,-0.0089629,0.999264,0.0188283,-0.0322038,422.278,265.878,27.4669,39.464,0.191628
25,0,129833,-2.43576,-17.1278,-4.00221,-12.1937,-4.08113,-12.1497,-9.62995,-9.05675,20.8027,34.9456,80.3274,-0.00930129,0.999191,0.0208061,-0.0331255,422.278,265.878,27.4669,39.464,0.191628
26,8,129833,-2.43576,-17.1278,-4.18422,-12.5593,-4.2638,-12.5155,-9.86077,-9.43185,20.8027,34.9456,80.3274,-0.00930129,0.999191,0.0208061,-0.0331255,422.919,266.425,27.1171,38.3606,0.153994
27,0,129863,-3.1865,-16.9503,-4.18422,-12.5593,-4.2638,-12.5155,-9.86077,-9.43185,20.8091,34.9378,80.3102,-0.00977378,0.999069,0.0199147,-0.0370003,422.919,266.425,27.1171,38.3606,0.153994
28,8,129863,-3.1865,-16.9503,-3.99536,-12.174,-4.07427,-12.13,-9.6219,-9.03664,20.8091,34.9378,80.3102,-0.00977378,0.999069,0.0199147,-0.0370003,422.181,265.791,27.7611,38.7587,0.242398
29,0,129883,-3.52997,-16.9458,-3.99536,-12.174,-4.07427,-12.13,-9.6219,-9.03664,20.8126,34.9379,80.2093,-0.00973694,0.999004,0.019799,-0.0387878,422.181,265.791,27.7611,38.7587,0.242398
30,5,129903,-3.21707,-17.0963,-3.90488,-12.3179,-3.98296,-12.2739,-9.47279,-9.18044,20.8121,34.9361,80.2574,-0.00952276,0.999051,0.0206062,-0.0371701,421.934,266.013,27.5444,38.7786,0.206853
31,8,129893,-3.18612,-18.4333,-3.90488,-12.3179,-3.98296,-12.2739,-9.47279,-9.18044,20.8155,34.9323,80.2488,-0.00922081,0.9989,0.0271708,-0.0370985,421.934,266.013,27.5444,38.7786,0.206853
32,0,129933,-2.90237,-17.25,-3.90488,-12.3179,-3.98296,-12.2739,-9.47279,-9.18044,20.8117,34.9348,80.2895,-0.00930855,0.999095,0.0214134,-0.0355523,421.934,266.013,27.5444,38.7786,0.206853
33,5,129948,-2.78321,-17.0717,-4.00103,-12.3442,-4.07971,-12.3003,-9.61232,-9.20941,20.8089,34.94,80.2863,-0.0093611,0.999135,0.0205134,-0.0349323,422.273,266.007,27.5159,37.7748,0.184794
34,8,129943,-3.06123,-17.0962,-4.00103,-12.3442,-4.07971,-12.3003,-9.61232,-9.20941,20.8109,34.9385,80.2818,-0.00943833,0.999082,0.020619,-0.036356,422.273,266.007,27.5159,37.7748,0.184794
35,4,129963,-2.66409,-16.8934,-3.90404,-12.1833,-3.98233,-12.1393,-9.48575,-9.0439,20.8061,34.9452,80.2831,-0.00941364,0.999174,0.0196133,-0.0343123,421.957,265.736,27.148,37.7055,0.182978
36,4,129983,-2.83426,-17.2984,-3.98838,-12.3232,-4.06701,-12.2793,-9.59581,-9.18782,20.8058,34.9489,80.2838,-0.00919024,0.999107,0.0215661,-0.035162,422.232,265.971,27.4679,37.7658,0.184557
37,8,129983,-2.83426,-17.2984,-3.84079,-12.0783,-3.91881,-12.0343,-9.40321,-8.93597,20.8058,34.9489,80.2838,-0.00919024,0.999107,0.0215661,-0.035162,421.751,265.56,26.9081,37.6603,0.181794
38,8,129993,-2.54207,-17.5359,-3.84079,-12.0783,-3.91881,-12.0343,-9.40321,-8.93597,20.8051,34.947,80.288,-0.00922273,0.99913,0.0227648,-0.033714,421.751,265.56,26.9081,37.6603,0.181794
39,0,130013,-2.54295,-17.5771,-3.84079,-12.0783,-3.91881,-12.0343,-9.40321,-8.93597,20.8016,34.9521,80.2708,-0.00907344,0.999128,0.0229243,-0.0336845,421.751,265.56,26.9081,37.6603,0.181794
40,8,130013,-2.54295,-17.5771,-3.90836,-11.9025,-3.98711,-11.8584,-9.52178,-8.75922,20.8016,34.9521,80.2708,-0.00907344,0.999128,0.0229243,-0.0336845,421.958,265.247,26.7245,36.916,0.18912
41,4,130033,-2.59341,-17.4252,-3.88733,-11.9769,-3.96582,-11.9329,-9.4828,-8.83421,20.7961,34.9454,80.2746,-0.00940812,0.999133,0.0222185,-0.0339415,421.892,265.335,26.107,36.3595,0.185109
42,4,130044,-2.07672,-17.5884,-3.89413,-11.9528,-3.97271,-11.9088,-9.49541,-8.80993,20.7909,34.939,80.2937,-0.00888896,0.999205,0.0231069,-0.0312392,421.913,265.307,26.3068,36.5396,0.186407
43,4,130063,-2.01347,-17.3407,-3.9059,-11.9111,-3.98461,-11.8671,-9.51722,-8.76792,20.7892,34.9237,80.3641,-0.00894538,0.999241,0.0220362,-0.0308663,421.95,265.258,26.6518,36.8505,0.188649
44,8,130063,-2.01347,-17.3407,-3.87994,-12.0031,-3.95834,-11.959,-9.4691,-8.86059,20.7892,34.9237,80.3641,-0.00894538,0.999241,0.0220362,-0.0308663,421.868,265.366,25.8891,36.1631,0.183694
45,0,130083,-2.1433,-16.3158,-3.87994,-12.0031,-3.95834,-11.959,-9.4691,-8.86059,20.7851,34.9139,80.3623,-0.00879522,0.999323,0.0170543,-0.0313872,421.868,265.366,25.8891,36.1631,0.183694
46,0,130094,-2.70146,-16.8691,-3.87994,-12.0031,-3.95834,-11.959,-9.4691,-8.86059,20.7843,34.9085,80.3802,-0.00936147,0.999172,0.0197773,-0.0343071,421.868,265.366,25.8891,36.1631,0.183694
47,8,130094,-2.70146,-16.8691,-3.67391,-11.7234,-3.75136,-11.6792,-9.19366,-8.57208,20.7843,34.9085,80.3802,-0.00936147,0.999172,0.0197773,-0.0343071,421.217,264.873,25.6558,35.8099,0.161748
48,0,130133,-3.1081,-15.6514,-3.67391,-11.7234,-3.75136,-11.6792,-9.19366,-8.57208,20.769,34.9047,80.26,-0.00975575,0.9992,0.0137018,-0.0362738,421.217,264.873,25.6558,35.8099,0.161748
49,8,130133,-3.1081,-15.6514,-3.80038,-11.7679,-3.87861,-11.7237,-9.37616,-8.62014,20.769,34.9047,80.26,-0.00975575,0.9992,0.0137018,-0.0362738,421.636,264.934,25.4929,35.2771,0.153546
50,8,130143,-3.51711,-16.3229,-3.80038,-11.7679,-3.87861,-11.7237,-9.37616,-8.62014,20.761,34.9004,80.2626,-0.00985414,0.999071,0.0170012,-0.0383445,421.636,264.934,25.4929,35.2771,0.153546
