id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ETx,ETy,ETrmin,ETrmax,ETphi
0,0,126036,-0.00732732,-14.0972,0.212317,-9.09836,-7.37626e-21,-1.78129,0.262131,-5.85733,25.9493,35.7322,104.148,-0.00802029,0.999194,0.0146081,-0.0365293,381.981,324.516,35.1076,49.0176,-0.0500793
1,0,126036,-0.00732732,-14.0972,-0.0638746,-8.78039,-7.37626e-21,-1.78129,-0.173148,-5.60618,25.9493,35.7322,104.148,-0.00802029,0.999194,0.0146081,-0.0365293,382.935,324.005,34.9745,48.4272,-0.0375354
2,0,126036,-0.00732732,-14.0972,-0.248087,-8.73316,-7.37626e-21,-1.78129,-0.440083,-5.57146,25.9493,35.7322,104.148,-0.00802029,0.999194,0.0146081,-0.0365293,383.561,323.897,35.0451,48.0447,-0.0404464
3,8,126066,1.59365,-13.0325,-0.248087,-8.73316,-0.250907,-8.68672,-0.440083,-5.57146,25.9021,35.7433,104.05,-0.00782897,0.999526,0.00932131,-0.0282642,383.561,323.897,35.0451,48.0447,-0.0404464
4,4,126106,1.23427,-14.1671,-0.289388,-8.75464,-0.292413,-8.70815,-0.495381,-5.58951,25.8778,35.7139,104.259,-0.0083506,0.9994,0.0151409,-0.0299983,383.694,323.933,34.9949,48.1173,-0.0393275
5,5,126121,1.36449,-13.8932,-0.371986,-8.79752,-0.375424,-8.75093,-0.605984,-5.62553,25.8681,35.7085,104.276,-0.00908159,0.999431,0.0138616,-0.0293612,383.961,324.004,34.8946,48.2625,-0.0370897
6,0,126136,1.49431,-13.6192,-0.371986,-8.79752,-0.375424,-8.75093,-0.605984,-5.62553,25.8584,35.7031,104.292,-0.00981256,0.99946,0.0125824,-0.0287239,383.961,324.004,34.8946,48.2625,-0.0370897
7,8,126136,1.49431,-13.6192,-0.630754,-8.82661,-0.6357,-8.78001,-0.967415,-5.65363,25.8584,35.7031,104.292,-0.00981256,0.99946,0.0125824,-0.0287239,384.782,324.002,34.8596,47.783,-0.0203899
8,0,126157,0.210681,-13.346,-0.630754,-8.82661,-0.6357,-8.78001,-0.967415,-5.65363,25.835,35.6975,104.222,-0.00993574,0.999274,0.0111784,-0.0350301,384.782,324.002,34.8596,47.783,-0.0203899
9,0,126166,0.180068,-13.3709,-0.630754,-8.82661,-0.6357,-8.78001,-0.967415,-5.65363,25.8341,35.6973,104.221,-0.00997462,0.999267,0.0113017,-0.0351857,384.782,324.002,34.8596,47.783,-0.0203899
10,8,126166,0.180068,-13.3709,-0.786894,-9.01708,-0.79239,-8.96996,-1.16097,-5.80987,25.8341,35.6973,104.221,-0.00997462,0.999267,0.0113017,-0.0351857,385.284,324.241,34.9376,47.4945,-0.0317081
11,0,126187,0.481875,-14.0573,-0.786894,-9.01708,-0.79239,-8.96996,-1.16097,-5.80987,25.8089,35.7107,104.04,-0.010287,0.999271,0.0145668,-0.0337584,385.284,324.241,34.9376,47.4945,-0.0317081
12,0,126207,-0.666637,-13.7363,-0.786894,-9.01708,-0.79239,-8.96996,-1.16097,-5.80987,25.7981,35.7075,104.038,-0.0105901,0.999082,0.0129498,-0.0394344,385.284,324.241,34.9376,47.4945,-0.0317081
13,8,126207,-0.666637,-13.7363,-0.528813,-8.99508,-0.532789,-8.94798,-0.799506,-5.7875,25.7981,35.7075,104.038,-0.0105901,0.999082,0.0129498,-0.0394344,384.471,324.296,35.0192,48.4968,-0.0470509
14,8,126217,-0.101515,-13.9618,-0.528813,-8.99508,-0.532789,-8.94798,-0.799506,-5.7875,25.7903,35.6961,104.021,-0.0112099,0.999164,0.0141593,-0.0366898,384.471,324.296,35.0192,48.4968,-0.0470509
15,0,126237,-0.905545,-14.4759,-0.528813,-8.99508,-0.532789,-8.94798,-0.799506,-5.7875,25.7836,35.6721,104.021,-0.0111199,0.998969,0.0167473,-0.040701,384.471,324.296,35.0192,48.4968,-0.0470509
16,5,126253,-0.439424,-15.89,-1.13396,-8.90363,-1.1418,-8.85694,-1.66737,-5.72474,25.7837,35.6529,104.029,-0.0107288,0.998919,0.0237884,-0.0384676,386.457,324.037,35.1934,47.0954,-0.0286896
17,0,126267,0.0279677,-17.3072,-1.13396,-8.90363,-1.1418,-8.85694,-1.66737,-5.72474,25.7839,35.631,104.038,-0.0103372,0.998814,0.0308282,-0.036232,386.457,324.037,35.1934,47.0954,-0.0286896
18,8,126267,0.0279677,-17.3072,-1.03533,-8.99819,-1.04238,-8.9512,-1.51462,-5.79913,25.7839,35.631,104.038,-0.0103372,0.998814,0.0308282,-0.036232,386.149,324.225,34.9244,47.7229,-0.0446474
19,0,126287,-0.210988,-15.6716,-1.03533,-8.99819,-1.04238,-8.9512,-1.51462,-5.79913,25.7928,35.602,104.033,-0.00983294,0.998995,0.0229456,-0.0372312,386.149,324.225,34.9244,47.7229,-0.0446474
20,5,126309,-0.367068,-14.6882,-1.36832,-8.58821,-1.37824,-8.54246,-2.04319,-5.47489,25.7961,35.5472,104.019,-0.0101141,0.999059,0.0183813,-0.0379711,387.241,323.551,34.9936,46.5731,0.00130441
21,8,126307,0.206077,-14.0016,-1.36832,-8.58821,-1.37824,-8.54246,-2.04319,-5.47489,25.8011,35.5677,104.011,-0.00973118,0.999227,0.0149245,-0.0350323,387.241,323.551,34.9936,46.5731,0.00130441
22,5,126342,0.389059,-14.3848,-1.03163,-8.61134,-1.03946,-8.56543,-1.56427,-5.48745,25.8061,35.535,104.011,-0.00957206,0.999226,0.0169667,-0.0341611,386.184,323.664,34.9334,47.5447,-0.0308368
23,8,126337,-0.523556,-13.7184,-1.03163,-8.61134,-1.03946,-8.56543,-1.56427,-5.48745,25.7987,35.5042,104.009,-0.0103951,0.999101,0.0138165,-0.0387102,386.184,323.664,34.9334,47.5447,-0.0308368
24,5,126386,0.378449,-13.3268,-1.15654,-8.16327,-1.16606,-8.11868,-1.80428,-5.12878,25.8081,35.49,104.035,-0.0097674,0.999298,0.0119925,-0.0341354,386.628,322.998,34.733,47.0799,-0.00182534
25,5,126386,0.931358,-13.8339,-1.15654,-8.16327,-1.16606,-8.11868,-1.80428,-5.12878,25.822,35.4722,104.056,-0.0092763,0.999357,0.0145887,-0.0314251,386.628,322.998,34.733,47.0799,-0.00182534
26,4,126407,1.28906,-12.9162,-1.14868,-8.11585,-1.15825,-8.0714,-1.79991,-5.09044,25.8301,35.4567,104.096,-0.00913949,0.99947,0.0101683,-0.0295598,386.611,322.926,34.7232,47.0247,-0.00241284
27,8,126407,1.28906,-12.9162,-1.06608,-7.61636,-1.07619,-7.57331,-1.75407,-4.68661,25.8301,35.4567,104.096,-0.00913949,0.99947,0.0101683,-0.0295598,386.432,322.176,34.6205,46.4448,-0.00858161
28,8,126417,1.22031,-14.6456,-1.06608,-7.61636,-1.07619,-7.57331,-1.75407,-4.68661,25.8277,35.4356,104.086,-0.00888911,0.999334,0.0187605,-0.0300271,386.432,322.176,34.6205,46.4448,-0.00858161
29,4,126437,1.31174,-12.1039,-1.0599,-7.56849,-1.07007,-7.52558,-1.75213,-4.64794,25.8352,35.383,104.072,-0.00928476,0.999503,0.00650728,-0.0294257,386.42,322.106,34.5767,46.3988,-0.00829617
30,8,126437,1.31174,-12.1039,-1.02527,-7.30007,-1.03579,-7.2579,-1.74129,-4.4311,25.8352,35.383,104.072,-0.00928476,0.999503,0.00650728,-0.0294257,386.349,321.712,34.3317,46.1408,-0.00669771
31,0,126457,1.79416,-13.3708,-1.02527,-7.30007,-1.03579,-7.2579,-1.74129,-4.4311,25.827,35.2763,104.052,-0.00897866,0.999505,0.0132602,-0.027074,386.349,321.712,34.3317,46.1408,-0.00669771
32,0,126467,0.105039,-11.9953,-1.02527,-7.30007,-1.03579,-7.2579,-1.74129,-4.4311,25.8245,35.2081,103.977,-0.0104225,0.999291,0.00675261,-0.0355539,386.349,321.712,34.3317,46.1408,-0.00669771
33,8,126467,0.105039,-11.9953,-0.703367,-6.92467,-0.71272,-6.88349,-1.33979,-4.12291,25.8245,35.2081,103.977,-0.0104225,0.999291,0.00675261,-0.0355539,385.394,321.247,33.8364,46.7776,-0.0272072
34,0,126487,0.284073,-11.6978,-0.703367,-6.92467,-0.71272,-6.88349,-1.33979,-4.12291,25.8275,35.05,104.011,-0.010113,0.999332,0.00604515,-0.0345946,385.394,321.247,33.8364,46.7776,-0.0272072
35,5,126521,0.39644,-7.60377,-1.12332,-5.60469,-1.13797,-5.5674,-2.1203,-3.06723,25.8247,34.8894,104.007,-0.0105116,0.999286,-0.0134823,-0.0337084,386.88,319.265,34.6324,44.9726,0.0546614
36,5,126521,0.655441,-4.57467,-1.12332,-5.60469,-1.13797,-5.5674,-2.1203,-3.06723,25.8237,34.697,103.976,-0.0106142,0.999043,-0.0276569,-0.0321954,386.88,319.265,34.6324,44.9726,0.0546614
37,0,126537,0.511831,-3.35864,-1.12332,-5.60469,-1.13797,-5.5674,-2.1203,-3.06723,25.8189,34.5483,103.999,-0.0109062,0.998857,-0.0330047,-0.0328092,386.88,319.265,34.6324,44.9726,0.0546614
38,8,126537,0.511831,-3.35864,-0.759082,-4.49238,-0.773849,-4.45816,-1.76353,-2.16469,25.8189,34.5483,103.999,-0.0109062,0.998857,-0.0330047,-0.0328092,385.97,317.811,33.6974,45.5048,0.0056794
39,0,126557,0.38761,-1.41014,-0.759082,-4.49238,-0.773849,-4.45816,-1.76353,-2.16469,25.812,34.3404,103.847,-0.0101383,0.998518,-0.0418348,-0.0332936,385.97,317.811,33.6974,45.5048,0.0056794
40,0,126567,0.7342,-0.26271,-0.759082,-4.49238,-0.773849,-4.45816,-1.76353,-2.16469,25.8253,34.1925,104.065,-0.0107456,0.998353,-0.0467388,-0.0314756,385.97,317.811,33.6974,45.5048,0.0056794
41,8,126567,0.7342,-0.262709,-0.736112,-2.70203,-0.754472,-2.67293,-1.98505,-0.722135,25.8253,34.1925,104.065,-0.0107456,0.998353,-0.0467388,-0.0314756,386.179,315.324,32.8641,44.2203,0.0260286
42,0,126587,0.194876,6.91906,-0.736112,-2.70203,-0.754472,-2.67293,-1.98505,-0.722135,25.808,33.9717,103.742,-0.0109195,0.996034,-0.08155,-0.0338721,386.179,315.324,32.8641,44.2203,0.0260286
43,0,126607,0.41414,12.0227,-0.736112,-2.70203,-0.754472,-2.67293,-1.98505,-0.722135,25.798,33.6943,103.521,-0.0101721,0.993836,-0.10545,-0.0326711,386.179,315.324,32.8641,44.2203,0.0260286
44,8,126607,0.41414,12.0227,-0.720386,-0.621625,-0.742982,-0.598471,-2.25795,0.953935,25.798,33.6943,103.521,-0.0101721,0.993836,-0.10545,-0.0326711,386.451,312.489,31.2192,42.4175,0.0521016
45,0,126637,0.835772,16.8057,-0.720386,-0.621625,-0.742982,-0.598471,-2.25795,0.953935,25.8126,33.2327,103.448,-0.0103189,0.991445,-0.126467,-0.0306078,386.451,312.489,31.2192,42.4175,0.0521016
46,5,126657,1.09354,22.7815,-0.355633,2.19483,-0.381865,2.21,-2.1422,3.22919,25.8031,32.9074,103.261,-0.00992455,0.987679,-0.153385,-0.0294187,385.78,308.927,29.9285,42.2475,0.0446111
47,8,126657,1.09354,22.7815,-0.355633,2.19483,-0.381865,2.21,-2.1422,3.22919,25.8031,32.9074,103.261,-0.00992455,0.987679,-0.153385,-0.0294187,385.78,308.927,29.9285,42.2475,0.0446111
48,4,126668,0.713775,24.8921,0.255522,6.97947,0.223112,6.98115,-1.95755,7.09427,25.799,32.726,103.2,-0.0102056,0.986179,-0.162382,-0.0312825,384.653,303.157,28.098,41.6069,0.0449247
49,4,126687,1.31107,28.036,-0.230106,3.1652,-0.257588,3.17765,-2.10252,4.01309,25.7893,32.4222,103.054,-0.0090202,0.984028,-0.175472,-0.0285883,385.545,307.725,29.5472,42.114,0.0446764
50,8,126687,1.31107,28.036,0.543815,9.29207,0.508405,9.28724,-1.87833,8.96228,25.7893,32.4222,103.054,-0.0090202,0.984028,-0.175472,-0.0285883,384.136,300.512,27.259,41.3132,0.0450685
