id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ETx,ETy,ETrmin,ETrmax,ETphi
0,0,117149,2.64059,-41.3235,-0.0374715,-28.8077,8.72702,-1.59052,-4.1443,-35.8687,44.6266,37.0572,95.0703,0.0151575,0.983713,0.1308,-0.122353,354.606,327.713,24.6786,26.3316,-0.227487
1,0,117169,2.88669,-41.3051,-0.0374715,-28.8077,8.72702,-1.59052,-4.1443,-35.8687,44.6339,37.0469,95.0979,0.0146302,0.983841,0.130859,-0.121317,354.606,327.713,24.6786,26.3316,-0.227487
2,0,117169,2.88669,-41.3051,-0.0181472,-29.0046,8.72702,-1.59052,-4.10579,-36.0007,44.6339,37.0469,95.0979,0.0146302,0.983841,0.130859,-0.121317,354.459,327.946,23.7272,25.6799,-0.0204854
3,0,117199,3.07211,-41.7139,-0.0181472,-29.0046,8.72702,-1.59052,-4.10579,-36.0007,44.6563,37.0229,95.2061,0.0144506,0.98368,0.132827,-0.120509,354.459,327.946,23.7272,25.6799,-0.0204854
4,8,117199,3.07211,-41.7139,-0.140599,-28.9593,-0.18794,-29.0404,-4.23703,-35.9747,44.6563,37.0229,95.2061,0.0144506,0.98368,0.132827,-0.120509,354.712,327.884,24.5017,26.1031,-0.0400227
5,0,117229,2.72948,-41.5758,-0.140599,-28.9593,-0.18794,-29.0404,-4.23703,-35.9747,44.6694,37.0103,95.2091,0.0148448,0.983561,0.132244,-0.122065,354.712,327.884,24.5017,26.1031,-0.0400227
6,5,117247,2.10028,-41.1063,-0.190924,-29.4245,-0.23774,-29.5037,-4.2456,-36.2901,44.6623,37.025,95.1309,0.0147745,0.983467,0.130117,-0.125072,354.726,328.364,23.4114,24.9884,-0.0182071
7,0,117269,1.46971,-40.6344,-0.190924,-29.4245,-0.23774,-29.5037,-4.2456,-36.2901,44.6564,37.0371,95.067,0.0147041,0.983361,0.127989,-0.128077,354.726,328.364,23.4114,24.9884,-0.0182071
8,8,117269,1.46971,-40.6344,-0.151731,-29.1748,-0.198823,-29.255,-4.22836,-36.1204,44.6564,37.0371,95.067,0.0147041,0.983361,0.127989,-0.128077,354.672,328.104,23.6504,25.2901,0.0303141
9,8,117279,1.53477,-41.8999,-0.151731,-29.1748,-0.198823,-29.255,-4.22836,-36.1204,44.6594,37.0427,95.0696,0.0158847,0.982693,0.133277,-0.127668,354.672,328.104,23.6504,25.2901,0.0303141
