id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ETx,ETy,ETrmin,ETrmax,ETphi
0,5,51407,7.98254,-18.0471,10.8829,-13.1261,10.8546,-13.2005,8.76662,-18.6804,27.8764,32.0237,94.5905,-0.0260208,0.998249,0.0509545,-0.0149917,301.124,312.439,25.4886,32.3157,-0.267196
1,5,51407,8.56597,-18.4261,10.8829,-13.1261,10.8546,-13.2005,8.76662,-18.6804,27.8306,32.0355,94.3736,-0.0259539,0.998199,0.0527127,-0.0121102,301.124,312.439,25.4886,32.3157,-0.267196
2,0,51422,8.65034,-18.2066,10.8829,-13.1261,10.8546,-13.2005,8.76662,-18.6804,27.8272,32.028,94.3809,-0.025959,0.998258,0.0516938,-0.0116201,301.124,312.439,25.4886,32.3157,-0.267196
3,0,51442,8.33324,-18.0025,10.8829,-13.1261,10.8546,-13.2005,8.76662,-18.6804,27.8234,32.022,94.3754,-0.0259276,0.998291,0.0506988,-0.0131129,301.124,312.439,25.4886,32.3157,-0.267196
4,8,51442,8.33324,-18.0025,10.9641,-12.6447,10.9362,-12.7216,8.87864,-18.3869,27.8234,32.022,94.3754,-0.0259276,0.998291,0.0506988,-0.0131129,300.894,312.026,27.1455,34.0257,-0.259107
5,8,51452,8.2877,-17.8855,10.9641,-12.6447,10.9362,-12.7216,8.87864,-18.3869,27.8212,32.0194,94.3761,-0.0255908,0.998328,0.0501087,-0.013254,300.894,312.026,27.1455,34.0257,-0.259107
6,0,51472,7.96391,-17.2932,10.9641,-12.6447,10.9362,-12.7216,8.87864,-18.3869,27.8174,32.0173,94.3763,-0.0257595,0.998444,0.0472163,-0.0147169,300.894,312.026,27.1455,34.0257,-0.259107
7,8,51472,7.96391,-17.2932,10.9866,-12.8261,10.9586,-12.9021,8.89695,-18.5016,27.8174,32.0173,94.3763,-0.0257595,0.998444,0.0472163,-0.0147169,300.88,312.181,26.0399,33.1008,-0.29728
8,0,51492,7.83841,-17.4957,10.9866,-12.8261,10.9586,-12.9021,8.89695,-18.5016,27.8114,32.0126,94.3811,-0.0254331,0.998397,0.048189,-0.0153045,300.88,312.181,26.0399,33.1008,-0.29728
9,0,51502,7.85455,-16.9992,10.9866,-12.8261,10.9586,-12.9021,8.89695,-18.5016,27.8242,31.9884,94.5532,-0.0251605,0.998515,0.0459216,-0.0150243,300.88,312.181,26.0399,33.1008,-0.29728
10,5,51521,7.7488,-16.9513,11.0168,-12.4436,10.989,-12.5216,8.94674,-18.2657,27.824,31.9883,94.5531,-0.0249746,0.998524,0.0456623,-0.015511,300.738,311.83,27.3301,34.1145,-0.247704
11,8,51522,7.63874,-16.9015,11.0168,-12.4436,10.989,-12.5216,8.94674,-18.2657,27.8195,31.9862,94.5511,-0.0247888,0.998533,0.0454029,-0.0159977,300.738,311.83,27.3301,34.1145,-0.247704
12,0,51542,7.00669,-16.1449,11.0168,-12.4436,10.989,-12.5216,8.94674,-18.2657,27.8186,31.9744,94.6035,-0.025322,0.998626,0.0417622,-0.0189822,300.738,311.83,27.3301,34.1145,-0.247704
13,5,51562,6.93487,-16.6683,11.0835,-12.893,11.0556,-12.9688,9.0046,-18.5509,27.8128,31.9754,94.6054,-0.0253638,0.998507,0.0443153,-0.0194236,300.64,312.256,25.5186,32.5187,-0.292297
14,8,51552,6.86911,-17.3233,11.0835,-12.893,11.0556,-12.9688,9.0046,-18.5509,27.8117,31.9754,94.6122,-0.0252067,0.998356,0.0474984,-0.0198604,300.64,312.256,25.5186,32.5187,-0.292297
15,0,51592,6.86544,-17.1921,11.0835,-12.893,11.0556,-12.9688,9.0046,-18.5509,27.809,31.9761,94.6066,-0.0254055,0.99838,0.0468682,-0.0198648,300.64,312.256,25.5186,32.5187,-0.292297
16,8,51592,6.86544,-17.1921,11.0832,-12.8005,11.0554,-12.8767,9.00803,-18.4932,27.809,31.9761,94.6066,-0.0254055,0.99838,0.0468682,-0.0198648,300.607,312.164,25.6557,32.5806,-0.261559
17,8,51602,6.98718,-17.4669,11.0832,-12.8005,11.0554,-12.8767,9.00803,-18.4932,27.8059,31.9766,94.601,-0.0254362,0.998326,0.0482193,-0.0193153,300.607,312.164,25.6557,32.5806,-0.261559
18,5,51638,6.99847,-17.7503,10.9746,-12.5715,10.9467,-12.6488,8.89352,-18.3421,27.804,31.9778,94.6034,-0.0255487,0.998255,0.049606,-0.0193253,300.896,311.879,26.0984,32.8081,-0.314411
19,5,51638,6.75726,-18.0163,10.9746,-12.5715,10.9467,-12.6488,8.89352,-18.3421,27.8016,31.9811,94.6051,-0.0256383,0.998164,0.0508683,-0.0205742,300.896,311.879,26.0984,32.8081,-0.314411
20,0,51652,7.00635,-18.036,10.9746,-12.5715,10.9467,-12.6488,8.89352,-18.3421,27.7991,31.9808,94.6097,-0.0256611,0.998182,0.0509926,-0.0193353,300.896,311.879,26.0984,32.8081,-0.314411
21,8,51652,7.00635,-18.036,11.0209,-12.6778,10.993,-12.7546,8.94196,-18.412,27.7991,31.9808,94.6097,-0.0256611,0.998182,0.0509926,-0.0193353,300.764,312.047,26.2382,33.2934,-0.271401
22,4,51673,6.92192,-18.062,10.953,-12.5772,10.925,-12.6544,8.86865,-18.3439,27.7991,31.9804,94.609,-0.0255808,0.99817,0.0511065,-0.0197477,300.928,311.965,27.2066,34.2839,-0.269142
23,5,51695,7.23211,-18.057,10.919,-12.5265,10.8911,-12.604,8.83201,-18.3097,27.7977,31.9724,94.5997,-0.0252191,0.998209,0.0511212,-0.0181666,301.01,311.924,27.6908,34.7791,-0.268013
24,8,51693,7.51252,-16.9336,10.919,-12.5265,10.8911,-12.604,8.83201,-18.3097,27.7991,31.9749,94.6011,-0.0254453,0.998495,0.0456739,-0.0165687,301.01,311.924,27.6908,34.7791,-0.268013
25,0,51723,7.5426,-18.0541,10.919,-12.5265,10.8911,-12.604,8.83201,-18.3097,27.7967,31.9661,94.5924,-0.0248573,0.998245,0.0511357,-0.0165854,301.01,311.924,27.6908,34.7791,-0.268013
26,8,51723,7.5426,-18.0541,10.9689,-13.2534,10.9407,-13.3272,8.85954,-18.7664,27.7967,31.9661,94.5924,-0.0248573,0.998245,0.0511357,-0.0165854,300.916,312.667,26.3108,33.474,-0.24243
27,0,51744,7.50173,-17.5794,10.9689,-13.2534,10.9407,-13.3272,8.85954,-18.7664,27.7965,31.9642,94.5901,-0.0250819,0.998351,0.0488472,-0.0167114,300.916,312.667,26.3108,33.474,-0.24243
28,0,51753,7.13484,-17.8249,10.9689,-13.2534,10.9407,-13.3272,8.85954,-18.7664,27.7906,31.966,94.5828,-0.0253643,0.998253,0.0500206,-0.0185878,300.916,312.667,26.3108,33.474,-0.24243
29,5,51771,7.34942,-17.8662,11.0088,-12.4392,10.9811,-12.5172,8.93789,-18.2624,27.7901,31.9657,94.5826,-0.0254721,0.998257,0.0502528,-0.0175496,300.768,311.834,27.4284,34.3299,-0.2561
30,8,51773,7.56006,-17.9053,11.0088,-12.4392,10.9811,-12.5172,8.93789,-18.2624,27.7858,31.963,94.5814,-0.0255799,0.998261,0.0504849,-0.0165114,300.768,311.834,27.4284,34.3299,-0.2561
31,0,51793,8.04281,-17.9853,11.0088,-12.4392,10.9811,-12.5172,8.93789,-18.2624,27.785,31.9475,94.5637,-0.0249665,0.99829,0.0509414,-0.014075,300.768,311.834,27.4284,34.3299,-0.2561
32,8,51793,8.04281,-17.9853,11.0214,-12.1448,10.9939,-12.2244,8.96413,-18.08,27.785,31.9475,94.5637,-0.0249665,0.99829,0.0509414,-0.014075,300.717,311.501,27.3002,34.02,-0.266443
33,8,51803,7.27282,-17.9544,11.0214,-12.1448,10.9939,-12.2244,8.96413,-18.08,27.78,31.9316,94.5671,-0.0256424,0.998216,0.0508621,-0.0179245,300.717,311.501,27.3002,34.02,-0.266443
34,0,51823,7.86121,-17.1238,11.0214,-12.1448,10.9939,-12.2244,8.96413,-18.08,27.7697,31.8837,94.5713,-0.0258844,0.998443,0.0471377,-0.0148036,300.717,311.501,27.3002,34.02,-0.266443
35,8,51823,7.86121,-17.1238,11.0565,-12.101,11.0291,-12.1808,9.00591,-18.0554,27.7697,31.8837,94.5713,-0.0258844,0.998443,0.0471377,-0.0148036,300.643,311.433,26.7938,33.4626,-0.289502
36,0,51843,8.23514,-16.6381,11.0565,-12.101,11.0291,-12.1808,9.00591,-18.0554,27.7425,31.8233,94.4258,-0.0254364,0.99858,0.045031,-0.0127468,300.643,311.433,26.7938,33.4626,-0.289502
37,0,51853,7.56635,-16.3517,11.0565,-12.101,11.0291,-12.1808,9.00591,-18.0554,27.7506,31.759,94.5454,-0.0264812,0.99855,0.0440282,-0.0160675,300.643,311.433,26.7938,33.4626,-0.289502
38,8,51853,7.56635,-16.3517,11.1341,-11.7272,11.1069,-11.809,9.10937,-17.8287,27.7506,31.759,94.5454,-0.0264812,0.99855,0.0440282,-0.0160675,300.398,311.058,26.7046,33.3675,-0.262705
39,0,51873,7.74192,-15.0861,11.1341,-11.7272,11.1069,-11.809,9.10937,-17.8287,27.7162,31.6722,94.3307,-0.026309,0.998813,0.038215,-0.0148617,300.398,311.058,26.7046,33.3675,-0.262705
40,0,51893,7.60349,-13.6495,11.1341,-11.7272,11.1069,-11.809,9.10937,-17.8287,27.7086,31.5154,94.4133,-0.0264942,0.999022,0.0319893,-0.0151496,300.398,311.058,26.7046,33.3675,-0.262705
41,5,51907,6.47874,-11.7896,11.2782,-12.6252,11.2509,-12.7025,9.23734,-18.3993,27.6819,31.1363,94.3913,-0.0276198,0.999106,0.0247442,-0.0202956,300.1,311.999,24.1074,31.5079,-0.248027
42,8,51903,7.52287,-13.6492,11.2782,-12.6252,11.2509,-12.7025,9.23734,-18.3993,27.6968,31.426,94.3681,-0.0266557,0.998997,0.0324489,-0.0155264,300.1,311.999,24.1074,31.5079,-0.248027
43,5,51928,6.46051,-11.9694,10.5615,-10.8037,10.5338,-10.8897,8.49423,-17.2086,27.6873,31.2621,94.3736,-0.0277006,0.999094,0.024974,-0.020484,301.669,309.768,23.6101,30.2475,-0.241338
44,0,51943,5.38719,-10.184,10.5615,-10.8037,10.5338,-10.8897,8.49423,-17.2086,27.6715,30.9889,94.3828,-0.0287432,0.99911,0.0174971,-0.0254399,301.669,309.768,23.6101,30.2475,-0.241338
45,0,51953,6.22941,-6.60447,10.5615,-10.8037,10.5338,-10.8897,8.49423,-17.2086,27.6745,30.8495,94.425,-0.0295339,0.999351,0.000565405,-0.0205969,301.669,309.768,23.6101,30.2475,-0.241338
46,8,51953,6.22941,-6.60447,10.1898,-9.06798,10.1623,-9.16252,8.14084,-16.0983,27.6745,30.8495,94.425,-0.0295339,0.999351,0.000565405,-0.0205969,302.414,307.818,22.4459,29.8798,-0.222039
