id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ETx,ETy,ETrmin,ETrmax,ETphi
0,5,91062,5.25624,-29.0569,13.5068,-28.4543,13.5741,-28.4524,21.0259,-28.2428,18.3979,32.8929,68.9951,0.0146385,0.996084,0.0840002,0.023376,294.954,228.685,23.4,31.6731,-0.216311
1,5,91062,5.11534,-29.4829,13.5068,-28.4543,13.5741,-28.4524,21.0259,-28.2428,18.3967,32.9148,68.9972,0.015086,0.995935,0.0858358,0.0227804,294.954,228.685,23.4,31.6731,-0.216311
2,0,91085,4.14257,-29.2635,13.6438,-28.4558,13.5741,-28.4524,21.7359,-28.4825,18.4807,32.8921,68.9141,0.0157768,0.996102,0.0850054,0.0174749,294.082,229.116,22.693,32.9178,-0.144525
3,8,91079,5.53482,-29.7899,13.6438,-28.4558,13.716,-28.456,21.7359,-28.4825,18.3981,32.917,68.9976,0.0154255,0.995866,0.0865245,0.0229429,294.082,229.116,22.693,32.9178,-0.144525
4,5,91704,3.37571,-29.4602,-3.32811,-27.9619,-3.6523,-27.8193,-39.7849,-11.9248,18.5211,32.8794,68.8758,0.0165801,0.996079,0.0859068,0.013124,368.005,218.598,29.4504,58.7163,0.307833
5,8,91700,3.07454,-29.3002,-3.32811,-27.9619,-3.6523,-27.8193,-39.7849,-11.9248,18.5254,32.8859,68.8284,0.0166941,0.996225,0.0845938,0.0100938,368.005,218.598,29.4504,58.7163,0.307833
6,0,91730,3.62162,-29.6755,-3.32811,-27.9619,-3.6523,-27.8193,-39.7849,-11.9248,18.5671,32.8644,68.8323,0.0163534,0.995981,0.086952,0.0139166,368.005,218.598,29.4504,58.7163,0.307833
7,0,92480,3.69752,-28.5134,-27.901,-26.1856,-3.6523,-27.8193,-36.7807,-33.6917,18.7199,32.7954,69.0068,0.0179726,0.996392,0.0819201,0.0130376,363.683,234.589,55.6995,58.7056,1.37296
8,0,92500,4.05996,-27.9524,-27.901,-26.1856,-3.6523,-27.8193,-36.7807,-33.6917,18.7149,32.796,68.9998,0.0182667,0.996577,0.0792354,0.014909,363.683,234.589,55.6995,58.7056,1.37296
9,5,92720,3.1986,-29.318,0.802572,-27.636,0.919115,-27.7032,13.8922,-35.1811,18.6898,32.815,68.9559,0.0177172,0.996124,0.0855052,0.0105663,303.659,234.274,23.8193,29.492,-0.123959
10,5,92720,3.02301,-29.3727,0.802572,-27.636,0.919115,-27.7032,13.8922,-35.1811,18.6823,32.8073,68.9261,0.0175993,0.996108,0.0858151,0.00971857,303.659,234.274,23.8193,29.492,-0.123959
11,0,92732,2.93681,-29.4587,0.802572,-27.636,0.919115,-27.7032,13.8922,-35.1811,18.6777,32.8009,68.9295,0.0174623,0.996075,0.0862709,0.00929021,303.659,234.274,23.8193,29.492,-0.123959
12,0,92751,3.34054,-29.0755,0.802572,-27.636,0.919115,-27.7032,13.8922,-35.1811,18.6759,32.7998,68.932,0.017629,0.996208,0.0844491,0.0113181,303.659,234.274,23.8193,29.492,-0.123959
13,5,93454,3.46039,-29.1566,0.794867,-27.6393,0.908647,-27.7051,13.5626,-35.0237,18.7302,32.7788,68.9238,0.0170979,0.996192,0.0847934,0.0109087,304.091,234.135,23.4775,30.246,-0.167724
