id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ETx,ETy,ETrmin,ETrmax,ETphi
0,0,29694,3.50147,-43.8455,6.02107,-44.4098,-5.03024e-30,-1.6377,3.66397,-82.9213,19.2902,36.9054,62.2088,0.0195993,0.993375,0.113104,0.0054327,298.39,260.219,27.2344,29.3068,-0.256463
1,0,29714,3.27358,-44.2261,6.02107,-44.4098,-5.03024e-30,-1.6377,3.66397,-82.9213,19.2838,36.9116,62.1936,0.01944,0.993203,0.114676,0.00431313,298.39,260.219,27.2344,29.3068,-0.256463
2,5,29797,2.93307,-44.1669,5.30328,-43.98,5.27118,-44.194,-0.292814,-81.2792,19.2603,36.9437,62.0499,0.0188548,0.99318,0.114984,0.00415393,300.49,259.606,26.2369,29.2897,-0.422502
3,0,29814,2.90076,-44.1139,5.30328,-43.98,5.27118,-44.194,-0.292814,-81.2792,19.2551,36.9403,62.0231,0.0186752,0.993211,0.114749,0.00395507,300.49,259.606,26.2369,29.2897,-0.422502
4,0,29834,3.09475,-44.2382,5.30328,-43.98,5.27118,-44.194,-0.292814,-81.2792,19.2488,36.9262,62.0342,0.0186926,0.993135,0.115367,0.00493183,300.49,259.606,26.2369,29.2897,-0.422502
5,8,29864,3.35703,-43.3358,5.75387,-45.4113,5.73022,-45.6489,1.48934,-88.2521,19.241,36.9085,62.0205,0.0187671,0.993664,0.110712,0.00479836,300.111,262.135,26.0439,31.8577,-1.06255
6,0,29884,3.09565,-43.6065,5.75387,-45.4113,5.73022,-45.6489,1.48934,-88.2521,19.2434,36.9009,62.0115,0.0191205,0.993418,0.112825,0.00507445,300.111,262.135,26.0439,31.8577,-1.06255
7,0,30004,4.02218,-43.1032,4.32597,-43.1968,5.73022,-45.6489,-5.56048,-78.0303,19.5282,36.8882,62.2834,0.0205405,0.993591,0.110889,0.00769434,303.313,258.1,26.7554,28.7979,-0.826138
8,5,30204,4.5892,-43.5925,4.54505,-42.6084,4.49501,-42.799,-3.91811,-74.85,19.5527,36.8902,62.3154,0.019171,0.993382,0.112838,0.00961102,302.355,256.964,25.5507,28.5045,-0.426758
9,0,30215,4.45269,-43.7253,4.54505,-42.6084,4.49501,-42.799,-3.91811,-74.85,19.5525,36.8927,62.3154,0.0185953,0.993336,0.113405,0.00874937,302.355,256.964,25.5507,28.5045,-0.426758
10,5,30232,4.5308,-43.8522,4.45664,-42.5034,4.40432,-42.6923,-4.37404,-74.3816,19.5525,36.8924,62.3212,0.0185701,0.993273,0.113935,0.00910032,302.594,256.818,25.1348,28.6989,-0.38528
11,8,30235,4.83945,-44.1366,4.45664,-42.5034,4.40432,-42.6923,-4.37404,-74.3816,19.5525,36.8907,62.354,0.0185448,0.993209,0.114464,0.00945126,302.594,256.818,25.1348,28.6989,-0.38528
12,8,30285,4.87316,-44.708,5.13462,-42.7265,5.10119,-42.9171,-0.526179,-74.9969,19.5509,36.9238,62.3643,0.0162525,0.992996,0.116686,0.00885279,300.54,257.086,24.0231,27.9192,-0.337396
13,8,30295,4.98262,-44.534,5.13462,-42.7265,5.10119,-42.9171,-0.526179,-74.9969,19.5531,36.9315,62.361,0.0163763,0.993084,0.115874,0.0094153,300.54,257.086,24.0231,27.9192,-0.337396
14,5,30404,4.27499,-44.5305,5.73822,-38.5521,5.73695,-38.6467,5.54137,-53.1729,19.5553,36.9405,62.354,0.0152271,0.993055,0.116477,0.00657834,296.929,247.148,7.59259,17.4197,-0.405321
15,5,30404,4.23543,-44.3721,5.73822,-38.5521,5.73695,-38.6467,5.54137,-53.1729,19.5518,36.9352,62.3641,0.0151756,0.993128,0.115867,0.0064124,296.929,247.148,7.59259,17.4197,-0.405321
16,0,30415,3.95818,-44.4485,5.73822,-38.5521,5.73695,-38.6467,5.54137,-53.1729,19.541,36.9311,62.3433,0.0152346,0.993094,0.116216,0.00515484,296.929,247.148,7.59259,17.4197,-0.405321
17,5,30454,3.94587,-44.613,4.66577,-43.1004,4.618,-43.3002,-3.50618,-77.2734,19.5295,36.9169,62.3473,0.016158,0.992987,0.116987,0.00544788,302.092,257.892,24.6527,26.9304,-0.417857
18,0,30465,4.05908,-44.4011,4.66577,-43.1004,4.618,-43.3002,-3.50618,-77.2734,19.5211,36.9015,62.3526,0.0168126,0.993065,0.116189,0.00627936,302.092,257.892,24.6527,26.9304,-0.417857
19,0,30530,4.22433,-44.5285,4.32562,-42.7565,4.618,-43.3002,-5.29653,-75.778,19.6357,36.8772,62.1739,0.0178927,0.992997,0.116602,0.00632679,303.107,257.304,23.9091,26.9909,-0.528572
