id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ETx,ETy,ETrmin,ETrmax,ETphi
0,0,97217,2.13401,-44.5467,-1.48272,-39.4922,0,1.91651,-4.22763,-37.153,20.7584,41.3431,71.2893,0.00757154,0.995396,0.094426,-0.0146001,315.646,258.915,27.0099,31.4245,-0.17986
1,0,97287,2.1334,-44.6317,-1.48272,-39.4922,0,1.91651,-4.22763,-37.153,20.7517,41.3123,71.3662,0.00763022,0.995333,0.0950935,-0.0145038,315.646,258.915,27.0099,31.4245,-0.17986
2,0,97307,2.0766,-44.909,-1.48272,-39.4922,0,1.91651,-4.22763,-37.153,20.7471,41.3029,71.3699,0.00770124,0.995211,0.0963283,-0.0147446,315.646,258.915,27.0099,31.4245,-0.17986
3,0,97328,1.76062,-45.3164,-1.48272,-39.4922,0,1.91651,-4.22763,-37.153,20.7402,41.2933,71.3799,0.00748561,0.995011,0.0981306,-0.0163329,315.646,258.915,27.0099,31.4245,-0.17986
4,8,97328,1.76062,-45.3164,-1.74212,-39.4043,-1.79498,-39.3836,-10.2928,-36.0634,20.7402,41.2933,71.3799,0.00748561,0.995011,0.0981306,-0.0163329,316.891,258.582,27.3948,29.872,-0.123791
5,8,97337,1.91944,-45.3042,-1.74212,-39.4043,-1.79498,-39.3836,-10.2928,-36.0634,20.7369,41.2932,71.3675,0.00750565,0.995031,0.0980574,-0.015539,316.891,258.582,27.3948,29.872,-0.123791
6,5,97363,1.78388,-44.9192,1.12517,-40.4591,1.42232,-40.5238,59.0445,-53.0716,20.7318,41.2876,71.3865,0.00729702,0.995102,0.0972978,-0.0158674,304.399,262.739,26.974,31.1217,-0.263204
7,8,97357,2.08489,-45.4237,1.12517,-40.4591,1.42232,-40.5238,59.0445,-53.0716,20.7293,41.2879,71.3625,0.00724086,0.994992,0.0985862,-0.0147897,304.399,262.739,26.974,31.1217,-0.263204
8,0,97387,1.71941,-44.7263,1.12517,-40.4591,1.42232,-40.5238,59.0445,-53.0716,20.7263,41.2815,71.4071,0.00708838,0.995172,0.0965381,-0.0161958,304.399,262.739,26.974,31.1217,-0.263204
9,8,97387,1.78715,-44.9076,1.44451,-40.5403,1.76649,-40.6016,65.7636,-52.7964,20.7263,41.2815,71.4071,0.00708838,0.995172,0.0965381,-0.0161958,303.477,263.023,26.5449,32.2507,-0.181254
