id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ETx,ETy,ETrmin,ETrmax,ETphi
0,0,130343,6.71896,-51.8318,-0.98914,-50.6905,-1.68952e-31,1.94114,9.35311,-45.122,20.2834,39.6172,57.9639,0.0121877,0.993113,0.11649,0.00274622,297.181,264.011,29.5099,33.4918,-0.360396
1,0,130343,6.71896,-51.8318,-0.129209,-50.9358,-1.68952e-31,1.94114,9.40205,-45.7775,20.2834,39.6172,57.9639,0.0121877,0.993113,0.11649,0.00274622,297.12,265.093,27.8832,32.7293,-0.337398
2,0,130343,6.71896,-51.8318,-0.811386,-50.8636,-1.68952e-31,1.94114,8.8721,-45.617,20.2834,39.6172,57.9639,0.0121877,0.993113,0.11649,0.00274622,298.06,264.717,28.5405,32.2438,-0.298187
3,0,130353,6.53197,-52.071,-0.811386,-50.8636,-1.68952e-31,1.94114,8.8721,-45.617,20.2794,39.6159,57.9818,0.0118363,0.992997,0.117529,0.00171616,298.06,264.717,28.5405,32.2438,-0.298187
4,0,130393,7.07034,-51.3439,-0.811386,-50.8636,-1.68952e-31,1.94114,8.8721,-45.617,20.2623,39.6222,57.9339,0.0117773,0.993354,0.114407,0.00451943,298.06,264.717,28.5405,32.2438,-0.298187
5,0,130413,7.00899,-51.0361,-0.811386,-50.8636,-1.68952e-31,1.94114,8.8721,-45.617,20.2488,39.616,57.9298,0.0117985,0.993491,0.113212,0.0043929,298.06,264.717,28.5405,32.2438,-0.298187
6,8,130413,6.96452,-50.8897,-1.095,-50.7557,-0.977757,-50.6924,8.96426,-45.3215,20.2488,39.616,57.9298,0.0117985,0.993491,0.113212,0.0043929,297.934,264.282,29.7165,33.5583,-0.369374
7,8,130423,7.16967,-51.3683,-1.095,-50.7557,-0.977757,-50.6924,8.96426,-45.3215,20.2426,39.6155,57.8764,0.0118433,0.993278,0.115026,0.00534513,297.934,264.282,29.7165,33.5583,-0.369374
8,0,130443,7.15506,-51.9176,-1.095,-50.7557,-0.977757,-50.6924,8.96426,-45.3215,20.2357,39.6098,57.8837,0.0121456,0.993079,0.1167,0.00518493,297.934,264.282,29.7165,33.5583,-0.369374
9,0,130443,7.15506,-51.9176,-0.69714,-51.0106,-0.977757,-50.6924,8.41929,-46.0403,20.2357,39.6098,57.8837,0.0121456,0.993079,0.1167,0.00518493,299.093,265.34,27.5819,32.1187,-0.489219
10,0,130473,6.84099,-51.8056,-0.69714,-51.0106,-0.977757,-50.6924,8.41929,-46.0403,20.2258,39.6008,57.8973,0.0125766,0.993119,0.116366,0.00395493,299.093,265.34,27.5819,32.1187,-0.489219
11,0,130493,6.62966,-51.4982,-1.51951,-50.5802,-0.977757,-50.6924,9.15881,-44.8378,20.2207,39.5979,57.8983,0.0125827,0.99326,0.115179,0.00302671,297.515,263.626,29.0529,33.9796,-0.305653
12,0,130523,6.21272,-51.4326,-1.51951,-50.5802,-0.977757,-50.6924,9.15881,-44.8378,20.2126,39.593,57.9063,0.0122625,0.993286,0.115029,0.000969237,297.515,263.626,29.0529,33.9796,-0.305653
13,0,130543,6.23344,-51.4008,-1.51951,-50.5802,-0.977757,-50.6924,9.15881,-44.8378,20.2143,39.5943,57.9021,0.0122593,0.993303,0.114881,0.00105447,297.515,263.626,29.0529,33.9796,-0.305653
14,0,130543,6.23344,-51.4008,-1.54497,-50.565,-0.977757,-50.6924,9.18926,-44.7951,20.2143,39.5943,57.9021,0.0122593,0.993303,0.114881,0.00105447,297.43,263.544,30.9114,34.993,-0.285263
15,8,130553,6.08623,-51.6391,-1.54497,-50.565,-1.41967,-50.4976,9.18926,-44.7951,20.214,39.5919,57.8996,0.0120074,0.993126,0.11643,0.000391065,297.43,263.544,30.9114,34.993,-0.285263
16,0,130573,6.31949,-51.3085,-1.54497,-50.565,-1.41967,-50.4976,9.18926,-44.7951,20.2142,39.5971,57.8822,0.0123847,0.993352,0.114436,0.0015206,297.43,263.544,30.9114,34.993,-0.285263
17,8,130573,6.27856,-51.1729,-1.12926,-50.7087,-1.00986,-50.6443,9.11194,-45.1859,20.2142,39.5971,57.8822,0.0123847,0.993352,0.114436,0.0015206,297.555,264.164,29.8592,34.1963,-0.231396
18,0,130593,6.51171,-51.825,-1.12926,-50.7087,-1.00986,-50.6443,9.11194,-45.1859,20.2151,39.602,57.9084,0.0135227,0.9931,0.116456,0.00284636,297.555,264.164,29.8592,34.1963,-0.231396
19,0,130603,5.97392,-51.3853,-1.12926,-50.7087,-1.00986,-50.6443,9.11194,-45.1859,20.2133,39.6065,57.9259,0.014425,0.993294,0.114708,0.000697104,297.555,264.164,29.8592,34.1963,-0.231396
20,0,130603,5.97392,-51.3853,-1.84236,-50.4865,-1.00986,-50.6443,9.1471,-44.5869,20.2133,39.6065,57.9259,0.014425,0.993294,0.114708,0.000697104,297.4,263.19,31.2503,34.8808,-0.174618
21,8,130623,5.83677,-51.9756,-1.84236,-50.4865,-1.71399,-50.4175,9.1471,-44.5869,20.2045,39.617,57.8677,0.0155056,0.992964,0.117399,0.0006077,297.4,263.19,31.2503,34.8808,-0.174618
22,0,130643,5.48844,-51.3942,-1.84236,-50.4865,-1.71399,-50.4175,9.1471,-44.5869,20.1936,39.6279,57.8663,0.01704,0.993286,0.114425,-0.000468037,297.4,263.19,31.2503,34.8808,-0.174618
23,8,130643,5.45027,-51.263,-1.35325,-50.6542,-1.23177,-50.5888,9.06135,-45.0428,20.1936,39.6279,57.8663,0.01704,0.993286,0.114425,-0.000468037,297.664,263.944,29.8374,34.3521,-0.253364
24,8,130653,5.20549,-50.9443,-1.35325,-50.6542,-1.23177,-50.5888,9.06135,-45.0428,20.1797,39.6281,57.9021,0.0173734,0.993418,0.113215,-0.00133834,297.664,263.944,29.8374,34.3521,-0.253364
25,0,130673,5.87272,-52.17,-1.35325,-50.6542,-1.23177,-50.5888,9.06135,-45.0428,20.1446,39.6302,57.8516,0.0183383,0.992912,0.117405,0.00225621,297.664,263.944,29.8374,34.3521,-0.253364
26,0,130673,5.87272,-52.17,-1.65336,-50.6391,-1.23177,-50.5888,8.76155,-45.021,20.1446,39.6302,57.8516,0.0183383,0.992912,0.117405,0.00225621,298.27,263.859,30.8573,34.9487,-0.303293
27,0,130703,4.923,-51.4102,-1.65336,-50.6391,-1.23177,-50.5888,8.76155,-45.021,20.0841,39.6337,57.8298,0.0187192,0.993258,0.114395,-0.00158007,298.27,263.859,30.8573,34.9487,-0.303293
28,0,130703,4.923,-51.4102,2.86492,-51.9396,-1.23177,-50.5888,8.97042,-48.5006,20.0841,39.6337,57.8298,0.0187192,0.993258,0.114395,-0.00158007,298.12,269.435,27.198,33.0422,-0.335981
29,8,130723,4.617,-52.2855,2.86492,-51.9396,2.93529,-51.9,8.97042,-48.5006,20.0298,39.6239,57.8245,0.0183158,0.992777,0.118535,-0.00265909,298.12,269.435,27.198,33.0422,-0.335981
30,0,130753,4.35578,-52.6133,2.86492,-51.9396,2.93529,-51.9,8.97042,-48.5006,19.9538,39.6182,57.782,0.0169704,0.992695,0.119383,-0.00401072,298.12,269.435,27.198,33.0422,-0.335981
31,8,130753,4.31971,-52.4885,3.00176,-52.1082,3.06456,-52.0723,8.45811,-48.9856,19.9538,39.6182,57.782,0.0169704,0.992695,0.119383,-0.00401072,299.051,269.881,32.9063,34.6576,-0.391369
32,0,130773,4.02598,-53.3308,3.00176,-52.1082,3.06456,-52.0723,8.45811,-48.9856,19.92,39.6097,57.7435,0.0172408,0.992334,0.122265,-0.0052833,299.051,269.881,32.9063,34.6576,-0.391369
33,0,130793,4.16201,-52.6677,3.00176,-52.1082,3.06456,-52.0723,8.45811,-48.9856,19.8828,39.6095,57.6457,0.0161185,0.992696,0.119471,-0.0047591,299.051,269.881,32.9063,34.6576,-0.391369
34,0,130793,4.16201,-52.6677,3.16108,-52.4131,3.06456,-52.0723,7.4259,-49.8693,19.8828,39.6095,57.6457,0.0161185,0.992696,0.119471,-0.0047591,301.289,271.384,28.4183,33.553,-0.570366
35,8,130803,4.04274,-52.0409,3.16108,-52.4131,3.21005,-52.3839,7.4259,-49.8693,19.87,39.6043,57.6955,0.0157847,0.992923,0.117597,-0.0051043,301.289,271.384,28.4183,33.553,-0.570366
36,0,130823,4.07588,-51.7324,3.16108,-52.4131,3.21005,-52.3839,7.4259,-49.8693,19.8584,39.5939,57.7221,0.0152074,0.993117,0.116021,-0.00518706,301.289,271.384,28.4183,33.553,-0.570366
37,8,130823,4.04105,-51.6133,3.19439,-52.5432,3.2374,-52.5169,6.94362,-50.2492,19.8584,39.5939,57.7221,0.0152074,0.993117,0.116021,-0.00518706,302.063,271.81,29.2114,32.0412,-0.49024
38,0,130843,3.74705,-51.9652,3.19439,-52.5432,3.2374,-52.5169,6.94362,-50.2492,19.8434,39.5817,57.7217,0.0146432,0.992989,0.117097,-0.00689692,302.063,271.81,29.2114,32.0412,-0.49024
39,0,130843,3.74705,-51.9652,3.97742,-52.7832,3.2374,-52.5169,6.92104,-50.8952,19.8434,39.5817,57.7217,0.0146432,0.992989,0.117097,-0.00689692,302.276,272.679,29.2819,31.7901,-0.813992
40,0,130874,4.00693,-52.5249,3.97742,-52.7832,3.2374,-52.5169,6.92104,-50.8952,19.8325,39.5756,57.686,0.0134502,0.992745,0.119331,-0.00610617,302.276,272.679,29.2819,31.7901,-0.813992
41,0,130893,4.27292,-52.7027,3.97742,-52.7832,3.2374,-52.5169,6.92104,-50.8952,19.8313,39.5764,57.675,0.0132803,0.992673,0.119997,-0.00490566,302.276,272.679,29.2819,31.7901,-0.813992
42,8,130893,4.23884,-52.5877,3.51741,-52.6687,3.55534,-52.6449,6.8282,-50.5933,19.8313,39.5764,57.675,0.0132803,0.992673,0.119997,-0.00490566,302.254,272.323,27.7864,30.548,-0.443333
43,8,130903,4.37962,-52.6013,3.51741,-52.6687,3.55534,-52.6449,6.8282,-50.5933,19.8278,39.5777,57.6921,0.0127246,0.992674,0.120072,-0.00440982,302.254,272.323,27.7864,30.548,-0.443333
44,0,130903,4.41363,-52.7156,4.98107,-53.1372,3.55534,-52.6449,6.70635,-51.8592,19.8278,39.5777,57.6921,0.0127246,0.992674,0.120072,-0.00440982,302.682,274.191,28.7947,31.0914,-0.753492
45,8,130943,4.30229,-52.6744,4.98107,-53.1372,5.00075,-53.1226,6.70635,-51.8592,19.8245,39.5709,57.6773,0.0119568,0.99264,0.120406,-0.00508894,302.682,274.191,28.7947,31.0914,-0.753492
46,0,130943,4.33563,-52.7859,4.71499,-53.0141,5.00075,-53.1226,6.88035,-51.5179,19.8245,39.5709,57.6773,0.0119568,0.99264,0.120406,-0.00508894,302.346,273.743,26.5703,29.9988,-0.679127
47,8,130973,4.52586,-52.3696,4.71499,-53.0141,4.73971,-52.9971,6.88035,-51.5179,19.833,39.5729,57.6753,0.0113309,0.992801,0.119161,-0.00430728,302.346,273.743,26.5703,29.9988,-0.679127
48,0,130993,4.05091,-52.3268,4.71499,-53.0141,4.73971,-52.9971,6.88035,-51.5179,19.8494,39.5669,57.6807,0.0110552,0.992849,0.118656,-0.00699964,302.346,273.743,26.5703,29.9988,-0.679127
49,8,130993,4.01856,-52.2193,4.76647,-53.0026,4.79185,-52.9852,6.98872,-51.48,19.8494,39.5669,57.6807,0.0110552,0.992849,0.118656,-0.00699964,301.985,273.724,26.8283,29.6269,-0.426207
50,8,131003,4.05323,-52.2041,4.76647,-53.0026,4.79185,-52.9852,6.98872,-51.48,19.8551,39.5662,57.6904,0.0107827,0.992857,0.118619,-0.00698552,301.985,273.724,26.8283,29.6269,-0.426207
51,0,131003,4.08543,-52.3108,4.83461,-53.0359,4.79185,-52.9852,6.93665,-51.5729,19.8551,39.5662,57.6904,0.0107827,0.992857,0.118619,-0.00698552,302.017,273.899,26.5676,29.4784,-0.289793
52,8,131023,4.51492,-52.1398,4.83461,-53.0359,4.85861,-53.0192,6.93665,-51.5729,19.8741,39.5633,57.6794,0.0107384,0.992904,0.118329,-0.00494488,302.017,273.899,26.5676,29.4784,-0.289793
53,0,131064,3.85726,-52.6738,4.83461,-53.0359,4.85861,-53.0192,6.93665,-51.5729,19.9175,39.5517,57.7584,0.0103781,0.99264,0.120334,-0.0088083,302.017,273.899,26.5676,29.4784,-0.289793
54,8,131064,3.82626,-52.5712,4.58733,-53.0007,4.61239,-52.9834,6.78097,-51.4881,19.9175,39.5517,57.7584,0.0103781,0.99264,0.120334,-0.0088083,302.38,273.721,25.9192,28.9391,-0.435513
55,8,131074,3.94462,-51.7477,4.58733,-53.0007,4.61239,-52.9834,6.78097,-51.4881,19.9277,39.5495,57.7835,0.0106014,0.993033,0.117082,-0.00812601,302.38,273.721,25.9192,28.9391,-0.435513
56,0,131094,3.9127,-51.6027,4.58733,-53.0007,4.61239,-52.9834,6.78097,-51.4881,19.9584,39.5545,57.7649,0.0106639,0.993152,0.116021,-0.0086626,302.38,273.721,25.9192,28.9391,-0.435513
57,0,131104,4.21077,-51.748,4.58733,-53.0007,4.61239,-52.9834,6.78097,-51.4881,19.9756,39.5573,57.7331,0.0113044,0.993102,0.116489,-0.00715569,302.38,273.721,25.9192,28.9391,-0.435513
58,8,131104,4.1809,-51.6488,4.43974,-52.9903,4.46493,-52.9729,6.64548,-51.4686,19.9756,39.5573,57.7331,0.0113044,0.993102,0.116489,-0.00715569,302.643,273.69,25.2099,28.5626,-0.444348
59,0,131144,3.31387,-51.6535,4.43974,-52.9903,4.46493,-52.9729,6.64548,-51.4686,20.0658,39.5537,57.8291,0.0127311,0.99306,0.116334,-0.0116543,302.643,273.69,25.2099,28.5626,-0.444348
60,8,131144,3.28525,-51.5574,3.5291,-52.8911,3.55678,-52.8722,5.9496,-51.2459,20.0658,39.5537,57.8291,0.0127311,0.99306,0.116334,-0.0116543,303.898,273.294,25.8392,28.8085,-0.373677
61,8,131154,3.59737,-51.5629,3.5291,-52.8911,3.55678,-52.8722,5.9496,-51.2459,20.0888,39.5499,57.8657,0.0131252,0.993061,0.116419,-0.010166,303.898,273.294,25.8392,28.8085,-0.373677
62,0,131174,4.19657,-51.7332,3.5291,-52.8911,3.55678,-52.8722,5.9496,-51.2459,20.1383,39.5564,57.8173,0.0134508,0.993066,0.116528,-0.00775714,303.898,273.294,25.8392,28.8085,-0.373677
63,8,131174,4.16857,-51.639,2.79365,-52.7893,2.82435,-52.7688,5.47459,-51.0024,20.1383,39.5564,57.8173,0.0134508,0.993066,0.116528,-0.00775714,304.813,272.865,25.194,28.3042,-0.436323
64,0,131204,4.15436,-51.8166,2.79365,-52.7893,2.82435,-52.7688,5.47459,-51.0024,20.2008,39.5675,57.8079,0.0146888,0.993023,0.116723,-0.00803652,304.813,272.865,25.194,28.3042,-0.436323
65,0,131204,4.15436,-51.8166,2.09454,-52.5322,2.82435,-52.7688,5.6663,-50.3,20.2008,39.5675,57.8079,0.0146888,0.993023,0.116723,-0.00803652,304.41,271.758,25.1511,28.2043,-0.42795
