id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ETx,ETy,ETrmin,ETrmax,ETphi
0,0,42815,0.765186,-48.9901,-2.7048,-45.2859,2.11369e+28,-1.80335,-1.70561,-40.1411,4.95791,35.6311,54.9347,-0.0314056,0.984944,0.135293,0.102928,318.5,249.501,27.2266,31.4069,-0.164529
1,0,42825,0.590226,-49.1463,-2.7048,-45.2859,2.11369e+28,-1.80335,-1.70561,-40.1411,4.96234,35.6282,54.9363,-0.0316486,0.984953,0.135912,0.10195,318.5,249.501,27.2266,31.4069,-0.164529
2,0,42825,0.590226,-49.1463,-2.6757,-45.3351,2.11369e+28,-1.80335,-1.67702,-40.2152,4.96234,35.6282,54.9363,-0.0316486,0.984953,0.135912,0.10195,318.391,249.587,27.719,31.1668,-0.108251
3,0,42845,0.295751,-49.1217,-2.6757,-45.3351,2.11369e+28,-1.80335,-1.67702,-40.2152,4.95983,35.62,54.9858,-0.0317768,0.985107,0.135896,0.100436,318.391,249.587,27.719,31.1668,-0.108251
4,0,42845,0.295751,-49.1217,-4.34401,-45.4051,2.11369e+28,-1.80335,-3.23324,-40.3792,4.95983,35.62,54.9858,-0.0317768,0.985107,0.135896,0.100436,321.791,249.842,28.3087,31.3036,-0.050334
5,8,42875,-0.281898,-49.8466,-4.34401,-45.4051,-4.32976,-45.3406,-3.23324,-40.3792,4.96928,35.6126,54.9932,-0.0318115,0.984808,0.13811,0.100338,321.791,249.842,28.3087,31.3036,-0.050334
6,0,42895,0.0471833,-49.8252,-4.34401,-45.4051,-4.32976,-45.3406,-3.23324,-40.3792,4.96998,35.6099,55.0209,-0.0319629,0.984832,0.138866,0.0989951,321.791,249.842,28.3087,31.3036,-0.050334
7,0,42895,0.0471833,-49.8252,-4.69485,-45.6379,-4.32976,-45.3406,-3.55426,-40.7459,4.96998,35.6099,55.0209,-0.0319629,0.984832,0.138866,0.0989951,322.485,250.52,27.6624,30.9604,-0.0241526
8,0,42895,0.0471833,-49.8252,-4.49026,-45.6384,-4.32976,-45.3406,-3.36315,-40.7396,4.96998,35.6099,55.0209,-0.0319629,0.984832,0.138866,0.0989951,322.076,250.557,27.6655,31.478,-0.040775
9,8,42935,-0.276228,-49.9412,-4.49026,-45.6384,-4.47582,-45.5756,-3.36315,-40.7396,4.9756,35.608,55.024,-0.0316531,0.984751,0.138621,0.100237,322.076,250.557,27.6655,31.478,-0.040775
10,0,42935,0.293531,-49.7433,-4.29451,-45.7091,-4.47582,-45.5756,-3.17829,-40.8405,4.9756,35.608,55.024,-0.0316531,0.984751,0.138621,0.100237,321.625,250.718,27.9276,31.4384,0.0210851
11,8,42965,-0.0610492,-49.4993,-4.29451,-45.7091,-4.28022,-45.6468,-3.17829,-40.8405,4.99432,35.6126,54.9982,-0.0312612,0.984911,0.136819,0.101264,321.625,250.718,27.9276,31.4384,0.0210851
12,0,42995,0.744071,-48.8362,-4.29451,-45.7091,-4.28022,-45.6468,-3.17829,-40.8405,5.00537,35.6164,54.9964,-0.0308095,0.985055,0.134931,0.102524,321.625,250.718,27.9276,31.4384,0.0210851
13,8,42995,0.191572,-49.0261,-4.43005,-45.6825,-4.41564,-45.6201,-3.30564,-40.8047,5.00537,35.6164,54.9964,-0.0308095,0.985055,0.134931,0.102524,321.946,250.671,27.5645,31.3672,-0.0360239
14,0,43015,0.922775,-49.0214,-4.43005,-45.6825,-4.41564,-45.6201,-3.30564,-40.8047,5.02692,35.6256,54.9476,-0.0306837,0.984888,0.135586,0.1033,321.946,250.671,27.5645,31.3672,-0.0360239
15,0,43015,0.922775,-49.0214,-4.41351,-45.6448,-4.41564,-45.6201,-3.29128,-40.7467,5.02692,35.6256,54.9476,-0.0306837,0.984888,0.135586,0.1033,321.921,250.485,28.693,31.4245,-0.0524294
16,8,43045,0.465129,-49.5959,-4.41351,-45.6448,-4.39913,-45.5821,-3.29128,-40.7467,5.04866,35.6308,54.9162,-0.0304198,0.984646,0.137143,0.103629,321.921,250.485,28.693,31.4245,-0.0524294
17,0,43065,0.91413,-49.3554,-4.41351,-45.6448,-4.39913,-45.5821,-3.29128,-40.7467,5.04831,35.6257,54.9156,-0.0305198,0.984721,0.136936,0.103157,321.921,250.485,28.693,31.4245,-0.0524294
18,8,43065,0.377781,-49.5392,-4.46412,-45.6186,-4.44971,-45.5557,-3.3393,-40.7085,5.04831,35.6257,54.9156,-0.0305198,0.984721,0.136936,0.103157,321.996,250.463,28.5469,31.7342,-0.00182644
19,8,43075,0.196104,-49.3974,-4.46412,-45.6186,-4.44971,-45.5557,-3.3393,-40.7085,5.05824,35.6258,54.884,-0.0301959,0.984898,0.136335,0.102357,321.996,250.463,28.5469,31.7342,-0.00182644
20,0,43075,0.72996,-49.2146,-4.2972,-45.883,-4.44971,-45.5557,-3.17581,-41.1054,5.05824,35.6258,54.884,-0.0301959,0.984898,0.136335,0.102357,321.676,251.264,27.1721,31.6824,-0.054254
21,0,43115,0.688779,-49.9347,-4.2972,-45.883,-4.44971,-45.5557,-3.17581,-41.1054,5.05237,35.6141,54.8908,-0.0308293,0.984504,0.139318,0.10194,321.676,251.264,27.1721,31.6824,-0.054254
22,0,43115,0.688779,-49.9347,-4.36281,-45.6221,-4.44971,-45.5557,-3.24457,-40.7104,5.05237,35.6141,54.8908,-0.0308293,0.984504,0.139318,0.10194,321.855,250.554,28.0562,32.3273,-0.0905082
23,8,43125,0.131453,-49.9832,-4.36281,-45.6221,-4.34848,-45.5592,-3.24457,-40.7104,5.05083,35.6127,54.8887,-0.030854,0.984595,0.138781,0.101786,321.855,250.554,28.0562,32.3273,-0.0905082
24,0,43165,0.822544,-49.2863,-4.36281,-45.6221,-4.34848,-45.5592,-3.24457,-40.7104,5.04232,35.6163,54.9071,-0.0303815,0.984787,0.136731,0.10284,321.855,250.554,28.0562,32.3273,-0.0905082
25,0,43165,0.822544,-49.2863,-1.44545,-47.9704,-4.34848,-45.5592,-0.452327,-44.1859,5.04232,35.6163,54.9071,-0.0303815,0.984787,0.136731,0.10284,315.829,256.822,28.5285,32.3488,-0.218181
26,0,43165,0.822544,-49.2863,-0.656149,-49.2057,-4.34848,-45.5592,0.320338,-46.0401,5.04232,35.6163,54.9071,-0.0303815,0.984787,0.136731,0.10284,314.15,260.162,28.9762,32.3405,-0.195502
27,8,43195,0.420423,-49.3652,-0.656149,-49.2057,-0.643865,-49.1659,0.320338,-46.0401,5.0314,35.6153,54.9401,-0.0293761,0.984749,0.13655,0.103729,314.15,260.162,28.9762,32.3405,-0.195502
28,0,43225,0.550128,-48.9733,-0.656149,-49.2057,-0.643865,-49.1659,0.320338,-46.0401,5.01881,35.6194,54.9327,-0.0279712,0.985023,0.135744,0.102572,314.15,260.162,28.9762,32.3405,-0.195502
29,8,43225,0.0556762,-49.14,-0.940047,-49.1511,-0.927542,-49.111,0.0536036,-45.9666,5.01881,35.6194,54.9327,-0.0279712,0.985023,0.135744,0.102572,314.629,260.032,28.1224,31.694,-0.0481907
30,0,43245,0.16662,-49.6592,-0.940047,-49.1511,-0.927542,-49.111,0.0536036,-45.9666,4.98588,35.6101,54.9877,-0.0276784,0.984775,0.138733,0.10102,314.629,260.032,28.1224,31.694,-0.0481907
