id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ETx,ETy,ETrmin,ETrmax,ETphi
0,0,46747,1.93445,-47.591,-0.0548296,-49.7609,0,-1.36358,16.8952,-28.7992,20.7996,37.5971,69.4892,0.0213747,0.990874,0.132714,-0.00994505,312.785,277.479,26.6337,33.3512,-0.0224428
1,0,46757,1.99141,-47.7551,-0.0548296,-49.7609,0,-1.36358,16.8952,-28.7992,20.7975,37.5917,69.4831,0.0208417,0.990791,0.133425,-0.0098449,312.785,277.479,26.6337,33.3512,-0.0224428
2,0,46757,1.99141,-47.7551,-0.201096,-50.6737,0,-1.36358,14.8367,-33.5056,20.7975,37.5917,69.4831,0.0208417,0.990791,0.133425,-0.0098449,314.411,279.675,27.9085,31.056,-0.240115
3,8,46777,2.33299,-48.1768,-0.201096,-50.6737,-0.0953562,-50.553,14.8367,-33.5056,20.7915,37.5789,69.4755,0.021297,0.990558,0.135191,-0.008032,314.411,279.675,27.9085,31.056,-0.240115
4,5,46810,2.16358,-48.4866,-0.227938,-51.2616,-0.126361,-51.1595,14.3323,-36.6237,20.7785,37.5744,69.4749,0.0211009,0.990375,0.13651,-0.00882169,315.128,280.873,30.7371,32.0853,-1.30756
5,8,46807,2.5957,-48.948,-0.227938,-51.2616,-0.126361,-51.1595,14.3323,-36.6237,20.7737,37.5587,69.4695,0.0213709,0.990117,0.138443,-0.00665315,315.128,280.873,30.7371,32.0853,-1.30756
6,0,46827,1.97522,-48.7895,-0.227938,-51.2616,-0.126361,-51.1595,14.3323,-36.6237,20.7533,37.5657,69.4739,0.0209048,0.990189,0.137829,-0.00961136,315.128,280.873,30.7371,32.0853,-1.30756
7,8,46827,1.97522,-48.7895,-0.0655736,-49.9783,0.0530126,-49.8366,16.6987,-29.9509,20.7533,37.5657,69.4739,0.0209048,0.990189,0.137829,-0.00961136,312.959,278.029,27.3549,32.7859,-0.038277
8,0,46857,1.67574,-48.8584,-0.0655736,-49.9783,0.0530126,-49.8366,16.6987,-29.9509,20.7342,37.5839,69.4393,0.0201551,0.990165,0.13799,-0.0111717,312.959,278.029,27.3549,32.7859,-0.038277
9,8,46857,1.67574,-48.8584,-0.199328,-51.026,-0.0947237,-50.9167,14.7521,-35.397,20.7342,37.5839,69.4393,0.0201551,0.990165,0.13799,-0.0111717,315.053,280.383,29.9975,33.5568,-1.15535
10,8,46877,2.0591,-48.8611,-0.199328,-51.026,-0.0947237,-50.9167,14.7521,-35.397,20.7265,37.5969,69.422,0.0200072,0.990205,0.137862,-0.00934241,315.053,280.383,29.9975,33.5568,-1.15535
11,5,46901,2.09111,-48.708,-0.281019,-50.8674,-0.182078,-50.752,13.8039,-34.4417,20.7189,37.6118,69.4426,0.0201882,0.990303,0.137153,-0.00905181,315.378,280.076,28.1009,31.7469,-0.629898
12,8,46897,2.16354,-49.1633,-0.281019,-50.8674,-0.182078,-50.752,13.8039,-34.4417,20.7153,37.6059,69.4503,0.0195155,0.990051,0.139061,-0.00892309,315.378,280.076,28.1009,31.7469,-0.629898
