id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ETx,ETy,ETrmin,ETrmax,ETphi
0,0,57202,6.81754,-38.1866,2.28658,-37.1738,0.98037,1.94667,5.18092,-25.3431,19.158,36.0611,62.5183,0.0182046,0.995025,0.0953767,0.022283,303.844,247.287,28.1052,34.2933,-0.0694204
1,0,57212,6.82383,-37.8999,2.28658,-37.1738,0.98037,1.94667,5.18092,-25.3431,19.1585,36.0589,62.5254,0.0181902,0.995143,0.0941313,0.0223243,303.844,247.287,28.1052,34.2933,-0.0694204
2,0,57212,6.82383,-37.8999,2.41328,-37.2133,0.98037,1.94667,5.97636,-24.8956,19.1585,36.0589,62.5254,0.0181902,0.995143,0.0941313,0.0223243,302.977,246.835,28.5101,33.6163,-0.173304
3,8,57232,6.82383,-37.8999,2.41328,-37.2133,2.44536,-37.1024,5.97636,-24.8956,19.1585,36.0589,62.5254,0.0181902,0.995143,0.0941313,0.0223243,302.977,246.835,28.5101,33.6163,-0.173304
4,0,57262,6.54059,-37.8947,2.41328,-37.2133,2.44536,-37.1024,5.97636,-24.8956,19.1593,36.0536,62.5251,0.0180138,0.995172,0.0941971,0.020879,302.977,246.835,28.5101,33.6163,-0.173304
5,0,57262,6.54059,-37.8947,2.38947,-37.4453,2.44536,-37.1024,5.75833,-25.6598,19.1593,36.0536,62.5251,0.0180138,0.995172,0.0941971,0.020879,303.261,247.527,27.9743,33.2674,-0.196723
6,8,57282,6.56325,-37.789,2.38947,-37.4453,2.41976,-37.3393,5.75833,-25.6598,19.1624,36.0537,62.5131,0.0184631,0.995206,0.0936961,0.0210958,303.261,247.527,27.9743,33.2674,-0.196723
7,0,57302,6.49013,-38.3818,2.38947,-37.4453,2.41976,-37.3393,5.75833,-25.6598,19.1626,36.0494,62.5104,0.0186606,0.994955,0.0963566,0.0207604,303.261,247.527,27.9743,33.2674,-0.196723
8,8,57302,6.49013,-38.3818,2.36713,-37.0989,2.39729,-36.9879,5.71527,-24.7746,19.1626,36.0494,62.5104,0.0186606,0.994955,0.0963566,0.0207604,303.32,246.709,28.4565,33.6891,-0.208685
9,8,57312,6.59239,-39.1867,2.36713,-37.0989,2.39729,-36.9879,5.71527,-24.7746,19.1634,36.0466,62.4977,0.0190141,0.994589,0.0998851,0.0213082,303.32,246.709,28.4565,33.6891,-0.208685
10,0,57332,6.50846,-38.9681,2.36713,-37.0989,2.39729,-36.9879,5.71527,-24.7746,19.1621,36.0409,62.4976,0.0193624,0.99468,0.0989703,0.0210219,303.32,246.709,28.4565,33.6891,-0.208685
11,8,57332,6.50846,-38.9681,2.31328,-37.0254,2.34103,-36.9153,5.39344,-24.8038,19.1621,36.0409,62.4976,0.0193624,0.99468,0.0989703,0.0210219,303.741,246.674,28.2194,33.169,-0.260841
12,0,57353,6.48112,-38.7392,2.31328,-37.0254,2.34103,-36.9153,5.39344,-24.8038,19.1623,36.0397,62.5013,0.019611,0.994775,0.0979716,0.0209726,303.741,246.674,28.2194,33.169,-0.260841
13,0,57362,6.59699,-38.5199,2.31328,-37.0254,2.34103,-36.9153,5.39344,-24.8038,19.1634,36.0424,62.4905,0.019882,0.994856,0.0969451,0.0216168,303.741,246.674,28.2194,33.169,-0.260841
14,8,57362,6.59699,-38.5199,2.35687,-36.9991,2.3868,-36.8868,5.67849,-24.5366,19.1634,36.0424,62.4905,0.019882,0.994856,0.0969451,0.0216168,303.306,246.482,28.0823,33.3045,-0.144544
15,0,57382,6.36984,-38.6631,2.35687,-36.9991,2.3868,-36.8868,5.67849,-24.5366,19.1611,36.0401,62.5239,0.0202999,0.994799,0.0976563,0.0206552,303.306,246.482,28.0823,33.3045,-0.144544
16,0,57402,6.08213,-38.6214,2.35687,-36.9991,2.3868,-36.8868,5.67849,-24.5366,19.1575,36.0402,62.522,0.0203306,0.99484,0.0975129,0.0192876,303.306,246.482,28.0823,33.3045,-0.144544
17,0,57402,6.08213,-38.6214,2.33953,-37.0454,2.3868,-36.8868,5.55484,-24.7446,19.1575,36.0402,62.522,0.0203306,0.99484,0.0975129,0.0192876,303.512,246.645,28.1016,33.1778,-0.214835
18,8,57412,5.88565,-38.9773,2.33953,-37.0454,2.3685,-36.9346,5.55484,-24.7446,19.1551,36.0419,62.5195,0.0204243,0.994699,0.0990932,0.0183592,303.512,246.645,28.1016,33.1778,-0.214835
19,0,57432,6.16982,-38.6101,2.33953,-37.0454,2.3685,-36.9346,5.55484,-24.7446,19.1443,36.0443,62.5451,0.0205027,0.994831,0.0974417,0.0198864,303.512,246.645,28.1016,33.1778,-0.214835
20,8,57432,6.16982,-38.6101,2.35113,-36.9018,2.38105,-36.7881,5.66979,-24.2856,19.1443,36.0443,62.5451,0.0205027,0.994831,0.0974417,0.0198864,303.347,246.259,28.1024,33.5038,-0.178867
21,0,57452,6.22577,-38.1885,2.35113,-36.9018,2.38105,-36.7881,5.66979,-24.2856,19.1287,36.0557,62.4814,0.0208338,0.995012,0.0954006,0.020377,303.347,246.259,28.1024,33.5038,-0.178867
