id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ETx,ETy,ETrmin,ETrmax,ETphi
0,0,63205,1.71755,-53.3234,-1.00378,-58.6483,6.5495e+35,-1.67816,-7.50649,-25.4136,18.457,40.5232,55.5709,0.00546385,0.993555,0.113135,-0.00426972,319.568,269.637,27.3886,29.4924,0.0609941
1,0,63235,0.998436,-53.3707,-1.00378,-58.6483,6.5495e+35,-1.67816,-7.50649,-25.4136,18.4637,40.533,55.5766,0.00544989,0.993521,0.113251,-0.00781211,319.568,269.637,27.3886,29.4924,0.0609941
2,0,63235,0.998436,-53.3707,0.134004,-57.1884,6.5495e+35,-1.67816,-1.06775,-27.4681,18.4637,40.533,55.5766,0.00544989,0.993521,0.113251,-0.00781211,314.244,271.027,27.5097,30.1273,-0.454015
3,8,63291,1.71782,-54.3409,0.134004,-57.1884,0.124676,-56.9577,-1.06775,-27.4681,18.4884,40.5518,55.5936,0.00494128,0.993114,0.116945,-0.00485877,314.244,271.027,27.5097,30.1273,-0.454015
4,0,63349,2.13032,-53.0695,0.134004,-57.1884,0.124676,-56.9577,-1.06775,-27.4681,18.5094,40.5898,55.5963,0.00478092,0.993735,0.11162,-0.00300574,314.244,271.027,27.5097,30.1273,-0.454015
5,0,63349,2.13032,-53.0695,0.299447,-57.0881,0.124676,-56.9577,-0.131716,-28.0818,18.5094,40.5898,55.5963,0.00478092,0.993735,0.11162,-0.00300574,313.225,271.596,27.6466,30.9365,-0.0596029
6,0,63349,2.13032,-53.0695,0.374353,-57.063,0.124676,-56.9577,0.292047,-28.4168,18.5094,40.5898,55.5963,0.00478092,0.993735,0.11162,-0.00300574,312.776,271.85,28.4113,31.644,0.0654336
7,0,63385,2.33028,-53.7516,0.374353,-57.063,0.124676,-56.9577,0.292047,-28.4168,18.5207,40.599,55.6006,0.00464268,0.993439,0.114244,-0.00226689,312.776,271.85,28.4113,31.644,0.0654336
8,0,63425,2.07138,-53.8741,0.374353,-57.063,0.124676,-56.9577,0.292047,-28.4168,18.5241,40.604,55.6115,0.00469337,0.993382,0.11471,-0.00353263,312.776,271.85,28.4113,31.644,0.0654336
9,0,63425,2.07138,-53.8741,0.406017,-57.308,0.124676,-56.9577,0.470711,-29.2771,18.5241,40.604,55.6115,0.00469337,0.993382,0.11471,-0.00353263,312.604,272.419,28.112,31.1239,0.102421
10,8,63455,2.10576,-54.0529,0.406017,-57.308,0.406516,-57.0915,0.470711,-29.2771,18.5189,40.6079,55.5812,0.00451827,0.993312,0.115318,-0.00342406,312.604,272.419,28.112,31.1239,0.102421
11,0,63455,2.10576,-54.0529,0.443563,-57.1017,0.406516,-57.0915,0.683471,-28.9001,18.5189,40.6079,55.5812,0.00451827,0.993312,0.115318,-0.00342406,312.509,272.101,28.5698,30.934,-0.0454233
12,0,63525,1.91168,-54.0849,0.443563,-57.1017,0.406516,-57.0915,0.683471,-28.9001,18.4932,40.6055,55.5791,0.00369877,0.993295,0.115458,-0.00447413,312.509,272.101,28.5698,30.934,-0.0454233
13,0,63525,1.91168,-54.0849,0.617863,-56.5799,0.406516,-57.0915,1.67038,-28.3767,18.4932,40.6055,55.5791,0.00369877,0.993295,0.115458,-0.00447413,311.509,271.806,29.1369,31.9229,0.189686
14,0,63575,2.05782,-53.9903,0.617863,-56.5799,0.406516,-57.0915,1.67038,-28.3767,18.4945,40.6078,55.578,0.0035009,0.993344,0.115064,-0.0038559,311.509,271.806,29.1369,31.9229,0.189686
15,0,63575,2.05782,-53.9903,1.5515,-56.0374,0.406516,-57.0915,6.95264,-31.9054,18.4945,40.6078,55.578,0.0035009,0.993344,0.115064,-0.0038559,307.508,274.333,27.9286,30.9906,-0.626584
16,0,63575,2.05782,-53.9903,1.6742,-55.2826,0.406516,-57.0915,7.64812,-30.4475,18.4945,40.6078,55.578,0.0035009,0.993344,0.115064,-0.0038559,306.586,273.288,29.641,31.0159,-0.120452
17,0,63605,1.9373,-53.7701,1.6742,-55.2826,0.406516,-57.0915,7.64812,-30.4475,18.5018,40.5976,55.5768,0.00337219,0.993433,0.11428,-0.00454045,306.586,273.288,29.641,31.0159,-0.120452
18,0,63706,2.00969,-55.4878,1.78397,-54.9563,0.406516,-57.0915,8.26959,-30.1243,18.5036,40.6437,55.5468,0.00405122,0.99269,0.120553,-0.00409751,305.941,273.263,27.7363,30.7776,0.0957179
19,8,63735,2.13294,-56.522,1.78397,-54.9563,1.83371,-54.7658,8.26959,-30.1243,18.5071,40.771,55.5479,0.00520307,0.992327,0.123495,-0.00311607,305.941,273.263,27.7363,30.7776,0.0957179
20,0,63735,2.13294,-56.522,1.75272,-54.7606,1.83371,-54.7658,8.09319,-29.405,18.5071,40.771,55.5479,0.00520307,0.992327,0.123495,-0.00311607,306.08,272.726,25.9099,29.138,0.106467
21,0,63735,2.13294,-56.522,1.78822,-54.9615,1.83371,-54.7658,8.29364,-30.1619,18.5071,40.771,55.5479,0.00520307,0.992327,0.123495,-0.00311607,305.921,273.284,25.9963,29.4512,0.100354
22,0,63775,2.01005,-60.0733,1.78822,-54.9615,1.83371,-54.7658,8.29364,-30.1619,18.4984,41.0198,55.6347,0.00566678,0.990815,0.135054,-0.00367065,305.921,273.284,25.9963,29.4512,0.100354
23,0,63775,2.01005,-60.0733,1.73283,-56.8013,1.83371,-54.7658,7.97698,-35.0346,18.4984,41.0198,55.6347,0.00566678,0.990815,0.135054,-0.00367065,306.393,276.505,25.8308,27.7248,-0.132534
24,0,63862,1.72236,-68.8941,1.73283,-56.8013,1.83371,-54.7658,7.97698,-35.0346,18.4872,41.6365,55.9671,0.00582379,0.986725,0.162206,-0.00543092,306.393,276.505,25.8308,27.7248,-0.132534
