id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ETx,ETy,ETrmin,ETrmax,ETphi
0,0,278269,-4.3975,-36.7906,-9.34184,-35.7789,4.16645e-22,-1.67071,-1.53308,-32.006,17.7361,34.8552,59.9858,0.0042992,0.994993,0.0962955,-0.0264038,324.85,240.74,24.7522,30.7366,-0.00516594
1,0,278348,-4.21239,-37.46,-9.34184,-35.7789,4.16645e-22,-1.67071,-1.53308,-32.006,17.7483,34.8578,59.98,0.00474782,0.994722,0.0992821,-0.025468,324.85,240.74,24.7522,30.7366,-0.00516594
2,0,278348,-4.21239,-37.46,-9.14722,-35.8163,4.16645e-22,-1.67071,-1.71294,-32.2365,17.7483,34.8578,59.98,0.00474782,0.994722,0.0992821,-0.025468,325.217,241.084,24.986,31.3316,-0.0660072
3,8,278398,-3.96986,-37.064,-9.14722,-35.8163,-9.06492,-35.7767,-1.71294,-32.2365,17.7609,34.8633,59.9899,0.0047681,0.994926,0.0974972,-0.0243725,325.217,241.084,24.986,31.3316,-0.0660072
4,0,278398,-3.96986,-37.064,-9.15891,-35.8104,-9.06492,-35.7767,-1.29474,-32.1033,17.7609,34.8633,59.9899,0.0047681,0.994926,0.0974972,-0.0243725,324.416,240.864,25.6038,30.988,0.022398
5,8,278428,-4.12924,-36.9425,-9.15891,-35.8104,-9.07182,-35.7694,-1.29474,-32.1033,17.7676,34.8512,60.0251,0.00448044,0.994946,0.0970714,-0.025284,324.416,240.864,25.6038,30.988,0.022398
6,0,278428,-4.12924,-36.9425,-9.05496,-35.8295,-9.07182,-35.7694,-1.28498,-32.1954,17.7676,34.8512,60.0251,0.00448044,0.994946,0.0970714,-0.025284,324.483,241.012,25.489,31.2725,-0.0827168
7,0,278501,-4.67444,-36.512,-9.05496,-35.8295,-9.07182,-35.7694,-1.28498,-32.1954,17.8025,34.8581,59.9947,0.00474961,0.995063,0.0950295,-0.028206,324.483,241.012,25.489,31.2725,-0.0827168
8,0,278501,-4.67444,-36.512,-8.87594,-35.8617,-9.07182,-35.7694,-1.19841,-32.3336,17.8025,34.8581,59.9947,0.00474961,0.995063,0.0950295,-0.028206,324.234,241.202,25.5987,31.2564,0.0436682
9,8,278578,-4.86633,-36.2597,-8.87594,-35.8617,-8.79097,-35.8226,-1.19841,-32.3336,17.7922,34.8511,59.998,0.00492872,0.995141,0.0939546,-0.029017,324.234,241.202,25.5987,31.2564,0.0436682
10,0,278578,-4.86633,-36.2597,-9.05185,-35.8297,-8.79097,-35.8226,-1.25144,-32.1884,17.7922,34.8511,59.998,0.00492872,0.995141,0.0939546,-0.029017,324.267,241.014,25.4074,31.4086,0.114091
11,0,278618,-4.40078,-36.306,-9.05185,-35.8297,-8.79097,-35.8226,-1.25144,-32.1884,17.7665,34.8478,59.9955,0.0058164,0.995185,0.094252,-0.0262565,324.267,241.014,25.4074,31.4086,0.114091
12,0,278618,-4.40078,-36.306,-5.4426,-36.4875,-8.79097,-35.8226,-0.486522,-35.262,17.7665,34.8478,59.9955,0.0058164,0.995185,0.094252,-0.0262565,323.073,245.202,25.5976,30.305,0.0118258
13,0,278688,-5.2954,-36.2641,-5.4426,-36.4875,-8.79097,-35.8226,-0.486522,-35.262,17.6964,34.8468,60.0295,0.00819248,0.995089,0.0941649,-0.0294015,323.073,245.202,25.5976,30.305,0.0118258
14,0,278688,-5.2954,-36.2641,-4.0321,-36.751,-8.79097,-35.8226,-0.903525,-36.673,17.6964,34.8468,60.0295,0.00819248,0.995089,0.0941649,-0.0294015,323.887,247.181,26.1217,30.9878,-0.0823247
15,0,278798,-7.78798,-36.5372,-4.0321,-36.751,-8.79097,-35.8226,-0.903525,-36.673,17.5676,34.8653,60.0643,0.0123107,0.994588,0.0953506,-0.0393996,323.887,247.181,26.1217,30.9878,-0.0823247
16,8,278798,-7.78798,-36.5372,-4.38464,-36.6992,-4.36264,-36.7001,-2.37214,-36.7813,17.5676,34.8653,60.0643,0.0123107,0.994588,0.0953506,-0.0393996,326.368,247.248,25.3967,29.6854,-0.0110192
17,0,278798,-7.78798,-36.5372,-4.71883,-36.6432,-4.36264,-36.7001,-2.99164,-36.6575,17.5676,34.8653,60.0643,0.0123107,0.994588,0.0953506,-0.0393996,327.378,247.08,25.0931,29.5998,0.0759657
18,0,278849,-7.94422,-36.5133,-4.71883,-36.6432,-4.36264,-36.7001,-2.99164,-36.6575,17.5075,34.873,60.1389,0.0141402,0.994572,0.09537,-0.0391239,327.378,247.08,25.0931,29.5998,0.0759657
19,0,278849,-7.94422,-36.5133,-6.18844,-36.3981,-4.36264,-36.7001,-5.8375,-36.1487,17.5075,34.873,60.1389,0.0141402,0.994572,0.09537,-0.0391239,332.291,246.315,24.5164,28.1328,0.0791303
20,0,278928,-10.1833,-36.8377,-6.18844,-36.3981,-4.36264,-36.7001,-5.8375,-36.1487,17.3532,34.8885,60.1403,0.01646,0.994012,0.0967215,-0.0481025,332.291,246.315,24.5164,28.1328,0.0791303
21,0,278928,-10.1833,-36.8377,-6.10769,-36.423,-4.36264,-36.7001,-6.95919,-36.5512,17.3532,34.8885,60.1403,0.01646,0.994012,0.0967215,-0.0481025,334.217,246.886,24.0635,27.586,0.0939292
22,0,278968,-11.6281,-36.3892,-6.10769,-36.423,-4.36264,-36.7001,-6.95919,-36.5512,17.2304,34.8753,60.2459,0.0195215,0.993849,0.0950879,-0.0532977,334.217,246.886,24.0635,27.586,0.0939292
23,0,278968,-11.6281,-36.3892,-6.67549,-36.3297,-4.36264,-36.7001,-8.21297,-36.3998,17.2304,34.8753,60.2459,0.0195215,0.993849,0.0950879,-0.0532977,336.379,246.747,23.4917,27.5283,0.0826606
24,0,278998,-13.1443,-35.8321,-6.67549,-36.3297,-4.36264,-36.7001,-8.21297,-36.3998,17.1239,34.8748,60.2616,0.0227589,0.993676,0.0927948,-0.0589819,336.379,246.747,23.4917,27.5283,0.0826606
25,0,278998,-13.1443,-35.8321,-7.14535,-36.258,-4.36264,-36.7001,-9.87035,-36.4562,17.1239,34.8748,60.2616,0.0227589,0.993676,0.0927948,-0.0589819,339.18,246.899,23.2045,27.2947,0.157258
26,8,279079,-17.0193,-34.5221,-7.14535,-36.258,-7.17511,-36.2602,-9.87035,-36.4562,16.7942,34.8509,60.469,0.0313974,0.992955,0.087986,-0.0728861,339.18,246.899,23.2045,27.2947,0.157258
