id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ETx,ETy,ETrmin,ETrmax,ETphi
0,0,445722,3.28141,-37.9788,-3.31969,-38.8966,-21.2386,-1.83842,6.97488,-35.5492,19.8591,35.9804,59.9077,0.0063327,0.995679,0.0924555,-0.00591101,307.035,246.535,24.0719,29.0254,-0.0969598
1,0,445789,2.55673,-38.9458,-3.31969,-38.8966,-21.2386,-1.83842,6.97488,-35.5492,19.6883,36.113,59.3976,0.00307923,0.99542,0.0950876,-0.00938007,307.035,246.535,24.0719,29.0254,-0.0969598
2,0,445789,2.55673,-38.9458,-3.97808,-38.7417,-21.2386,-1.83842,6.09991,-35.2346,19.6883,36.113,59.3976,0.00307923,0.99542,0.0950876,-0.00938007,308.534,246.006,23.6549,28.4426,-0.172038
3,0,445789,2.55673,-38.9458,-4.31802,-38.6395,-21.2386,-1.83842,5.68204,-35.0179,19.6883,36.113,59.3976,0.00307923,0.99542,0.0950876,-0.00938007,309.182,245.802,23.7091,30.2599,-0.0854282
4,0,445789,2.55673,-38.9458,-5.06644,-38.6592,-21.2386,-1.83842,4.38938,-35.138,19.6883,36.113,59.3976,0.00307923,0.99542,0.0950876,-0.00938007,311.328,245.776,24.1792,28.9801,-0.0508259
5,0,445859,2.04548,-38.3346,-5.06644,-38.6592,-21.2386,-1.83842,4.38938,-35.138,19.6503,36.1802,59.0842,0.000251493,0.99573,0.0914566,-0.0125511,311.328,245.776,24.1792,28.9801,-0.0508259
6,0,445859,2.04548,-38.3346,-5.55579,-38.4413,-21.2386,-1.83842,3.89545,-34.6535,19.6503,36.1802,59.0842,0.000251493,0.99573,0.0914566,-0.0125511,312.124,245.182,24.1024,30.3684,-0.0150726
7,0,445941,1.02511,-37.9282,-5.55579,-38.4413,-21.2386,-1.83842,3.89545,-34.6535,19.7793,36.07,58.8704,-3.97835e-05,0.995739,0.0902593,-0.0188977,312.124,245.182,24.1024,30.3684,-0.0150726
8,0,445941,1.02511,-37.9282,-6.0129,-38.4328,-21.2386,-1.83842,3.13735,-34.6765,19.7793,36.07,58.8704,-3.97835e-05,0.995739,0.0902593,-0.0188977,313.391,245.105,24.0749,29.3683,0.00414984
9,8,445979,1.19725,-37.8594,-6.0129,-38.4328,-5.91365,-38.392,3.13735,-34.6765,19.8778,35.9925,58.7999,0.00150488,0.995724,0.0904933,-0.0184866,313.391,245.105,24.0749,29.3683,0.00414984
10,0,445979,1.19725,-37.8594,-6.39351,-38.2423,-5.91365,-38.392,2.78525,-34.2483,19.8778,35.9925,58.7999,0.00150488,0.995724,0.0904933,-0.0184866,314.025,244.481,24.6105,29.3593,-0.0675223
11,8,446015,1.06561,-37.9665,-6.39351,-38.2423,-6.29381,-38.1989,2.78525,-34.2483,19.9648,35.9531,58.7715,0.00344864,0.995635,0.0912429,-0.0193449,314.025,244.481,24.6105,29.3593,-0.0675223
12,0,446015,1.06561,-37.9665,-6.80732,-38.1959,-6.29381,-38.1989,2.15762,-34.1751,19.9648,35.9531,58.7715,0.00344864,0.995635,0.0912429,-0.0193449,315.178,244.399,24.059,29.9526,-0.186025
13,0,446089,1.69908,-37.0402,-6.80732,-38.1959,-6.29381,-38.1989,2.15762,-34.1751,20.1655,35.942,58.9137,0.00612112,0.996013,0.0873599,-0.0169915,315.178,244.399,24.059,29.9526,-0.186025
14,0,446089,1.69908,-37.0402,-5.45384,-38.5893,-6.29381,-38.1989,3.84228,-35.0046,20.1655,35.942,58.9137,0.00612112,0.996013,0.0873599,-0.0169915,312.29,245.61,23.9516,29.6347,-0.108234
15,0,446089,1.69908,-37.0402,-2.70737,-40.0452,-6.29381,-38.1989,6.25936,-38.2928,20.1655,35.942,58.9137,0.00612112,0.996013,0.0873599,-0.0169915,308.294,250.286,24.9367,30.5694,-0.0475085
16,0,446139,1.58126,-37.9506,-2.70737,-40.0452,-6.29381,-38.1989,6.25936,-38.2928,20.2352,35.9644,58.9408,0.0072939,0.99564,0.0912608,-0.0178754,308.294,250.286,24.9367,30.5694,-0.0475085
17,0,446179,2.19897,-37.7231,-2.70737,-40.0452,-6.29381,-38.1989,6.25936,-38.2928,20.2696,35.9717,59.0998,0.00735855,0.995768,0.0903782,-0.0149728,308.294,250.286,24.9367,30.5694,-0.0475085
18,0,446179,2.19897,-37.7231,-2.67103,-40.1346,-6.29381,-38.1989,6.18463,-38.5073,20.2696,35.9717,59.0998,0.00735855,0.995768,0.0903782,-0.0149728,308.432,250.517,24.9226,29.7783,-0.0570999
19,0,446179,2.19897,-37.7231,-2.75035,-40.019,-6.29381,-38.1989,6.22676,-38.2329,20.2696,35.9717,59.0998,0.00735855,0.995768,0.0903782,-0.0149728,308.487,250.173,24.6738,30.2969,-0.237488
20,0,446242,1.65129,-38.6052,-2.75035,-40.019,-6.29381,-38.1989,6.22676,-38.2329,20.265,36.0156,59.127,0.00679376,0.99539,0.093993,-0.0178473,308.487,250.173,24.6738,30.2969,-0.237488
21,0,446242,1.65129,-38.6052,-2.06273,-40.2848,-6.29381,-38.1989,6.98219,-38.8153,20.265,36.0156,59.127,0.00679376,0.99539,0.093993,-0.0178473,307.176,250.919,23.8434,28.1291,-0.157937
22,0,446309,1.33413,-38.4182,-2.06273,-40.2848,-6.29381,-38.1989,6.98219,-38.8153,20.2037,36.0473,59.1254,0.00744108,0.995472,0.0929028,-0.0186717,307.176,250.919,23.8434,28.1291,-0.157937
23,0,446309,1.33413,-38.4182,-2.10463,-40.1483,-6.29381,-38.1989,7.11929,-38.4863,20.2037,36.0473,59.1254,0.00744108,0.995472,0.0929028,-0.0186717,307.029,250.455,24.5621,28.5326,-0.318649
24,8,446339,1.33108,-38.1386,-2.10463,-40.1483,-2.00597,-40.1306,7.11929,-38.4863,20.1656,36.0481,59.1338,0.00797733,0.995592,0.0916618,-0.0181729,307.029,250.455,24.5621,28.5326,-0.318649
25,0,446339,1.33108,-38.1386,-1.34728,-40.6509,-2.00597,-40.1306,7.63188,-39.6397,20.1656,36.0481,59.1338,0.00797733,0.995592,0.0916618,-0.0181729,306.103,252.105,23.6399,28.0808,-0.107214
26,8,446409,0.828554,-39.49,-1.34728,-40.6509,-1.25162,-40.6401,7.63188,-39.6397,20.0566,36.0381,58.9752,0.00937738,0.995,0.0975127,-0.0194773,306.103,252.105,23.6399,28.0808,-0.107214
27,0,446409,0.828554,-39.49,-1.82229,-40.6352,-1.25162,-40.6401,6.85436,-39.6472,20.0566,36.0381,58.9752,0.00937738,0.995,0.0975127,-0.0194773,307.438,252.053,22.7824,27.6874,-0.184101
28,0,446409,0.828554,-39.49,-1.96512,-40.6024,-1.25162,-40.6401,6.66339,-39.5808,20.0566,36.0381,58.9752,0.00937738,0.995,0.0975127,-0.0194773,307.76,251.931,23.6402,27.9708,-0.201676
29,0,446480,-0.547755,-39.7263,-1.96512,-40.6024,-1.25162,-40.6401,6.66339,-39.5808,19.9295,35.9891,58.9706,0.0115841,0.994722,0.098964,-0.0244984,307.76,251.931,23.6402,27.9708,-0.201676
30,0,446480,-0.547755,-39.7263,-3.03093,-40.655,-1.25162,-40.6401,4.78522,-39.8116,19.9295,35.9891,58.9706,0.0115841,0.994722,0.098964,-0.0244984,310.87,252.046,23.1453,26.6387,-0.189265
31,0,446509,-0.992937,-39.2128,-3.03093,-40.655,-1.25162,-40.6401,4.78522,-39.8116,19.8652,36.0095,58.8127,0.0128861,0.994929,0.0963464,-0.025824,310.87,252.046,23.1453,26.6387,-0.189265
32,0,446509,-0.992937,-39.2128,-3.37089,-40.5869,-1.25162,-40.6401,4.31543,-39.6781,19.8652,36.0095,58.8127,0.0128861,0.994929,0.0963464,-0.025824,311.623,251.922,23.1884,27.8118,-0.119243
33,0,446539,-2.12744,-39.5382,-3.37089,-40.5869,-1.25162,-40.6401,4.31543,-39.6781,19.8095,36.0117,58.8659,0.0141625,0.994633,0.0978504,-0.0305056,311.623,251.922,23.1884,27.8118,-0.119243
34,0,446539,-2.12744,-39.5382,-3.95805,-40.6865,-1.25162,-40.6401,3.17321,-39.9776,19.8095,36.0117,58.8659,0.0141625,0.994633,0.0978504,-0.0305056,313.536,252.263,22.7999,27.4628,-0.113313
35,0,446621,-4.84698,-39.7115,-3.95805,-40.6865,-1.25162,-40.6401,3.17321,-39.9776,19.6087,36.0369,58.8295,0.0207676,0.994111,0.0984953,-0.040124,313.536,252.263,22.7999,27.4628,-0.113313
36,0,446679,-8.49415,-39.259,-3.95805,-40.6865,-1.25162,-40.6401,3.17321,-39.9776,19.3727,36.0313,58.8258,0.0261271,0.993481,0.0967317,-0.0543673,313.536,252.263,22.7999,27.4628,-0.113313
37,8,446679,-8.49415,-39.259,-6.24965,-40.7332,-6.19106,-40.7287,-0.764039,-40.312,19.3727,36.0313,58.8258,0.0261271,0.993481,0.0967317,-0.0543673,320.092,252.616,22.8995,27.9022,-0.0241491
38,8,446689,-8.45496,-39.2299,-6.24965,-40.7332,-6.19106,-40.7287,-0.764039,-40.312,19.333,36.0276,58.8204,0.0274645,0.993499,0.0966979,-0.0534305,320.092,252.616,22.8995,27.9022,-0.0241491
