id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ETx,ETy,ETrmin,ETrmax,ETphi
0,0,45152,-0.250183,-25.8692,-2.05988,-14.4323,4.87305e+17,-1.39387,-1.02237,-14.5601,34.8999,40.0511,87.0355,0.00288863,0.994478,0.0396242,-0.0971342,344.765,326.61,33.909,41.2247,0.00836918
1,0,45192,0.650348,-24.481,-2.05988,-14.4323,4.87305e+17,-1.39387,-1.02237,-14.5601,34.9158,40.0402,86.9597,0.00272924,0.995141,0.0330275,-0.092713,344.765,326.61,33.909,41.2247,0.00836918
2,0,45202,0.877299,-23.4423,-2.05988,-14.4323,4.87305e+17,-1.39387,-1.02237,-14.5601,34.9279,40.0321,86.9811,0.00248788,0.9954,0.028134,-0.0915471,344.765,326.61,33.909,41.2247,0.00836918
3,0,45202,0.877299,-23.4423,-1.48709,-13.9107,4.87305e+17,-1.39387,-0.0450289,-14.0752,34.9279,40.0321,86.9811,0.00248788,0.9954,0.028134,-0.0915471,342.825,325.948,33.9363,41.9368,-0.00156538
4,0,45242,-0.520178,-24.4883,-1.48709,-13.9107,4.87305e+17,-1.39387,-0.0450289,-14.0752,34.9553,40.0084,86.9772,0.00318762,0.994565,0.0332101,-0.0986235,342.825,325.948,33.9363,41.9368,-0.00156538
5,5,45256,-0.376165,-25.276,-1.45119,-13.7211,-1.43244,-13.7234,0.0292218,-13.9057,34.9871,40.0192,87.0195,0.00372985,0.994494,0.0369011,-0.098007,342.682,325.719,33.8857,42.2704,-0.00937819
6,8,45252,-0.285485,-24.6856,-1.45119,-13.7211,-1.43244,-13.7234,0.0292218,-13.9057,34.9597,40.0115,86.975,0.00356876,0.994652,0.0341025,-0.0974278,342.682,325.719,33.8857,42.2704,-0.00937819
7,0,45292,-0.247014,-26.064,-1.45119,-13.7211,-1.43244,-13.7234,0.0292218,-13.9057,34.9995,40.0234,87.0359,0.00427202,0.994409,0.0405915,-0.0973892,342.682,325.719,33.8857,42.2704,-0.00937819
8,8,45292,-0.247014,-26.064,-1.59387,-13.4921,-1.57601,-13.4948,-0.184507,-13.7086,34.9995,40.0234,87.0359,0.00427202,0.994409,0.0405915,-0.0973892,343.07,325.354,34.2575,41.8948,0.00624471
9,5,45326,-0.502641,-25.9076,-1.51954,-13.5145,-1.50111,-13.5172,-0.0651412,-13.7254,35.0107,40.0376,87.0334,0.00408176,0.994309,0.0397862,-0.0987416,342.852,325.415,34.0107,42.1214,-0.00497432
10,8,45322,-0.491954,-26.1914,-1.51954,-13.5145,-1.50111,-13.5172,-0.0651412,-13.7254,35.0029,40.0458,86.9641,0.00429012,0.994261,0.0410124,-0.0987185,342.852,325.415,34.0107,42.1214,-0.00497432
11,0,45352,-0.754132,-25.7566,-1.51954,-13.5145,-1.50111,-13.5172,-0.0651412,-13.7254,35.0254,40.0562,87.0303,0.00389148,0.994207,0.0389808,-0.100094,342.852,325.415,34.0107,42.1214,-0.00497432
12,8,45352,-0.754132,-25.7566,-1.43401,-13.4081,-1.41479,-13.4109,0.0831456,-13.6278,35.0254,40.0562,87.0303,0.00389148,0.994207,0.0389808,-0.100094,342.492,325.301,34.1227,42.4965,0.0398325
13,0,45372,-0.0246987,-25.9215,-1.43401,-13.4081,-1.41479,-13.4109,0.0831456,-13.6278,35.0408,40.0571,87.0661,0.00434957,0.994535,0.0397541,-0.0964408,342.492,325.301,34.1227,42.4965,0.0398325
14,0,45392,0.0950551,-26.2843,-1.43401,-13.4081,-1.41479,-13.4109,0.0831456,-13.6278,35.0437,40.0599,87.0671,0.00461493,0.994523,0.0414375,-0.095847,342.492,325.301,34.1227,42.4965,0.0398325
15,5,45405,0.202858,-26.368,-1.22995,-13.4873,-1.20918,-13.4899,0.4094,-13.6898,35.0445,40.0621,87.0627,0.00472053,0.994558,0.0418093,-0.0953094,341.888,325.454,34.0023,42.9161,0.0152905
16,8,45402,0.181778,-26.6854,-1.22995,-13.4873,-1.20918,-13.4899,0.4094,-13.6898,35.0431,40.061,87.0591,0.00468479,0.99448,0.0433189,-0.0954573,341.888,325.454,34.0023,42.9161,0.0152905
17,0,45422,0.310221,-26.4511,-1.22995,-13.4873,-1.20918,-13.4899,0.4094,-13.6898,35.045,40.0637,87.0594,0.00482612,0.994593,0.0421812,-0.0947717,341.888,325.454,34.0023,42.9161,0.0152905
18,8,45422,0.310221,-26.4511,-1.42418,-13.2614,-1.40472,-13.2643,0.111336,-13.4974,35.045,40.0637,87.0594,0.00482612,0.994593,0.0421812,-0.0947717,342.506,325.059,34.931,42.4081,-0.0141116
19,4,45442,0.310221,-26.4511,-1.29605,-13.5445,-1.27587,-13.547,0.296856,-13.7431,35.045,40.0637,87.0594,0.00482612,0.994593,0.0421812,-0.0947717,342.156,325.476,34.4527,42.4882,-0.0164242
20,4,45452,0.20559,-26.8578,-1.36725,-13.387,-1.34747,-13.3898,0.19378,-13.6064,35.0477,40.0615,87.0856,0.00467432,0.994453,0.0441548,-0.0953554,342.35,325.244,34.7184,42.4437,-0.0151394
21,8,45452,0.205587,-26.8578,-1.1892,-13.7817,-1.16842,-13.7838,0.451474,-13.9489,35.0477,40.0615,87.0856,0.00467432,0.994453,0.0441548,-0.0953554,341.864,325.825,34.0542,42.555,-0.0183514
22,0,45472,0.777128,-26.3334,-1.1892,-13.7817,-1.16842,-13.7838,0.451474,-13.9489,35.0543,40.0581,87.0857,0.00458309,0.994827,0.0416977,-0.0925199,341.864,325.825,34.0542,42.555,-0.0183514
23,5,45494,1.21503,-25.2384,-1.31877,-14.0299,-1.29929,-14.0317,0.219611,-14.174,35.0659,40.0384,87.1132,0.00400423,0.995225,0.0366751,-0.0903716,342.382,326.098,34.0494,41.8635,-0.0572051
24,8,45492,1.07071,-25.2709,-1.31877,-14.0299,-1.29929,-14.0317,0.219611,-14.174,35.0664,40.0503,87.138,0.00407589,0.995159,0.0367789,-0.0910459,342.382,326.098,34.0494,41.8635,-0.0572051
25,5,45537,1.31332,-24.6376,-1.08725,-13.6486,-1.06551,-13.6508,0.628776,-13.8269,35.0746,40.0313,87.1501,0.00370375,0.995369,0.033905,-0.0898756,341.542,325.577,34.9757,42.2673,-0.0451111
26,5,45537,1.60916,-24.0564,-1.08725,-13.6486,-1.06551,-13.6508,0.628776,-13.8269,35.087,39.9986,87.1606,0.00337841,0.995581,0.031341,-0.0884624,341.542,325.577,34.9757,42.2673,-0.0451111
27,4,45552,1.56752,-23.9579,-1.00873,-13.8516,-0.986583,-13.8536,0.740012,-14.0037,35.0991,39.9743,87.1864,0.00333158,0.995569,0.0310306,-0.0887043,341.335,325.891,34.6582,42.464,-0.0460901
28,8,45552,1.56752,-23.9579,-0.861361,-14.236,-0.838451,-14.2373,0.948532,-14.3383,35.0991,39.9743,87.1864,0.00333158,0.995569,0.0310306,-0.0887043,340.947,326.481,34.063,42.8327,-0.0479256
29,0,45572,1.19233,-25.8442,-0.861361,-14.236,-0.838451,-14.2373,0.948532,-14.3383,35.0863,39.9405,87.1427,0.00456054,0.995077,0.0400713,-0.0905291,340.947,326.481,34.063,42.8327,-0.0479256
30,0,45592,0.509392,-23.8733,-0.861361,-14.236,-0.838451,-14.2373,0.948532,-14.3383,35.0543,39.9081,87.1043,0.0028183,0.995094,0.0309741,-0.0939185,340.947,326.481,34.063,42.8327,-0.0479256
31,8,45592,0.509392,-23.8733,-0.674962,-14.2434,-0.650574,-14.2446,1.25191,-14.3374,35.0543,39.9081,87.1043,0.0028183,0.995094,0.0309741,-0.0939185,340.37,326.454,34.3187,42.5085,-0.0657646
32,0,45622,0.397487,-23.4276,-0.674962,-14.2434,-0.650574,-14.2446,1.25191,-14.3374,34.9441,39.8591,87.132,0.0048673,0.995201,0.0289176,-0.09336,340.37,326.454,34.3187,42.5085,-0.0657646
33,8,45622,0.397487,-23.4276,-0.3069,-14.3057,-0.279647,-14.3066,1.84702,-14.3779,34.9441,39.8591,87.132,0.0048673,0.995201,0.0289176,-0.09336,339.108,326.569,33.5833,42.3979,-0.00250606
34,0,45642,-1.52642,-22.9505,-0.3069,-14.3057,-0.279647,-14.3066,1.84702,-14.3779,34.7731,39.8209,87.0623,0.00569833,0.994426,0.0266907,-0.101847,339.108,326.569,33.5833,42.3979,-0.00250606
35,5,45669,-2.52355,-23.1047,-0.256084,-13.969,-0.228065,-13.9704,1.95777,-14.0776,34.7388,39.8103,87.068,0.00763602,0.993938,0.0273323,-0.10622,338.927,326.055,34.2551,42.1121,-0.0407555
36,8,45672,-3.83653,-23.1585,-0.256084,-13.969,-0.228065,-13.9704,1.95777,-14.0776,34.4298,39.7155,87.1191,0.00957354,0.993426,0.0279733,-0.11059,338.927,326.055,34.2551,42.1121,-0.0407555
37,5,45694,-5.45046,-21.6755,-0.39841,-13.2943,-0.370801,-13.2968,1.78151,-13.4856,34.3008,39.6878,87.1974,0.0118112,0.992809,0.0208952,-0.117274,339.252,325.113,32.9449,41.5834,-0.047514
38,8,45702,-7.33243,-20.1182,-0.39841,-13.2943,-0.370801,-13.2968,1.78151,-13.4856,33.946,39.6116,87.4128,0.0140477,0.992093,0.0138151,-0.123947,339.252,325.113,32.9449,41.5834,-0.047514
39,0,45722,-11.2678,-20.458,-0.39841,-13.2943,-0.370801,-13.2968,1.78151,-13.4856,33.5226,39.5504,87.4583,0.0192838,0.989841,0.0155971,-0.140001,339.252,325.113,32.9449,41.5834,-0.047514
40,8,45722,-11.2678,-20.458,-1.52118,-12.4383,-1.50161,-12.4425,0.0212924,-12.7721,33.5226,39.5504,87.4583,0.0192838,0.989841,0.0155971,-0.140001,342.618,323.889,32.4867,41.076,0.000888638
41,0,45742,-14.3143,-15.74,-1.52118,-12.4383,-1.50161,-12.4425,0.0212924,-12.7721,33.0802,39.4837,87.8256,0.0219383,0.98813,-0.00662256,-0.151899,342.618,323.889,32.4867,41.076,0.000888638
42,5,45760,-20.8493,-12.8794,-3.26285,-10.9136,-3.25561,-10.921,-2.69293,-11.491,32.3038,39.3738,88.7184,0.0261511,0.983504,-0.0190572,-0.177968,347.811,321.834,33.6612,41.3055,0.0706231
43,8,45752,-16.5872,-14.6581,-3.26285,-10.9136,-3.25561,-10.921,-2.69293,-11.491,32.8605,39.4419,88.1396,0.024712,0.986567,-0.0113711,-0.161078,347.811,321.834,33.6612,41.3055,0.0706231
44,5,45806,-25.5964,-11.046,-11.4847,-9.49132,-11.5415,-9.50481,-15.984,-10.5596,32.4627,39.3928,88.5752,0.0285928,0.978724,-0.0279355,-0.201251,373.331,321.108,29.366,37.382,0.325318
45,5,45806,-31.6136,-8.54468,-11.4847,-9.49132,-11.5415,-9.50481,-15.984,-10.5596,31.4687,39.2666,89.6606,0.0313857,0.973687,-0.0379679,-0.222501,373.331,321.108,29.366,37.382,0.325318
