id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ETx,ETy,ETrmin,ETrmax,ETphi
0,0,30154,2.35336,-5.48826,-2.60327,5.56163,0,1.87054,-4.48707,13.6802,18.9522,27.8173,69.7699,-7.46768e-05,0.999983,0.00563041,0.00125445,321.695,275.237,20.1276,37.2127,0.00800309
1,0,30154,2.35336,-5.48826,-2.55344,5.62912,0,1.87054,-4.43516,13.7491,18.9522,27.8173,69.7699,-7.46768e-05,0.999983,0.00563041,0.00125445,321.613,275.184,20.1415,37.2747,0.0125338
2,0,30154,2.35336,-5.48826,0.957635,13.1418,0,1.87054,-0.833673,21.4253,18.9522,27.8173,69.7699,-7.46768e-05,0.999983,0.00563041,0.00125445,316.44,269.496,16.9562,36.745,-0.0237531
3,8,30237,1.7334,13.9814,0.957635,13.1418,0.93876,13.2291,-0.833673,21.4253,18.9136,27.2755,66.8819,0.00235304,0.996034,-0.0888917,-0.00296432,316.44,269.496,16.9562,36.745,-0.0237531
4,5,30310,-1.18496,12.8853,-2.1935,12.5005,-2.21456,12.5879,-4.18949,20.782,18.8755,27.2947,66.8539,0.000867971,0.996352,-0.0835631,-0.0172916,321.221,269.908,17.3379,36.6163,0.00833623
5,0,30337,-4.18646,11.7366,-2.1935,12.5005,-2.21456,12.5879,-4.18949,20.782,18.7723,27.3467,66.7784,-0.000617304,0.996435,-0.0782148,-0.0316148,321.221,269.908,17.3379,36.6163,0.00833623
6,5,30370,-4.67905,11.2547,-4.31312,11.5398,-4.33556,11.6272,-6.43609,19.8075,18.7394,27.3373,66.8895,0.00105916,0.996558,-0.0756663,-0.033856,324.43,270.658,17.9686,36.8516,0.0424646
7,5,30435,-6.57432,10.5892,-7.05131,10.1136,-7.07548,10.2009,-9.33455,18.3591,18.7175,27.3658,66.8007,0.00027303,0.996428,-0.0725368,-0.0432483,328.608,271.856,18.2831,37.0626,0.0777285
8,5,30435,-7.12174,10.0871,-7.05131,10.1136,-7.07548,10.2009,-9.33455,18.3591,18.6485,27.3738,66.904,0.00194956,0.996508,-0.0699851,-0.0454879,328.608,271.856,18.2831,37.0626,0.0777285
9,5,30485,-7.04472,10.1567,-8.87699,8.52447,-8.90219,8.61157,-11.2542,16.7399,18.7054,27.3288,66.9986,0.00194956,0.996508,-0.0699851,-0.0454879,331.413,273.204,18.6273,36.9472,0.103889
10,8,30486,-9.04262,9.42358,-8.87699,8.52447,-8.90219,8.61157,-11.2542,16.7399,18.6122,27.4025,66.8434,0.00116332,0.996252,-0.0668466,-0.0548745,331.413,273.204,18.6273,36.9472,0.103889
11,5,30562,-10.4242,6.62116,-11.0816,6.3592,-11.108,6.44598,-13.5672,14.5326,18.5924,27.4359,66.8401,0.00123047,0.996686,-0.0530167,-0.0616905,334.833,275.168,19.6935,37.0656,0.126601
