id,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ellipseX,ellipseY
0,24768,0.943412,-14.6056,1.35381,-15.4678,1.3024,-14.7869,-0.275828,-6.77146,18.9503,27.8631,69.587,-0.000411483,0.998681,0.0509706,-0.00619286,315.338,295.862
1,24768,0.943412,-14.6056,1.30329,-15.5766,1.25369,-14.8963,-0.331441,-6.88373,18.9503,27.8631,69.587,-0.000411483,0.998681,0.0509706,-0.00619286,315.417,295.979
2,24871,0.834555,1.20027,1.30329,-15.5766,1.25369,-14.8963,-0.331441,-6.88373,18.8991,27.57,67.0653,-0.001243,0.999613,-0.0268607,-0.00705772,315.417,295.979
3,24915,-1.03915,2.24568,-1.79683,1.55294,-2.00898,1.113,-3.34087,10.733,18.8734,27.5799,67.0014,-0.000763141,0.999346,-0.0322412,-0.0163762,319.964,278.701
4,24935,-2.95169,3.2743,-1.79683,1.55294,-2.00898,1.113,-3.34087,10.733,18.8168,27.6017,66.8607,-0.000283197,0.998962,-0.037618,-0.0256927,319.964,278.701
5,25026,-6.16053,1.1142,-5.96383,0.469121,-6.0387,0.130173,-7.79466,9.59715,18.7348,27.654,66.8024,-0.0017427,0.998773,-0.0271323,-0.0413941,326.427,279.8
6,25026,-8.42216,-0.375325,-5.96383,0.469121,-6.0387,0.130173,-7.79466,9.59715,18.6356,27.7163,66.7097,-0.00384423,0.998425,-0.0202012,-0.0521987,326.427,279.8
7,25085,-9.43379,-1.10548,-8.60834,-1.18924,-8.60596,-1.36308,-10.6376,7.87733,18.6083,27.7347,66.7125,-0.00320159,0.998226,-0.0166369,-0.0570807,330.611,281.494
8,25085,-9.43379,-1.10548,-8.60834,-1.18924,-8.60596,-1.36308,-10.6376,7.87733,18.6083,27.7347,66.7125,-0.00320159,0.998226,-0.0166369,-0.0570807,330.611,281.494
9,25151,-10.5246,-1.99904,-10.7098,-3.2448,-10.661,-3.23625,-12.9093,5.75131,18.5948,27.7529,66.7071,-0.00304763,0.997966,-0.0122781,-0.062474,333.966,283.619
10,25169,-11.6702,-2.96759,-10.7098,-3.2448,-10.661,-3.23625,-12.9093,5.75131,18.5452,27.8197,66.6873,-0.00289352,0.997659,-0.00791867,-0.0678643,333.966,283.619
11,25218,-12.7674,-5.6871,-12.6601,-5.3918,-12.5834,-5.22795,-15.0216,3.53191,18.5008,27.8507,66.7706,-0.00358359,0.997307,0.00545155,-0.0730528,337.084,285.942
12,25268,-13.8655,-8.42122,-13.7337,-7.41432,-13.6571,-7.13081,-16.1987,1.44488,18.4573,27.8811,66.8522,-0.00427292,0.996749,0.0188206,-0.0782264,338.868,288.116
13,25268,-13.8655,-8.42122,-13.7337,-7.41432,-13.6571,-7.13081,-16.1987,1.44488,18.4573,27.8811,66.8522,-0.00427292,0.996749,0.0188206,-0.0782264,338.868,288.116
14,25355,-14.726,-10.4651,-14.9401,-9.94657,-14.8753,-9.5573,-17.5257,-1.16746,18.4457,27.9447,66.8344,-0.00381845,0.996186,0.0285053,-0.0823735,340.869,290.923
15,25355,-14.8512,-11.3623,-14.9401,-9.94657,-14.8753,-9.5573,-17.5257,-1.16746,18.4302,28.0302,66.8273,-0.00360261,0.996031,0.032329,-0.0828554,340.869,290.923
16,25402,-15.6074,-12.6035,-15.6894,-12.8379,-15.6555,-12.3814,-18.3722,-4.14716,18.4243,28.0625,66.8014,-0.00336355,0.995513,0.0381867,-0.0865115,342.194,294.129
17,25402,-15.6074,-12.6035,-15.6894,-12.8379,-15.6555,-12.3814,-18.3722,-4.14716,18.4243,28.0625,66.8014,-0.00336355,0.995513,0.0381867,-0.0865115,342.194,294.129
18,25501,-15.7519,-16.3872,-15.7005,-17.498,-15.731,-17.05,-18.4631,-8.94398,18.4219,28.126,66.808,-0.0043705,0.994593,0.0562181,-0.0872129,342.435,299.349
19,25501,-16.3409,-18.2743,-15.7005,-17.498,-15.731,-17.05,-18.4631,-8.94398,18.4177,28.2167,66.768,-0.00493264,0.993824,0.0646036,-0.090094,342.435,299.349
20,25551,-16.3337,-18.2018,-15.5227,-19.7445,-15.583,-19.3543,-18.3119,-11.2555,18.4184,28.1678,66.6882,-0.00493264,0.993824,0.0646036,-0.090094,342.257,301.898
21,25552,-15.898,-20.3075,-15.5227,-19.7445,-15.583,-19.3543,-18.3119,-11.2555,18.4172,28.249,66.8207,-0.00537601,0.993346,0.0742312,-0.0878856,342.257,301.898
22,25618,-14.9437,-21.3212,-14.4891,-22.76,-14.5794,-22.4921,-17.2629,-14.3543,18.4233,28.2703,66.8233,-0.00442583,0.993382,0.0791687,-0.0830925,340.752,305.367
