id,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ellipseX,ellipseY
0,131117,2.1345,-66.5423,-0.295808,-66.5075,1.59319e+35,1.67042,27.7456,-50.6746,17.9898,40.6967,81.5106,-0.0428946,0.979354,0.197179,-0.0120699,306.136,286.441
1,131156,2.16907,-65.9639,-0.295808,-66.5075,1.59319e+35,1.67042,27.7456,-50.6746,18.0249,40.7157,81.4923,-0.0413677,0.979849,0.195078,-0.0113483,306.136,286.441
2,131156,2.16907,-65.9639,-0.324559,-67.5172,1.59319e+35,1.67042,27.6666,-58.8872,18.0249,40.7157,81.4923,-0.0413677,0.979849,0.195078,-0.0113483,306.594,288.676
3,131166,2.16274,-65.7921,-0.324559,-67.5172,1.59319e+35,1.67042,27.6666,-58.8872,18.0341,40.7154,81.507,-0.0406955,0.979994,0.194504,-0.0111039,306.594,288.676
4,131206,2.14298,-65.1829,-0.324559,-67.5172,1.59319e+35,1.67042,27.6666,-58.8872,18.0788,40.7079,81.6029,-0.0403795,0.980397,0.192529,-0.0111571,306.594,288.676
5,131206,2.14298,-65.1829,-0.166322,-67.5985,0.000865936,-67.5528,29.1549,-59.5835,18.0788,40.7079,81.6029,-0.0403795,0.980397,0.192529,-0.0111571,306.017,288.993
6,131216,2.23247,-65.6752,-0.166322,-67.5985,0.000865936,-67.5528,29.1549,-59.5835,18.0894,40.7026,81.5767,-0.0400756,0.980069,0.194271,-0.0108336,306.017,288.993
7,131240,2.26788,-65.4784,-0.324109,-67.6055,-0.163902,-67.5598,27.6873,-59.6064,18.1058,40.695,81.5791,-0.0395752,0.980217,0.193646,-0.010515,306.778,289.033
8,131256,2.31449,-65.2745,-0.324109,-67.6055,-0.163902,-67.5598,27.6873,-59.6064,18.1304,40.6836,81.5826,-0.0390747,0.980363,0.193021,-0.0101964,306.778,289.033
9,131266,2.58657,-64.8049,-0.324109,-67.6055,-0.163902,-67.5598,27.6873,-59.6064,18.1398,40.6801,81.5853,-0.0387576,0.980698,0.191449,-0.00876114,306.778,289.033
10,131286,2.45777,-65.3927,-0.195653,-67.9028,-0.0310566,-67.8698,28.9387,-62.0543,18.1555,40.6702,81.5787,-0.0375249,0.980331,0.193545,-0.00909437,306.114,289.685
11,131286,2.45777,-65.3928,-0.195653,-67.9028,-0.0310566,-67.8698,28.9387,-62.0543,18.1555,40.6702,81.5787,-0.0375249,0.980331,0.193545,-0.00909437,306.114,289.685
12,131306,2.35679,-64.7488,-0.195653,-67.9028,-0.0310566,-67.8698,28.9387,-62.0543,18.164,40.6681,81.6441,-0.0370115,0.980779,0.191356,-0.00920607,306.114,289.685
13,131306,2.35679,-64.7488,0.000720739,-67.2766,0.17662,-67.2176,30.6498,-56.9997,18.164,40.6681,81.6441,-0.0370115,0.980779,0.191356,-0.00920607,305.714,288.286
14,131316,2.30908,-64.76,0.000720739,-67.2766,0.17662,-67.2176,30.6498,-56.9997,18.166,40.6672,81.6441,-0.036906,0.980774,0.191394,-0.00939503,305.714,288.286
15,131336,2.33573,-64.9764,0.000720739,-67.2766,0.17662,-67.2176,30.6498,-56.9997,18.162,40.6645,81.644,-0.0369206,0.980622,0.192172,-0.00931014,305.714,288.286
16,131336,2.33573,-64.9764,-0.0142903,-67.694,0.159104,-67.6526,30.588,-60.3939,18.162,40.6645,81.644,-0.0369206,0.980622,0.192172,-0.00931014,305.647,289.152
17,131366,2.2013,-65.1294,-0.0142903,-67.694,0.159104,-67.6526,30.588,-60.3939,18.1387,40.6631,81.5658,-0.0373022,0.980515,0.192609,-0.00998871,305.647,289.152
18,131377,2.23154,-64.7729,0.138025,-67.1317,0.320558,-67.0669,31.901,-55.8505,18.1256,40.6626,81.5992,-0.0373785,0.980753,0.191398,-0.00969584,305.07,287.955
19,131386,2.25705,-64.4157,0.138025,-67.1317,0.320558,-67.0669,31.901,-55.8505,18.1097,40.6619,81.6401,-0.0374548,0.980988,0.190186,-0.00940296,305.07,287.955
20,131407,2.13495,-64.7295,0.10254,-67.1385,0.283497,-67.0739,31.5719,-55.8977,18.0916,40.6625,81.6416,-0.037358,0.980778,0.191264,-0.00988247,305.273,287.956
21,131416,1.9782,-65.048,0.10254,-67.1385,0.283497,-67.0739,31.5719,-55.8977,18.0493,40.6638,81.6451,-0.037261,0.980566,0.192342,-0.010362,305.273,287.956
22,131437,1.87647,-64.8997,0.10254,-67.1385,0.283497,-67.0739,31.5719,-55.8977,17.9981,40.6672,81.6019,-0.0381293,0.980648,0.191725,-0.0108257,305.273,287.956
23,131437,1.87647,-64.8997,0.0107002,-67.644,0.1854,-67.6006,30.8113,-59.9923,17.9981,40.6672,81.6019,-0.0381293,0.980648,0.191725,-0.0108257,305.484,289.063
24,131457,1.53809,-64.6498,0.0107002,-67.644,0.1854,-67.6006,30.8113,-59.9923,17.9349,40.6627,81.5926,-0.0382283,0.980813,0.190791,-0.0119321,305.484,289.063
