id,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ellipseX,ellipseY
0,61143,-1.25689,-18.5452,1.16266,-18.3365,-4.31602e+08,-4.31602e+08,-0.761544,-9.27204,18.9314,27.8364,69.6706,-0.00197159,0.997355,0.0705476,-0.0173941,315.829,299.06
1,61892,-1.25689,-18.5452,1.16266,-18.3365,-4.31602e+08,-4.31602e+08,-0.761544,-9.27204,18.9314,27.8364,69.6706,-0.00197159,0.997355,0.0705476,-0.0173941,315.829,299.06
2,61892,-1.25689,-18.5452,0.58546,-0.872216,-4.31602e+08,-4.31602e+08,-1.27933,8.46845,18.9314,27.8364,69.6706,-0.00197159,0.997355,0.0705476,-0.0173941,316.709,281.149
3,62022,-0.232152,-0.904068,0.58546,-0.872216,-4.31602e+08,-4.31602e+08,-1.27933,8.46845,18.8768,27.748,66.6181,0.000321386,0.999768,-0.0176028,-0.0124365,316.709,281.149
4,62067,-3.22974,-1.15113,-2.43345,-1.11032,-6.53775,6.19413,-4.47645,8.22648,18.8071,27.7616,66.6059,-0.00213341,0.999491,-0.0165006,-0.0272178,321.363,281.352
5,62109,-4.76438,-2.28497,-4.33643,-1.61025,-6.53775,6.19413,-6.49363,7.71858,18.7323,27.7829,66.6628,-0.00227978,0.999345,-0.0109337,-0.0344352,324.296,281.864
6,62108,-6.23996,-1.41691,-4.33643,-1.61025,-8.14833,5.08884,-6.49363,7.71858,18.7306,27.7765,66.5925,-0.00458772,0.998989,-0.0153948,-0.041993,324.296,281.864
7,62175,-7.72783,-2.54532,-6.88648,-2.89438,-10.0858,3.08544,-9.2,6.41406,18.6875,27.7894,66.6314,-0.00473392,0.998729,-0.00982724,-0.0492063,328.269,283.187
8,62213,-9.26975,-3.69148,-6.88648,-2.89438,-10.0858,3.08544,-9.2,6.41406,18.6114,27.8121,66.7001,-0.00487972,0.998386,-0.00425887,-0.0564155,328.269,283.187
9,62242,-10.6356,-5.55703,-9.37368,-4.77174,-11.7564,0.61949,-11.843,4.50692,18.5628,27.8968,66.6673,-0.00472477,0.997995,0.00445088,-0.0629612,332.171,285.146
10,62309,-10.5734,-5.44103,-11.3718,-6.63361,-12.9722,-1.63412,-13.9682,2.61554,18.6068,27.8201,66.697,-0.00472477,0.997995,0.00445088,-0.0629612,335.298,287.162
11,62316,-11.9655,-7.35234,-11.3718,-6.63361,-12.9722,-1.63412,-13.9682,2.61554,18.5437,27.9299,66.6544,-0.00456927,0.997485,0.0131601,-0.0694994,335.298,287.162
12,62376,-13.1867,-9.74508,-13.3441,-8.85255,-14.0467,-4.15407,-16.0679,0.361443,18.5134,27.9501,66.6981,-0.00481883,0.996833,0.0248884,-0.0753805,338.402,289.649
13,62409,-14.4552,-12.1799,-13.3441,-8.85255,-14.0467,-4.15407,-16.0679,0.361443,18.4584,27.9868,66.7775,-0.00506755,0.996008,0.0366123,-0.0812485,338.402,289.649
14,62426,-14.9068,-12.9962,-14.1673,-10.6866,-14.2557,-5.9964,-16.9491,-1.5016,18.4337,28.0707,66.8428,-0.00529179,0.995709,0.0399757,-0.0832906,339.724,291.634
15,62493,-14.8716,-12.8899,-15.3909,-14.0723,-14.3942,-9.30286,-18.2626,-4.94091,18.4546,27.9995,66.7874,-0.00529179,0.995709,0.0399757,-0.0832906,341.734,295.401
16,62505,-15.3267,-13.7166,-15.3909,-14.0723,-14.3942,-9.30286,-18.2626,-4.94091,18.4284,28.0887,66.8568,-0.00551593,0.995394,0.0433385,-0.0853314,341.734,295.401
17,62576,-16.052,-16.0729,-16.2959,-17.7801,-14.1872,-12.8089,-19.2404,-8.70738,18.4233,28.114,66.8634,-0.00605027,0.994527,0.0545962,-0.0888722,343.228,299.63
18,62626,-14.5384,-20.7516,-16.1698,-20.1686,-14.1872,-12.8089,-19.1196,-11.1336,18.4451,28.2948,66.8903,-0.00473309,0.993754,0.0762881,-0.0813094,343.087,302.307
19,62626,-15.2561,-23.3032,-16.1698,-20.1686,-14.1872,-12.8089,-19.1196,-11.1336,18.4489,28.4084,66.9106,-0.00526579,0.992531,0.087523,-0.0848215,343.087,302.307
20,62693,-15.284,-23.1776,-15.8818,-23.2678,-14.1872,-12.8089,-18.8313,-14.2818,18.4306,28.3272,66.9013,-0.00526579,0.992531,0.087523,-0.0848215,342.72,305.895
