Right Eye Position (x,y,z),Right Eye Forward Vector (x,y,z),Head Position (x,y,z),Head Rotation axis (x,y,z),Head Rotation angle ,Absolute intersection (x,y,z) ,Relative intersection (x,y,z) ,Interacted Object ID,timeStamp in ms
3.33646,-1.73182,-2.01734,0.00828381,-0.298771,0.954289,24.8,28.6633,69.7494,-0.00716843,0.993591,0.112805,179.472,24.8125,14.726,0,1011.8,479.505,0,0,50
3.32949,-1.72186,-2.01428,-0.00225677,-0.283689,0.958914,24.844,28.6255,69.8465,-0.00622543,0.99398,0.109385,179.356,25.7423,15.3343,0,1049.71,454.702,0,0,117
3.33054,-1.73299,-2.01767,-0.00064744,-0.300578,0.953757,24.9044,28.6222,69.708,-0.00550778,0.993744,0.111546,179.103,25.9314,14.3618,0,1057.42,494.356,0,0,183
3.33308,-1.7303,-2.01683,0.003206,-0.296508,0.955025,24.9053,28.6146,69.6999,-0.00575258,0.994119,0.108144,179.228,25.5186,14.1822,0,1040.59,501.68,0,0,250
3.32799,-1.72434,-2.01501,-0.00451064,-0.28747,0.957779,24.9153,28.6169,69.7233,-0.00534337,0.993934,0.109849,179.369,25.9237,15.1171,0,1057.11,463.558,0,0,300
3.32835,-1.72335,-2.01471,-0.00397018,-0.285979,0.958228,24.9581,28.5991,69.7271,-0.00488668,0.994165,0.107758,179.609,25.6253,14.9106,0,1044.94,471.977,0,0,366
3.33369,-1.73035,-2.01684,0.00415754,-0.296606,0.954991,24.9946,28.5974,69.7635,-0.00385372,0.993989,0.109408,179.345,25.3156,14.3307,0,1032.31,495.627,0,0,433
3.33192,-1.70458,-2.0094,0.00146257,-0.25756,0.966261,24.9303,28.6098,69.8053,-0.00244103,0.993972,0.109604,179.843,24.8759,17.3555,0,1014.38,372.28,0,0,500
3.33154,-1.70575,-2.00971,0.000898011,-0.259339,0.965786,24.6938,28.6516,69.7269,0.00146992,0.994069,0.108742,181.369,22.716,17.1455,0,926.309,380.843,0,0,550
3.30899,-1.7202,-2.01414,-0.0332854,-0.281238,0.959061,24.3235,28.6662,69.7689,0.00711267,0.993595,0.11278,183.353,22.2046,15.9953,0,905.456,427.747,0,0,617
3.25587,-1.73552,-2.02296,-0.113712,-0.304432,0.945722,23.0701,28.7181,70.1078,0.0221087,0.992766,0.118008,191.08,16.9212,14.6959,0,690.008,480.736,0,0,684
3.17378,-1.73599,-2.03859,-0.238039,-0.30507,0.922101,22.169,28.79,70.397,0.0327343,0.992259,0.119795,196.333,18.5108,14.2933,0,754.831,497.15,0,0,750
3.1239,-1.732,-2.05238,-0.313598,-0.298966,0.901263,20.9569,28.9563,70.5902,0.0466399,0.991169,0.12413,203.464,13.8692,14.9723,0,565.555,469.465,0,0,800
2.96055,-1.71151,-2.1304,-0.561007,-0.26758,0.783372,19.6373,29.1,71.1184,0.0647144,0.98871,0.135148,210.637,23.2226,16.0258,0,946.966,426.503,0,0,867
2.91332,-1.69644,-2.1625,-0.632538,-0.244605,0.73489,19.2346,29.0779,70.9933,0.0715993,0.987859,0.137871,212.892,31.4604,16.5903,0,1282.89,403.486,0,0,934
2.84396,-1.65381,-2.21811,-0.737585,-0.17973,0.650896,19.2499,28.8727,70.6162,0.0724811,0.987466,0.140209,212.219,37.5092,19.3041,0,1529.54,292.822,0,0,1000
