Right Eye Position (x,y,z),Right Eye Forward Vector (x,y,z),Head Position (x,y,z),Head Rotation axis (x,y,z),Head Rotation angle ,Relative intersection (x,y,z) ,Absolute intersection (x,y,z) ,Interacted Object ID,timeStamp in ms
3.01953,-1.8657,-2.22781,-0.38517,-0.0797306,0.919395,27.0184,22.1002,70.0639,0.0186982,0.999741,0.0129662,166.208,1816.16,513.374,0,44.5379,13.8955,0,0,12900
3.02578,-1.86398,-2.22508,-0.375692,-0.0771248,0.92353,27.0328,22.0806,70.2123,0.0168343,0.999627,0.0215113,167.419,1816.16,513.374,0,44.5379,13.8955,0,0,12933
3.03234,-1.86396,-2.22245,-0.365755,-0.0770959,0.927513,27.1416,22.0819,70.0958,0.0170344,0.999681,0.018631,166.853,1816.16,513.374,0,44.5379,13.8955,0,0,12950
3.03741,-1.86362,-2.22045,-0.358078,-0.0765681,0.930547,27.2141,22.0867,70.0973,0.0194826,0.999689,0.0155566,165.865,1816.16,513.374,0,44.5379,13.8955,0,0,13000
3.04012,-1.86271,-2.21934,-0.353967,-0.0751943,0.93223,27.2652,22.0462,70.3416,0.0188596,0.999595,0.0213113,166.477,1816.16,513.374,0,44.5379,13.8955,0,0,13016
3.04317,-1.86168,-2.2181,-0.349338,-0.0736332,0.934099,27.3227,22.0663,70.1525,0.0203938,0.99961,0.0190636,165.942,1816.16,513.374,0,44.5379,13.8955,0,0,13066
3.04516,-1.86146,-2.21735,-0.346334,-0.0733076,0.935243,27.3546,22.0523,70.157,0.0204726,0.999761,0.00772592,165.88,1816.16,513.374,0,44.5379,13.8955,0,0,13083
3.04521,-1.86099,-2.21729,-0.346253,-0.0725834,0.935329,27.4003,22.05,70.108,0.0218285,0.99962,0.0168307,165.548,1816.16,513.374,0,44.5379,13.8955,0,0,13133
3.04521,-1.86099,-2.21729,-0.346253,-0.0725834,0.935329,27.4003,22.05,70.108,0.0218285,0.99962,0.0168307,165.548,1816.16,513.374,0,44.5379,13.8955,0,0,13133
3.01033,-1.85434,-2.23086,-0.399109,-0.0625136,0.91477,27.5653,21.9825,70.1657,0.0212172,0.99967,0.0144968,165.049,1816.16,513.374,0,44.5379,13.8955,0,0,13183
3.01117,-1.85318,-2.23042,-0.397833,-0.0607514,0.915444,27.6073,21.9738,70.0977,0.0212984,0.999645,0.0160167,164.557,1816.16,513.374,0,44.5379,13.8955,0,0,13200
3.01457,-1.8532,-2.22895,-0.392683,-0.0607826,0.917663,27.6956,21.9655,70.0721,0.0225231,0.999548,0.0199037,163.73,1816.16,513.374,0,44.5379,13.8955,0,0,13250
3.0178,-1.8528,-2.22755,-0.38779,-0.0601845,0.919781,27.7984,21.9932,70.0797,0.0199866,0.999741,0.0108442,164.282,1816.16,513.374,0,44.5379,13.8955,0,0,13266
3.02543,-1.8514,-2.2243,-0.376229,-0.058054,0.924706,27.93,21.9844,70.1244,0.0211105,0.999557,0.0209999,162.811,1816.16,513.374,0,44.5379,13.8955,0,0,13316
3.02543,-1.8514,-2.2243,-0.376229,-0.058054,0.924706,27.93,21.9844,70.1244,0.0211105,0.999557,0.0209999,162.811,1816.16,513.374,0,44.5379,13.8955,0,0,13333
3.03301,-1.85145,-2.22127,-0.364732,-0.0581376,0.929296,28.0316,21.9199,70.1179,0.0211557,0.999685,0.0134839,163.425,1816.16,513.374,0,44.5379,13.8955,0,0,13383
